,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu_global,-1.944,0.314,-2.632,-1.327,0.003,0.006,11956.0,8964.0,1.0
mu_group[0],-2.1,0.113,-2.318,-1.876,0.002,0.001,3617.0,7404.0,1.0
mu_group[1],-1.979,0.263,-2.506,-1.427,0.002,0.003,16826.0,10474.0,1.0
mu_group[2],-1.752,0.097,-1.945,-1.565,0.002,0.001,3387.0,7653.0,1.0
alpha_country[0],-1.802,0.137,-2.063,-1.524,0.002,0.001,5831.0,8713.0,1.0
alpha_country[1],-1.477,0.081,-1.642,-1.322,0.001,0.001,11207.0,12781.0,1.0
alpha_country[2],-2.631,0.231,-3.069,-2.165,0.001,0.002,25007.0,13268.0,1.0
alpha_country[3],-2.252,0.071,-2.389,-2.112,0.002,0.001,1916.0,4457.0,1.0
alpha_country[4],-1.454,0.071,-1.602,-1.323,0.001,0.001,2303.0,5410.0,1.0
alpha_country[5],-1.823,0.069,-1.964,-1.695,0.002,0.001,1645.0,4081.0,1.0
alpha_country[6],-1.298,0.082,-1.459,-1.138,0.001,0.001,3038.0,6902.0,1.0
alpha_country[7],-1.55,0.077,-1.701,-1.4,0.002,0.001,2548.0,6243.0,1.0
alpha_country[8],-2.714,0.113,-2.935,-2.497,0.002,0.001,4483.0,8192.0,1.0
alpha_country[9],-1.696,0.323,-2.353,-1.094,0.002,0.003,23827.0,11512.0,1.0
alpha_country[10],-1.902,0.063,-2.025,-1.782,0.002,0.001,1485.0,3559.0,1.0
alpha_country[11],-2.245,0.074,-2.388,-2.103,0.001,0.0,10738.0,12194.0,1.0
alpha_country[12],-3.338,0.091,-3.516,-3.161,0.002,0.001,2837.0,6537.0,1.0
alpha_country[13],-1.967,0.064,-2.087,-1.838,0.001,0.001,1933.0,3998.0,1.0
alpha_country[14],-1.416,0.074,-1.562,-1.273,0.002,0.001,1979.0,5085.0,1.0
alpha_country[15],-2.323,0.117,-2.556,-2.099,0.002,0.001,4178.0,8192.0,1.0
alpha_country[16],-2.985,0.124,-3.229,-2.743,0.002,0.001,5420.0,9663.0,1.0
alpha_country[17],-1.528,0.075,-1.668,-1.373,0.001,0.001,2677.0,6111.0,1.0
alpha_country[18],-1.867,0.07,-2.008,-1.734,0.002,0.001,2178.0,5429.0,1.0
alpha_country[19],-1.628,0.151,-1.93,-1.339,0.002,0.001,7886.0,10990.0,1.0
alpha_country[20],-1.99,0.427,-2.832,-1.162,0.003,0.004,23300.0,11010.0,1.0
alpha_country[21],-2.18,0.086,-2.351,-2.015,0.002,0.001,2665.0,6468.0,1.0
alpha_country[22],-2.3,0.071,-2.438,-2.163,0.002,0.001,1706.0,4459.0,1.0
alpha_country[23],-3.025,0.07,-3.16,-2.887,0.002,0.001,1900.0,4555.0,1.0
alpha_country[24],-1.811,0.106,-2.017,-1.599,0.001,0.001,5300.0,9279.0,1.0
alpha_country[25],-2.153,0.088,-2.323,-1.977,0.002,0.001,2608.0,6745.0,1.0
alpha_country[26],-2.151,0.167,-2.472,-1.82,0.002,0.001,10138.0,11495.0,1.0
alpha_country[27],-1.098,0.074,-1.241,-0.948,0.002,0.001,2447.0,5375.0,1.0
alpha_country[28],-2.228,0.08,-2.382,-2.065,0.002,0.001,2256.0,5137.0,1.0
alpha_country[29],-2.072,0.113,-2.3,-1.857,0.002,0.001,3937.0,9136.0,1.0
alpha_country[30],-1.6,0.075,-1.749,-1.458,0.002,0.001,2455.0,5786.0,1.0
alpha_country[31],-2.048,0.068,-2.175,-1.911,0.001,0.001,2180.0,4675.0,1.0
alpha_country[32],-0.819,0.108,-1.033,-0.614,0.002,0.001,3963.0,8604.0,1.0
alpha_country[33],-2.183,0.078,-2.334,-2.03,0.002,0.001,2154.0,5792.0,1.0
alpha_country[34],-1.75,0.175,-2.104,-1.428,0.002,0.001,9349.0,11531.0,1.0
alpha_country[35],-2.427,0.07,-2.564,-2.291,0.002,0.001,1915.0,4705.0,1.0
alpha_country[36],-1.487,0.084,-1.653,-1.32,0.002,0.001,3033.0,6116.0,1.0
alpha_country[37],-2.6,0.065,-2.733,-2.475,0.002,0.001,1597.0,3979.0,1.0
alpha_country[38],-1.02,0.076,-1.171,-0.876,0.001,0.001,2561.0,5468.0,1.0
alpha_country[39],-2.744,0.207,-3.145,-2.332,0.002,0.002,9360.0,10699.0,1.0
alpha_country[40],-1.49,0.078,-1.642,-1.34,0.002,0.001,2622.0,5661.0,1.0
alpha_country[41],-1.753,0.391,-2.527,-0.999,0.002,0.004,26048.0,11356.0,1.0
alpha_country[42],-1.366,0.107,-1.578,-1.161,0.002,0.001,4963.0,8737.0,1.0
