,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu_group[0],-1.913,0.122,-2.15,-1.669,0.001,0.001,8431.0,9828.0,1.0
mu_group[1],-1.283,0.419,-2.169,-0.48,0.004,0.007,11312.0,9710.0,1.0
mu_group[2],-1.372,0.145,-1.653,-1.078,0.002,0.002,8734.0,8762.0,1.0
mu_group[3],-1.986,0.084,-2.147,-1.815,0.001,0.001,7857.0,9227.0,1.0
z_country[0],0.439,0.556,-0.642,1.566,0.005,0.004,12475.0,11557.0,1.0
z_country[1],0.676,0.627,-0.531,1.934,0.006,0.005,12215.0,11392.0,1.0
z_country[2],-0.815,0.69,-2.179,0.531,0.005,0.005,18672.0,12484.0,1.0
z_country[3],0.016,0.556,-1.055,1.142,0.006,0.005,8633.0,10136.0,1.0
z_country[4],0.189,0.577,-0.964,1.327,0.006,0.005,10931.0,10509.0,1.0
z_country[5],0.262,0.575,-0.893,1.384,0.006,0.005,8554.0,11076.0,1.0
z_country[6],0.984,0.621,-0.298,2.161,0.005,0.005,12833.0,11508.0,1.0
z_country[7],0.435,0.557,-0.703,1.51,0.005,0.004,11934.0,11254.0,1.0
z_country[8],-0.83,0.638,-2.068,0.46,0.005,0.005,13652.0,12304.0,1.0
z_country[9],-0.133,0.827,-1.701,1.559,0.005,0.007,28772.0,11091.0,1.0
z_country[10],0.361,0.539,-0.762,1.369,0.007,0.005,6775.0,9294.0,1.0
z_country[11],-0.317,0.548,-1.444,0.716,0.006,0.004,8350.0,10768.0,1.0
z_country[12],-1.437,0.605,-2.664,-0.283,0.005,0.005,12892.0,11902.0,1.0
z_country[13],0.018,0.49,-0.897,1.042,0.006,0.004,7349.0,9205.0,1.0
z_country[14],1.438,0.56,0.365,2.557,0.006,0.004,9353.0,10688.0,1.0
z_country[15],0.284,0.645,-1.02,1.524,0.005,0.005,13840.0,12273.0,1.0
z_country[16],-1.703,0.684,-3.029,-0.324,0.005,0.005,16576.0,12390.0,1.0
z_country[17],0.842,0.545,-0.235,1.942,0.005,0.004,10448.0,10788.0,1.0
z_country[18],0.388,0.523,-0.655,1.384,0.006,0.004,8767.0,10255.0,1.0
z_country[19],-0.154,0.719,-1.616,1.237,0.006,0.006,14365.0,11874.0,1.0
z_country[20],-0.451,0.93,-2.258,1.378,0.005,0.008,33784.0,11802.0,1.0
z_country[21],-0.233,0.613,-1.449,0.956,0.006,0.005,9432.0,10877.0,1.0
z_country[22],-0.265,0.552,-1.316,0.856,0.006,0.005,8997.0,10543.0,1.0
z_country[23],-1.406,0.577,-2.536,-0.265,0.006,0.005,8327.0,9631.0,1.0
z_country[24],-1.063,0.64,-2.33,0.189,0.006,0.006,12971.0,9937.0,1.0
z_country[25],0.185,0.634,-1.041,1.471,0.005,0.005,13726.0,12271.0,1.0
z_country[26],-0.437,0.661,-1.744,0.839,0.005,0.005,15039.0,12739.0,1.0
z_country[27],0.861,0.564,-0.22,2.01,0.005,0.005,10668.0,10116.0,1.0
z_country[28],0.209,0.577,-0.977,1.29,0.006,0.005,10886.0,11281.0,1.0
z_country[29],-0.53,0.58,-1.712,0.575,0.006,0.005,9950.0,9895.0,1.0
z_country[30],-0.387,0.522,-1.421,0.636,0.005,0.004,10424.0,10556.0,1.0
z_country[31],1.096,0.634,-0.12,2.386,0.006,0.005,12357.0,10526.0,1.0
z_country[32],-0.13,0.576,-1.322,0.952,0.006,0.005,8372.0,10061.0,1.0
z_country[33],0.558,0.626,-0.657,1.802,0.005,0.005,14308.0,12745.0,1.0
z_country[34],-0.864,0.545,-1.93,0.212,0.006,0.004,9030.0,10378.0,1.0
z_country[35],0.861,0.608,-0.313,2.09,0.005,0.005,15504.0,12643.0,1.0
z_country[36],-0.917,0.545,-1.998,0.159,0.006,0.005,7624.0,9432.0,1.0
z_country[37],0.656,0.606,-0.509,1.91,0.006,0.005,11817.0,10752.0,1.0
z_country[38],-1.06,0.677,-2.409,0.25,0.005,0.005,17946.0,12926.0,1.0
z_country[39],0.592,0.633,-0.642,1.858,0.006,0.005,11034.0,11252.0,1.0
z_country[40],0.083,0.911,-1.66,1.909,0.005,0.009,34688.0,11549.0,1.0
z_country[41],0.578,0.753,-0.943,2.038,0.006,0.006,16722.0,12290.0,1.0
z_country[42],0.516,0.507,-0.508,1.48,0.005,0.004,9740.0,11269.0,1.0
z_country[43],-1.521,0.569,-2.66,-0.439,0.005,0.005,11325.0,11305.0,1.0
z_country[44],-0.961,0.552,-2.053,0.115,0.006,0.004,7664.0,9934.0,1.0
z_country[45],-0.2,0.525,-1.228,0.842,0.006,0.005,8285.0,9415.0,1.0
z_country[46],0.728,0.822,-0.845,2.381,0.005,0.006,23279.0,13485.0,1.0
z_country[47],0.757,0.746,-0.653,2.245,0.006,0.006,13893.0,10176.0,1.0
z_country[48],-1.032,0.746,-2.424,0.504,0.006,0.007,15884.0,10573.0,1.0
z_country[49],0.572,0.521,-0.457,1.589,0.005,0.004,9560.0,10150.0,1.0
z_country[50],0.292,0.603,-0.924,1.474,0.005,0.005,13871.0,12041.0,1.0
