,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu_global,-1.895,0.224,-2.357,-1.46,0.004,0.004,2632.0,4329.0,1.0
mu_group[0],-1.702,0.174,-2.042,-1.359,0.004,0.002,1871.0,3083.0,1.0
mu_group[1],-1.696,0.152,-2.011,-1.409,0.004,0.003,1538.0,2353.0,1.0
mu_group[2],-1.934,0.167,-2.279,-1.612,0.004,0.002,1840.0,2679.0,1.0
mu_group[3],-1.998,0.151,-2.292,-1.7,0.004,0.003,1453.0,1624.0,1.0
mu_group[4],-2.143,0.346,-2.821,-1.503,0.005,0.004,4050.0,7168.0,1.0
alpha_country[0],-1.699,0.177,-2.059,-1.364,0.004,0.002,1989.0,2883.0,1.0
alpha_country[1],-1.528,0.17,-1.849,-1.182,0.004,0.003,1847.0,2409.0,1.0
alpha_country[2],-2.527,0.307,-3.139,-1.93,0.004,0.003,4920.0,8844.0,1.0
alpha_country[3],-2.065,0.153,-2.363,-1.768,0.004,0.003,1484.0,2042.0,1.0
alpha_country[4],-1.503,0.189,-1.86,-1.121,0.004,0.003,1844.0,2653.0,1.0
alpha_country[5],-1.807,0.153,-2.116,-1.51,0.004,0.003,1380.0,1793.0,1.0
alpha_country[6],-1.301,0.173,-1.646,-0.962,0.004,0.003,1797.0,2672.0,1.0
alpha_country[7],-1.609,0.165,-1.935,-1.282,0.004,0.003,1847.0,2464.0,1.0
alpha_country[8],-2.536,0.188,-2.902,-2.165,0.004,0.002,1934.0,3671.0,1.0
alpha_country[9],-1.663,0.376,-2.416,-0.945,0.004,0.003,7286.0,9693.0,1.0
alpha_country[10],-1.802,0.134,-2.068,-1.541,0.004,0.003,1033.0,1170.0,1.0
alpha_country[11],-2.143,0.148,-2.431,-1.848,0.004,0.003,1362.0,1792.0,1.0
alpha_country[12],-2.892,0.188,-3.257,-2.524,0.004,0.002,2281.0,3802.0,1.0
alpha_country[13],-1.96,0.138,-2.229,-1.683,0.004,0.003,1311.0,1425.0,1.0
alpha_country[14],-1.268,0.156,-1.583,-0.97,0.004,0.003,1392.0,1732.0,1.0
alpha_country[15],-2.066,0.196,-2.451,-1.682,0.004,0.002,2250.0,3281.0,1.0
alpha_country[16],-2.915,0.209,-3.33,-2.51,0.004,0.002,2583.0,4068.0,1.0
alpha_country[17],-1.471,0.158,-1.778,-1.153,0.004,0.002,1388.0,2605.0,1.0
