,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu_global,-1.344,0.134,-1.617,-1.083,0.002,0.002,6341.0,7872.0,1.0
mu_group[0],-1.192,0.145,-1.479,-0.914,0.002,0.001,3770.0,6447.0,1.0
mu_group[1],-1.4,0.115,-1.629,-1.175,0.002,0.001,3481.0,5990.0,1.0
mu_group[2],-1.536,0.111,-1.75,-1.315,0.002,0.001,2492.0,4059.0,1.0
mu_group[3],-1.178,0.127,-1.431,-0.929,0.002,0.001,3693.0,6568.0,1.0
mu_group[4],-1.33,0.17,-1.691,-0.996,0.002,0.003,5176.0,6402.0,1.0
mu_group[5],-1.454,0.308,-2.14,-0.884,0.004,0.005,7124.0,7368.0,1.0
mu_group[6],-1.315,0.154,-1.624,-1.005,0.002,0.002,8452.0,8397.0,1.0
z_country[0],-0.298,0.381,-1.065,0.416,0.005,0.003,6285.0,10753.0,1.0
z_country[1],0.72,0.445,-0.177,1.575,0.005,0.004,6667.0,9274.0,1.0
z_country[2],-0.773,0.618,-2.116,0.46,0.006,0.007,10396.0,7225.0,1.0
z_country[3],-0.13,0.308,-0.729,0.485,0.006,0.003,2961.0,5739.0,1.0
z_country[4],0.69,0.356,0.018,1.41,0.006,0.003,4111.0,7162.0,1.0
z_country[5],0.226,0.309,-0.374,0.82,0.006,0.003,2904.0,5416.0,1.0
z_country[6],1.053,0.471,0.134,1.973,0.006,0.004,6907.0,9200.0,1.0
z_country[7],-0.1,0.435,-1.004,0.699,0.006,0.004,5250.0,8578.0,1.0
z_country[8],-1.083,0.37,-1.826,-0.37,0.005,0.003,5104.0,8969.0,1.0
z_country[9],0.241,0.673,-1.078,1.576,0.004,0.006,22478.0,11504.0,1.0
z_country[10],-0.206,0.733,-1.739,1.269,0.009,0.007,7076.0,9404.0,1.0
z_country[11],-1.294,0.564,-2.419,-0.265,0.008,0.004,4637.0,7348.0,1.0
z_country[12],-1.465,0.396,-2.274,-0.733,0.006,0.003,5172.0,7533.0,1.0
z_country[13],-0.773,0.47,-1.699,0.103,0.007,0.004,4121.0,7212.0,1.0
z_country[14],1.334,0.387,0.592,2.096,0.007,0.004,3438.0,6369.0,1.0
z_country[15],-0.205,0.373,-0.967,0.511,0.005,0.003,5472.0,9806.0,1.0
