,median,mad,eti_2.5%,eti_97.5%,mcse_median,ess_median,ess_tail,r_hat,climate_zone
Algeria,0.142,0.011,0.112,0.177,0.0,10169.777,9701.0,1.0,Northern temperate
Argentina,0.186,0.008,0.162,0.211,0.0,15158.854,13939.0,1.0,Southern temperate
Australia,0.068,0.01,0.043,0.1,0.0,14824.707,12175.0,1.0,Southern temperate
Austria,0.095,0.004,0.084,0.108,0.0,3925.265,6267.0,1.0,Northern temperate
Bangladesh,0.189,0.008,0.169,0.212,0.0,4571.438,7620.0,1.0,Tropical
Belgium,0.139,0.006,0.124,0.157,0.0,3285.045,4923.0,1.0,Northern temperate
Bolivia,0.214,0.009,0.188,0.243,0.0,6169.349,8099.0,1.0,Tropical
Brazil,0.175,0.008,0.155,0.198,0.0,5589.158,8060.0,1.0,Tropical
Bulgaria,0.062,0.004,0.05,0.076,0.0,7680.565,10553.0,1.0,Northern temperate
Cameroon,0.156,0.029,0.087,0.256,0.0,21866.6,11102.0,1.0,Tropical
Canada,0.13,0.005,0.117,0.145,0.0,2754.18,4406.0,1.0,Northern temperate
Chile,0.096,0.004,0.084,0.109,0.0,14819.762,13908.0,1.0,Southern temperate
China,0.034,0.002,0.029,0.041,0.0,6326.215,7455.0,1.0,Northern temperate
Colombia,0.123,0.005,0.11,0.137,0.0,3904.471,5995.0,1.0,Tropical
Croatia,0.196,0.008,0.174,0.219,0.0,4209.623,6305.0,1.0,Northern temperate
Czech Republic,0.089,0.006,0.072,0.11,0.0,7327.232,10751.0,1.0,Northern temperate
Denmark,0.048,0.004,0.038,0.061,0.0,8843.27,10743.0,1.0,Northern temperate
Ecuador,0.178,0.008,0.157,0.201,0.0,5841.449,8149.0,1.0,Tropical
Egypt,0.134,0.005,0.119,0.151,0.0,5013.875,6985.0,1.0,Tropical
Ethiopia,0.164,0.014,0.127,0.208,0.0,11659.552,12753.0,1.0,Tropical
Fiji,0.121,0.029,0.055,0.232,0.0,20551.57,11138.0,1.0,Tropical
Finland,0.102,0.005,0.088,0.118,0.0,5166.622,8101.0,1.0,Northern temperate
France,0.091,0.004,0.08,0.104,0.0,3466.37,5508.0,1.0,Northern temperate
Germany,0.046,0.002,0.041,0.053,0.0,3637.838,5972.0,1.0,Northern temperate
Ghana,0.141,0.009,0.117,0.168,0.0,8840.594,10149.0,1.0,Tropical
Greece,0.104,0.005,0.089,0.121,0.0,5233.977,7352.0,1.0,Northern temperate
Guyana,0.104,0.011,0.077,0.138,0.0,14751.58,13033.0,1.0,Tropical
Honduras,0.25,0.009,0.223,0.278,0.0,5522.892,7855.0,1.0,Tropical
Hong Kong,0.097,0.005,0.085,0.112,0.0,4929.31,7184.0,1.0,Northern temperate
Hungary,0.112,0.008,0.092,0.136,0.0,7694.636,10382.0,1.0,Northern temperate
India,0.168,0.007,0.149,0.19,0.0,5039.375,7490.0,1.0,Tropical
Indonesia,0.114,0.005,0.101,0.128,0.0,4708.858,6757.0,1.0,Tropical
Iraq,0.306,0.016,0.263,0.353,0.0,7355.022,8491.0,1.0,Northern temperate
Ireland,0.102,0.005,0.088,0.116,0.0,4544.908,7103.0,1.0,Northern temperate
Israel,0.148,0.015,0.11,0.196,0.0,12660.911,12335.0,1.0,Northern temperate
Italy,0.081,0.004,0.072,0.092,0.0,3717.447,5158.0,1.0,Northern temperate
Jamaica,0.184,0.009,0.161,0.211,0.0,6634.123,9054.0,1.0,Tropical
