,median,mad,eti_2.5%,eti_97.5%,mcse_median,ess_median,ess_tail,r_hat,hdi_category
Algeria,0.152,0.019,0.105,0.216,0.0,17409.989,12269.0,1.0,High
Argentina,0.152,0.022,0.099,0.23,0.0,16703.401,11489.0,1.0,Very high
Australia,0.089,0.015,0.052,0.145,0.0,16192.753,12544.0,1.0,Very high
Austria,0.121,0.015,0.084,0.173,0.0,13614.329,11235.0,1.0,Very high
Bangladesh,0.214,0.019,0.162,0.278,0.0,15282.311,10969.0,1.0,Medium
Belgium,0.132,0.017,0.089,0.192,0.0,12892.875,10395.0,1.0,Very high
Bolivia,0.186,0.027,0.12,0.276,0.001,12748.761,11170.0,1.0,High
Brazil,0.152,0.019,0.104,0.218,0.0,17293.224,11622.0,1.0,High
Bulgaria,0.089,0.014,0.055,0.138,0.0,14590.19,11699.0,1.0,Very high
Cameroon,0.196,0.032,0.109,0.309,0.0,18295.112,13361.0,1.0,Medium
Canada,0.137,0.016,0.095,0.193,0.0,11474.33,10191.0,1.0,Very high
Chile,0.108,0.014,0.073,0.154,0.0,13686.145,11575.0,1.0,Very high
China,0.072,0.011,0.046,0.113,0.0,11053.594,9605.0,1.0,High
Colombia,0.13,0.014,0.094,0.175,0.0,13553.738,11242.0,1.0,High
Croatia,0.198,0.024,0.138,0.278,0.0,12854.172,9770.0,1.0,Very high
Czech Republic,0.133,0.02,0.085,0.202,0.0,17776.143,12976.0,1.0,Very high
Denmark,0.064,0.012,0.036,0.106,0.0,14390.206,11984.0,1.0,Very high
Ecuador,0.176,0.021,0.121,0.247,0.0,13023.05,10555.0,1.0,High
Egypt,0.149,0.017,0.105,0.207,0.0,13126.877,10554.0,1.0,High
Ethiopia,0.207,0.025,0.136,0.305,0.0,14722.503,10325.0,1.0,Low
Fiji,0.109,0.027,0.044,0.213,0.0,19352.694,11315.0,1.0,High
Finland,0.11,0.016,0.071,0.168,0.0,15251.325,10473.0,1.0,Very high
France,0.11,0.014,0.075,0.158,0.0,12259.863,11167.0,1.0,Very high
Germany,0.071,0.01,0.046,0.108,0.0,10765.18,10362.0,1.0,Very high
Ghana,0.146,0.018,0.099,0.207,0.0,13864.976,5771.0,1.0,Medium
Greece,0.128,0.019,0.082,0.197,0.0,16577.099,12040.0,1.0,Very high
Guyana,0.109,0.018,0.064,0.173,0.0,18807.254,12790.0,1.0,High
Honduras,0.26,0.022,0.2,0.327,0.0,11673.837,10801.0,1.0,Medium
Hong Kong,0.108,0.016,0.069,0.164,0.0,16038.315,12286.0,1.0,Very high
Hungary,0.13,0.017,0.087,0.19,0.0,16603.026,12081.0,1.0,Very high
India,0.173,0.017,0.128,0.228,0.0,13942.049,12040.0,1.0,Medium
Indonesia,0.112,0.013,0.078,0.157,0.0,14704.336,11021.0,1.0,High
Iraq,0.279,0.029,0.2,0.369,0.0,11816.664,9313.0,1.0,Medium
Ireland,0.115,0.015,0.078,0.168,0.0,12698.911,11321.0,1.0,Very high
