,median,mad,eti_2.5%,eti_97.5%,mcse_median,ess_median,ess_tail,r_hat,region
Algeria,0.16,0.014,0.131,0.21,0.003,45.904,32.0,,Africa
Argentina,0.187,0.016,0.16,0.228,0.013,6.583,36.0,,Americas
Australia,0.085,0.015,0.048,0.12,0.006,22.204,45.0,,Oceania
Austria,0.115,0.008,0.093,0.129,0.005,14.837,36.0,,Europe
Bangladesh,0.181,0.012,0.155,0.214,0.006,16.684,18.0,,Asia
Belgium,0.155,0.008,0.134,0.176,0.008,1.986,18.0,,Europe
Bolivia,0.217,0.021,0.178,0.278,0.022,1.894,32.0,,Americas
Brazil,0.168,0.014,0.135,0.213,0.006,15.593,18.0,,Americas
Bulgaria,0.077,0.006,0.06,0.1,0.003,28.59,32.0,,Europe
Cameroon,0.159,0.032,0.1,0.256,0.008,59.289,33.0,,Africa
Canada,0.141,0.008,0.117,0.159,0.006,6.199,18.0,,Americas
Chile,0.108,0.006,0.094,0.134,0.004,9.629,21.0,,Americas
China,0.049,0.004,0.04,0.063,0.001,30.569,17.0,,Asia
Colombia,0.127,0.005,0.113,0.141,0.002,15.683,33.0,,Americas
Croatia,0.231,0.014,0.175,0.26,0.007,10.259,18.0,,Europe
Czech Republic,0.118,0.01,0.083,0.157,0.007,6.464,18.0,,Europe
Denmark,0.048,0.006,0.037,0.063,0.002,27.104,60.0,,Europe
Ecuador,0.196,0.011,0.145,0.235,0.007,13.067,18.0,,Americas
Egypt,0.148,0.012,0.127,0.174,0.009,3.156,32.0,,Africa
Ethiopia,0.192,0.021,0.151,0.244,0.01,21.667,18.0,,Africa
Fiji,0.085,0.021,0.03,0.165,0.006,35.397,18.0,,Oceania
Finland,0.109,0.009,0.092,0.14,0.004,34.283,18.0,,Europe
France,0.088,0.01,0.073,0.117,0.014,1.577,18.0,,Europe
Germany,0.054,0.003,0.04,0.065,0.001,19.721,12.0,,Europe
Ghana,0.147,0.008,0.123,0.189,0.003,38.486,24.0,,Africa
Greece,0.123,0.01,0.099,0.156,0.009,4.271,32.0,,Europe
Guyana,0.112,0.015,0.078,0.162,0.011,4.303,60.0,,Americas
Honduras,0.267,0.02,0.229,0.307,0.015,4.949,12.0,,Americas
Hong Kong,0.102,0.016,0.077,0.138,0.016,3.119,18.0,,Asia
Hungary,0.134,0.014,0.102,0.17,0.006,14.697,50.0,,Europe
India,0.161,0.013,0.126,0.194,0.008,10.99,18.0,,Asia
Indonesia,0.107,0.007,0.096,0.131,0.004,8.484,20.0,,Asia
Iraq,0.283,0.028,0.227,0.338,0.013,26.339,26.0,,Asia
Ireland,0.117,0.011,0.092,0.135,0.006,17.022,20.0,,Europe
Israel,0.163,0.02,0.11,0.213,0.008,32.895,32.0,,Asia
Italy,0.079,0.006,0.067,0.098,0.004,7.43,26.0,,Europe
Jamaica,0.203,0.016,0.154,0.229,0.01,11.313,18.0,,Americas
Japan,0.084,0.008,0.064,0.103,0.006,7.254,14.0,,Asia
Kenya,0.258,0.01,0.233,0.305,0.004,20.447,20.0,,Africa
Korea,0.085,0.013,0.054,0.124,0.006,25.145,44.0,,Asia
Malaysia,0.182,0.011,0.127,0.204,0.004,19.345,12.0,,Asia
