,median,mad,eti_2.5%,eti_97.5%,mcse_median,ess_median,ess_tail,r_hat,region
Algeria,0.209,0.015,0.168,0.255,0.0,15686.962,12360.0,1.0,Africa
Argentina,0.282,0.016,0.236,0.332,0.0,7123.517,7715.0,1.0,Americas
Australia,0.12,0.016,0.075,0.176,0.0,10295.172,10420.0,1.0,Oceania
Austria,0.167,0.01,0.139,0.2,0.0,3682.833,4987.0,1.0,Europe
Bangladesh,0.259,0.017,0.212,0.314,0.0,5508.424,6632.0,1.0,Asia
Belgium,0.193,0.012,0.161,0.229,0.0,2980.747,3682.0,1.0,Europe
Bolivia,0.301,0.018,0.252,0.355,0.0,6416.664,7438.0,1.0,Americas
Brazil,0.228,0.014,0.189,0.271,0.0,5085.45,5278.0,1.0,Americas
Bulgaria,0.112,0.01,0.087,0.144,0.0,9223.751,9958.0,1.0,Europe
Cameroon,0.259,0.042,0.151,0.4,0.001,19190.627,12158.0,1.0,Africa
Canada,0.204,0.009,0.179,0.232,0.0,3177.619,4263.0,1.0,Americas
Chile,0.168,0.009,0.143,0.196,0.0,5941.1,8049.0,1.0,Americas
China,0.104,0.008,0.082,0.132,0.0,5010.799,6694.0,1.0,Asia
Colombia,0.193,0.009,0.168,0.22,0.0,4601.407,6147.0,1.0,Americas
Croatia,0.29,0.016,0.246,0.338,0.0,4790.832,5252.0,1.0,Europe
Czech Republic,0.163,0.015,0.124,0.211,0.0,7663.82,9046.0,1.0,Europe
Denmark,0.07,0.008,0.051,0.096,0.0,9231.862,10418.0,1.0,Europe
Ecuador,0.271,0.014,0.232,0.314,0.0,5725.117,6667.0,1.0,Americas
Egypt,0.22,0.01,0.19,0.252,0.0,5605.914,6743.0,1.0,Africa
Ethiopia,0.297,0.025,0.228,0.376,0.0,12039.914,11194.0,1.0,Africa
Fiji,0.139,0.033,0.048,0.312,0.001,12372.85,9499.0,1.0,Oceania
Finland,0.144,0.011,0.115,0.177,0.0,5868.76,7302.0,1.0,Europe
France,0.127,0.009,0.103,0.155,0.0,3669.117,5043.0,1.0,Europe
Germany,0.082,0.006,0.067,0.1,0.0,2959.535,4239.0,1.0,Europe
Ghana,0.22,0.014,0.18,0.265,0.0,10628.635,10456.0,1.0,Africa
