climate_zone,time_period,median,mad,eti_2.5%,eti_97.5%,mcse_median,ess_median,ess_tail,r_hat
Northern temperate,2021-01,0.055,0.005,0.043,0.07,0.0,17974.831,13337.0,1.0
Northern temperate,2021-02,0.092,0.007,0.073,0.116,0.0,17702.328,12480.0,1.0
Northern temperate,2021-03,0.049,0.004,0.038,0.064,0.0,18273.673,13932.0,1.0
Northern temperate,2021-04,0.044,0.004,0.034,0.056,0.0,19129.874,12319.0,1.0
Northern temperate,2021-05,0.069,0.006,0.055,0.088,0.0,18761.653,12350.0,1.0
Northern temperate,2021-06,0.094,0.007,0.075,0.117,0.0,18575.234,13242.0,1.0
Northern temperate,2021-07,0.191,0.013,0.158,0.231,0.0,16569.68,13188.0,1.0
Northern temperate,2021-08,0.173,0.012,0.142,0.211,0.0,16250.229,12390.0,1.0
Northern temperate,2021-09,0.091,0.007,0.073,0.114,0.0,16352.065,12477.0,1.0
Northern temperate,2021-10,0.062,0.005,0.05,0.078,0.0,16146.462,12810.0,1.0
Northern temperate,2021-11,0.06,0.005,0.048,0.075,0.0,17424.623,12605.0,1.0
Northern temperate,2021-12,0.086,0.007,0.068,0.108,0.0,17568.849,13512.0,1.0
Northern temperate,2022-01,0.067,0.005,0.052,0.084,0.0,20716.635,13913.0,1.0
Northern temperate,2022-02,0.094,0.007,0.075,0.117,0.0,17230.346,12613.0,1.0
Northern temperate,2022-03,0.084,0.007,0.066,0.105,0.0,18557.557,13524.0,1.0
Northern temperate,2022-04,0.091,0.007,0.072,0.114,0.0,17799.196,13647.0,1.0
Northern temperate,2022-05,0.117,0.009,0.094,0.145,0.0,17685.239,13408.0,1.0
Northern temperate,2022-06,0.127,0.009,0.103,0.156,0.0,16737.032,13026.0,1.0
Northern temperate,2022-07,0.234,0.014,0.195,0.278,0.0,15170.849,12043.0,1.0
Northern temperate,2022-08,0.166,0.011,0.135,0.201,0.0,15690.531,12601.0,1.0
Northern temperate,2022-09,0.129,0.009,0.105,0.159,0.0,16420.778,12682.0,1.0
Northern temperate,2022-10,0.1,0.008,0.08,0.124,0.0,16954.475,12709.0,1.0
Northern temperate,2022-11,0.095,0.007,0.077,0.118,0.0,16917.521,13188.0,1.0
Northern temperate,2022-12,0.068,0.006,0.054,0.086,0.0,17806.404,12892.0,1.0
Northern temperate,2023-01,0.083,0.006,0.066,0.104,0.0,17391.017,13201.0,1.0
Northern temperate,2023-02,0.066,0.006,0.052,0.084,0.0,17784.147,14218.0,1.0
Northern temperate,2023-03,0.091,0.007,0.073,0.114,0.0,16685.114,13407.0,1.0
Northern temperate,2023-04,0.087,0.007,0.07,0.109,0.0,17610.417,13598.0,1.0
Northern temperate,2023-05,0.112,0.009,0.09,0.139,0.0,16691.118,13441.0,1.0
Northern temperate,2023-06,0.153,0.01,0.124,0.186,0.0,16627.54,13035.0,1.0
Northern temperate,2023-07,0.253,0.015,0.212,0.3,0.0,15382.98,11642.0,1.0
Northern temperate,2023-08,0.171,0.012,0.139,0.208,0.0,16072.63,13264.0,1.0
Northern temperate,2023-09,0.134,0.01,0.109,0.165,0.0,17474.18,12772.0,1.0
Northern temperate,2023-10,0.096,0.007,0.077,0.12,0.0,17510.482,12887.0,1.0
Northern temperate,2023-11,0.099,0.007,0.08,0.123,0.0,16323.927,13115.0,1.0
