region,time_period,median,mad,eti_2.5%,eti_97.5%,mcse_median,ess_median,ess_tail,r_hat
Africa,2021,0.123,0.01,0.096,0.157,0.0,10383.841,12547.0,1.0
Africa,2022,0.159,0.013,0.125,0.2,0.0,10836.498,12963.0,1.0
Africa,2023,0.163,0.013,0.129,0.206,0.0,10840.899,11413.0,1.0
Africa,2024,0.17,0.013,0.135,0.213,0.0,10849.741,12258.0,1.0
Africa,2025,0.165,0.013,0.131,0.208,0.0,10864.016,12379.0,1.0
Americas,2021,0.124,0.008,0.101,0.15,0.0,10091.563,10826.0,1.0
Americas,2022,0.16,0.01,0.131,0.192,0.0,10742.331,11087.0,1.0
Americas,2023,0.164,0.01,0.134,0.197,0.0,10377.155,10192.0,1.0
Americas,2024,0.171,0.011,0.141,0.205,0.0,10953.284,10937.0,1.0
Americas,2025,0.166,0.01,0.136,0.199,0.0,10806.506,10343.0,1.0
Asia,2021,0.1,0.008,0.078,0.127,0.0,12380.36,12355.0,1.0
Asia,2022,0.131,0.01,0.102,0.163,0.0,12263.828,11661.0,1.0
Asia,2023,0.134,0.01,0.105,0.167,0.0,12559.427,11506.0,1.0
Asia,2024,0.14,0.011,0.11,0.174,0.0,12347.673,11148.0,1.0
Asia,2025,0.136,0.01,0.106,0.169,0.0,12892.916,11252.0,1.0
Europe,2021,0.094,0.007,0.077,0.116,0.0,11744.501,10842.0,1.0
Europe,2022,0.123,0.008,0.101,0.15,0.0,10966.391,10618.0,1.0
Europe,2023,0.127,0.009,0.104,0.153,0.0,11675.551,9866.0,1.0
Europe,2024,0.132,0.009,0.108,0.161,0.0,10788.41,9144.0,1.0
Europe,2025,0.128,0.009,0.105,0.155,0.0,11656.55,8824.0,1.0
Oceania,2021,0.085,0.018,0.043,0.138,0.0,6170.2,9533.0,1.0
Oceania,2022,0.111,0.023,0.057,0.177,0.001,6215.763,9553.0,1.0
Oceania,2023,0.114,0.023,0.059,0.181,0.001,6208.917,9598.0,1.0
Oceania,2024,0.119,0.024,0.061,0.188,0.001,6187.92,9580.0,1.0
Oceania,2025,0.115,0.023,0.059,0.184,0.001,6171.291,9449.0,1.0
