region,time_period,median,mad,eti_2.5%,eti_97.5%,mcse_median,ess_median,ess_tail,r_hat
Africa,2021,0.232,0.017,0.187,0.289,0.0,5289.433,7596.0,1.0
Africa,2022,0.236,0.017,0.19,0.293,0.001,5124.289,6967.0,1.0
Africa,2023,0.23,0.017,0.186,0.287,0.0,5308.83,7730.0,1.0
Africa,2024,0.234,0.017,0.189,0.289,0.0,5231.907,7465.0,1.0
Africa,2025,0.229,0.017,0.184,0.284,0.0,5181.646,7644.0,1.0
Asia,2021,0.198,0.012,0.164,0.235,0.0,4820.112,5875.0,1.0
Asia,2022,0.201,0.012,0.167,0.239,0.0,4777.978,6097.0,1.0
Asia,2023,0.196,0.012,0.162,0.233,0.0,4951.232,6288.0,1.0
Asia,2024,0.199,0.012,0.164,0.237,0.0,4812.238,6315.0,1.0
Asia,2025,0.195,0.012,0.161,0.232,0.0,5027.917,6021.0,1.0
Europe,2021,0.177,0.011,0.148,0.212,0.0,3410.917,4729.0,1.0
Europe,2022,0.18,0.011,0.15,0.215,0.0,3534.701,4552.0,1.0
Europe,2023,0.175,0.011,0.147,0.21,0.0,3533.185,4778.0,1.0
Europe,2024,0.178,0.011,0.149,0.212,0.0,3461.832,4874.0,1.0
Europe,2025,0.174,0.011,0.146,0.209,0.0,3540.274,4634.0,1.0
Latin America,2021,0.236,0.015,0.192,0.282,0.0,5198.054,7454.0,1.0
Latin America,2022,0.24,0.015,0.195,0.286,0.0,5096.733,7147.0,1.0
Latin America,2023,0.234,0.015,0.191,0.28,0.0,5365.987,7692.0,1.0
Latin America,2024,0.237,0.015,0.193,0.283,0.0,5320.251,7104.0,1.0
Latin America,2025,0.233,0.015,0.19,0.279,0.0,5086.762,7342.0,1.0
Northern America,2021,0.21,0.014,0.155,0.269,0.0,6354.444,6543.0,1.0
Northern America,2022,0.213,0.015,0.158,0.273,0.0,5951.414,6408.0,1.0
Northern America,2023,0.208,0.014,0.153,0.266,0.0,5958.804,6466.0,1.0
Northern America,2024,0.211,0.014,0.156,0.269,0.0,6170.29,6727.0,1.0
Northern America,2025,0.207,0.014,0.153,0.264,0.0,6096.997,6505.0,1.0
Oceania,2021,0.195,0.026,0.103,0.29,0.001,7702.456,7153.0,1.0
Oceania,2022,0.198,0.026,0.105,0.293,0.001,8116.784,7123.0,1.0
Oceania,2023,0.193,0.025,0.103,0.287,0.0,7770.706,7208.0,1.0
Oceania,2024,0.196,0.026,0.104,0.291,0.0,8153.278,7351.0,1.0
Oceania,2025,0.192,0.025,0.102,0.285,0.0,7882.706,7242.0,1.0
SIDS,2021,0.212,0.016,0.164,0.267,0.0,10348.701,9676.0,1.0
SIDS,2022,0.215,0.016,0.167,0.271,0.0,10651.873,9760.0,1.0
SIDS,2023,0.21,0.016,0.163,0.264,0.0,10979.255,9533.0,1.0
SIDS,2024,0.213,0.016,0.165,0.268,0.0,11185.558,9660.0,1.0
SIDS,2025,0.209,0.015,0.161,0.263,0.0,10995.151,9645.0,1.0
