,median,mad,eti_2.5%,eti_97.5%,mcse_median,ess_median,ess_tail,r_hat
2021-01,0.068,0.01,0.035,0.127,0.0,12911.489,6473.0,1.0
2021-02,0.104,0.015,0.055,0.189,0.0,12050.006,6316.0,1.0
2021-03,0.074,0.011,0.038,0.14,0.0,13864.149,6346.0,1.0
2021-04,0.064,0.01,0.033,0.122,0.0,12683.211,6459.0,1.0
2021-05,0.085,0.013,0.044,0.157,0.0,13533.401,6312.0,1.0
2021-06,0.101,0.015,0.053,0.184,0.0,13111.995,6282.0,1.0
2021-07,0.197,0.026,0.108,0.333,0.0,12426.284,6269.0,1.0
2021-08,0.185,0.024,0.102,0.312,0.0,12084.339,6144.0,1.0
2021-09,0.113,0.016,0.06,0.204,0.0,12584.878,6280.0,1.0
2021-10,0.085,0.013,0.044,0.159,0.0,12813.78,6289.0,1.0
2021-11,0.074,0.011,0.039,0.139,0.0,12098.691,6471.0,1.0
2021-12,0.113,0.017,0.06,0.206,0.0,13431.681,6467.0,1.0
2022-01,0.083,0.013,0.044,0.156,0.0,13101.173,6354.0,1.0
2022-02,0.112,0.016,0.059,0.202,0.0,12344.517,6471.0,1.0
2022-03,0.119,0.017,0.064,0.213,0.0,13138.808,6477.0,1.0
2022-04,0.117,0.017,0.062,0.209,0.0,12589.632,6284.0,1.0
2022-05,0.129,0.018,0.069,0.227,0.0,12659.32,6201.0,1.0
2022-06,0.127,0.018,0.068,0.227,0.0,12788.099,6124.0,1.0
2022-07,0.24,0.029,0.136,0.389,0.0,12611.026,6245.0,1.0
2022-08,0.174,0.023,0.096,0.298,0.0,12916.499,5976.0,1.0
2022-09,0.152,0.02,0.082,0.264,0.0,12863.575,6244.0,1.0
2022-10,0.127,0.018,0.068,0.227,0.0,12723.431,6454.0,1.0
2022-11,0.109,0.016,0.058,0.198,0.0,11676.267,6297.0,1.0
2022-12,0.094,0.014,0.049,0.173,0.0,12651.029,6262.0,1.0
2023-01,0.097,0.015,0.051,0.179,0.0,12830.683,6188.0,1.0
2023-02,0.093,0.014,0.049,0.173,0.0,11827.562,6560.0,1.0
2023-03,0.117,0.017,0.062,0.21,0.0,13080.735,6344.0,1.0
2023-04,0.111,0.016,0.058,0.202,0.0,12405.799,6334.0,1.0
2023-05,0.137,0.019,0.074,0.242,0.0,11993.827,6485.0,1.0
2023-06,0.155,0.021,0.085,0.27,0.0,12097.792,6508.0,1.0
2023-07,0.241,0.03,0.139,0.392,0.0,12105.191,6319.0,1.0
2023-08,0.186,0.025,0.103,0.315,0.0,12835.835,6326.0,1.0
2023-09,0.147,0.02,0.079,0.261,0.0,12322.267,6341.0,1.0
2023-10,0.128,0.018,0.069,0.229,0.0,12236.016,6470.0,1.0
2023-11,0.124,0.017,0.066,0.223,0.0,12579.262,6294.0,1.0
2023-12,0.099,0.014,0.052,0.182,0.0,13059.73,6456.0,1.0
2024-01,0.095,0.014,0.049,0.174,0.0,13561.01,6626.0,1.0
2024-02,0.11,0.016,0.059,0.199,0.0,13101.718,6410.0,1.0
2024-03,0.119,0.017,0.063,0.215,0.0,12546.244,6235.0,1.0
2024-04,0.169,0.023,0.092,0.288,0.0,12758.134,6378.0,1.0
2024-05,0.198,0.025,0.109,0.332,0.0,12870.49,6261.0,1.0
2024-06,0.175,0.023,0.095,0.294,0.0,11952.165,6581.0,1.0
2024-07,0.179,0.024,0.098,0.305,0.0,12781.215,6418.0,1.0
2024-08,0.169,0.023,0.093,0.29,0.0,12097.273,6001.0,1.0
2024-09,0.144,0.02,0.077,0.252,0.0,11932.96,6688.0,1.0
2024-10,0.147,0.02,0.079,0.256,0.0,12767.239,6263.0,1.0
2024-11,0.107,0.015,0.057,0.193,0.0,12515.712,6204.0,1.0
2024-12,0.104,0.015,0.055,0.188,0.0,13032.887,6571.0,1.0
2025-01,0.119,0.017,0.064,0.213,0.0,12957.77,6409.0,1.0
2025-02,0.102,0.015,0.053,0.185,0.0,12786.521,6272.0,1.0
2025-03,0.13,0.018,0.07,0.232,0.0,12841.16,6257.0,1.0
2025-04,0.113,0.017,0.06,0.205,0.0,12605.792,6305.0,1.0
2025-05,0.138,0.019,0.074,0.245,0.0,12911.562,6364.0,1.0
2025-06,0.151,0.021,0.081,0.264,0.0,13459.996,6336.0,1.0
2025-07,0.203,0.026,0.113,0.333,0.001,11942.166,6315.0,1.0
2025-08,0.206,0.026,0.115,0.341,0.0,12716.547,5859.0,1.0
2025-09,0.144,0.02,0.078,0.251,0.0,13151.827,6089.0,1.0
2025-10,0.131,0.018,0.07,0.23,0.0,12961.528,6259.0,1.0
2025-11,0.123,0.017,0.065,0.22,0.0,13175.625,6315.0,1.0
2025-12,0.119,0.017,0.063,0.214,0.0,12062.578,6549.0,1.0
