source,country,group,time_period,k,n
20min.ch,Switzerland,Europe,2024,0,1
20min.ch,Switzerland,Europe,2025,0,8
24sata.hr,Croatia,Europe,2021,12,28
24sata.hr,Croatia,Europe,2022,0,3
24sata.hr,Croatia,Europe,2023,1,2
24sata.hr,Croatia,Europe,2024,2,3
24sata.hr,Croatia,Europe,2025,1,1
aamulehti.fi,Finland,Europe,2025,0,2
aawsat.com,Saudi Arabia,Asia,2021,179,729
aawsat.com,Saudi Arabia,Asia,2022,201,779
aawsat.com,Saudi Arabia,Asia,2023,194,642
aawsat.com,Saudi Arabia,Asia,2024,145,484
aawsat.com,Saudi Arabia,Asia,2025,115,315
abc.es,Spain,Europe,2021,23,161
abc.es,Spain,Europe,2022,8,38
abc.es,Spain,Europe,2023,49,351
abc.es,Spain,Europe,2024,151,850
abc.es,Spain,Europe,2025,165,1064
abola.pt,Portugal,Europe,2023,0,3
ad.nl,Netherlands,Europe,2021,17,394
ad.nl,Netherlands,Europe,2022,19,393
ad.nl,Netherlands,Europe,2023,9,123
ad.nl,Netherlands,Europe,2024,8,70
ad.nl,Netherlands,Europe,2025,12,61
adevarul.ro,Romania,Europe,2021,11,29
adevarul.ro,Romania,Europe,2022,7,26
adevarul.ro,Romania,Europe,2023,2,18
adevarul.ro,Romania,Europe,2024,0,1
adevarul.ro,Romania,Europe,2025,0,1
aftonbladet.se,Sweden,Europe,2021,1,1
aftonbladet.se,Sweden,Europe,2022,0,4
aftonbladet.se,Sweden,Europe,2023,3,4
aftonbladet.se,Sweden,Europe,2024,4,11
aftonbladet.se,Sweden,Europe,2025,3,17
aif.ru,Russia,Europe,2021,31,231
aif.ru,Russia,Europe,2022,27,107
aif.ru,Russia,Europe,2023,50,212
aif.ru,Russia,Europe,2024,29,137
aif.ru,Russia,Europe,2025,38,158
aksam.com.tr,Turkey,Asia,2021,120,520
aksam.com.tr,Turkey,Asia,2022,93,504
aksam.com.tr,Turkey,Asia,2023,93,530
aksam.com.tr,Turkey,Asia,2024,58,408
aksam.com.tr,Turkey,Asia,2025,64,507
albayan.ae,United Arab Emirates,Asia,2021,141,989
albayan.ae,United Arab Emirates,Asia,2022,224,1433
albayan.ae,United Arab Emirates,Asia,2023,206,1659
albayan.ae,United Arab Emirates,Asia,2024,86,805
albayan.ae,United Arab Emirates,Asia,2025,78,591
almadapaper.net,Iraq,Asia,2021,26,41
almadapaper.net,Iraq,Asia,2022,50,96
almadapaper.net,Iraq,Asia,2023,68,134
almadapaper.net,Iraq,Asia,2024,67,142
almadapaper.net,Iraq,Asia,2025,67,108
almasryalyoum.com,Egypt,Africa,2021,39,150
almasryalyoum.com,Egypt,Africa,2024,53,289
almasryalyoum.com,Egypt,Africa,2025,100,468
alriyadh.com,Saudi Arabia,Asia,2023,10,85
alriyadh.com,Saudi Arabia,Asia,2024,80,339
alriyadh.com,Saudi Arabia,Asia,2025,26,148
alwafd.news,Egypt,Africa,2021,3,56
alwafd.news,Egypt,Africa,2023,207,758
alwafd.news,Egypt,Africa,2024,129,609
alwafd.news,Egypt,Africa,2025,87,451
arabnews.com,Saudi Arabia,Asia,2021,134,798
arabnews.com,Saudi Arabia,Asia,2022,272,1294
arabnews.com,Saudi Arabia,Asia,2023,234,1151
