source,country,group,time_period,k,n
20min.ch,Switzerland,Europe,2024,0,1
20min.ch,Switzerland,Europe,2025,0,8
24sata.hr,Croatia,Europe,2021,10,28
24sata.hr,Croatia,Europe,2022,0,3
24sata.hr,Croatia,Europe,2023,1,2
24sata.hr,Croatia,Europe,2024,2,3
24sata.hr,Croatia,Europe,2025,1,1
aamulehti.fi,Finland,Europe,2025,0,2
aawsat.com,Saudi Arabia,Asia,2021,109,729
aawsat.com,Saudi Arabia,Asia,2022,154,779
aawsat.com,Saudi Arabia,Asia,2023,156,642
aawsat.com,Saudi Arabia,Asia,2024,115,484
aawsat.com,Saudi Arabia,Asia,2025,97,315
abc.es,Spain,Europe,2021,7,161
abc.es,Spain,Europe,2022,4,38
abc.es,Spain,Europe,2023,31,351
abc.es,Spain,Europe,2024,116,850
abc.es,Spain,Europe,2025,117,1064
abola.pt,Portugal,Europe,2023,0,3
ad.nl,Netherlands,Europe,2021,8,394
ad.nl,Netherlands,Europe,2022,13,393
ad.nl,Netherlands,Europe,2023,5,123
ad.nl,Netherlands,Europe,2024,7,70
ad.nl,Netherlands,Europe,2025,10,61
adevarul.ro,Romania,Europe,2021,6,29
adevarul.ro,Romania,Europe,2022,4,26
adevarul.ro,Romania,Europe,2023,2,18
adevarul.ro,Romania,Europe,2024,0,1
adevarul.ro,Romania,Europe,2025,0,1
aftonbladet.se,Sweden,Europe,2021,0,1
aftonbladet.se,Sweden,Europe,2022,0,4
aftonbladet.se,Sweden,Europe,2023,1,4
aftonbladet.se,Sweden,Europe,2024,2,11
aftonbladet.se,Sweden,Europe,2025,1,17
aif.ru,Russia,Europe,2021,15,231
aif.ru,Russia,Europe,2022,21,107
aif.ru,Russia,Europe,2023,41,212
aif.ru,Russia,Europe,2024,27,137
aif.ru,Russia,Europe,2025,35,158
aksam.com.tr,Turkey,Asia,2021,73,520
aksam.com.tr,Turkey,Asia,2022,70,504
aksam.com.tr,Turkey,Asia,2023,80,530
aksam.com.tr,Turkey,Asia,2024,44,408
aksam.com.tr,Turkey,Asia,2025,45,507
albayan.ae,United Arab Emirates,Asia,2021,88,989
albayan.ae,United Arab Emirates,Asia,2022,171,1433
albayan.ae,United Arab Emirates,Asia,2023,160,1659
albayan.ae,United Arab Emirates,Asia,2024,66,805
albayan.ae,United Arab Emirates,Asia,2025,57,591
almadapaper.net,Iraq,Asia,2021,14,41
almadapaper.net,Iraq,Asia,2022,41,96
almadapaper.net,Iraq,Asia,2023,57,134
almadapaper.net,Iraq,Asia,2024,54,142
almadapaper.net,Iraq,Asia,2025,55,108
almasryalyoum.com,Egypt,Africa,2021,14,150
almasryalyoum.com,Egypt,Africa,2024,33,289
almasryalyoum.com,Egypt,Africa,2025,75,468
alriyadh.com,Saudi Arabia,Asia,2023,9,85
alriyadh.com,Saudi Arabia,Asia,2024,58,339
alriyadh.com,Saudi Arabia,Asia,2025,20,148
alwafd.news,Egypt,Africa,2021,1,56
alwafd.news,Egypt,Africa,2023,170,758
alwafd.news,Egypt,Africa,2024,87,609
alwafd.news,Egypt,Africa,2025,61,451
arabnews.com,Saudi Arabia,Asia,2021,56,798
arabnews.com,Saudi Arabia,Asia,2022,214,1294
arabnews.com,Saudi Arabia,Asia,2023,188,1151
