source,language,article_id,url,title,extracted_at,climate_max_sim,climate_best_keyword,health_max_sim,health_best_keyword,climate_threshold,health_threshold,category
aftonbladet_se,Swedish,46,https://www.aftonbladet.se/tagg/yellowstone-tv-serie,Yellowstone (tv-serie),2026-03-08 16:10:38,0.6032,heatwave,0.5966,hunger,0.60,0.62,climate
aftonbladet_se,Swedish,106,https://www.aftonbladet.se/tagg/whitney-houston,Whitney Houston,2026-03-08 16:12:03,0.6183,heatwave,0.6307,west nile virus,0.60,0.62,climate+health
aftonbladet_se,Swedish,109,https://www.aftonbladet.se/tagg/whatsapp,Whatsapp,2026-03-08 16:12:06,0.6082,heatwave,0.6110,undernourishment,0.60,0.62,climate
aftonbladet_se,Swedish,157,https://www.aftonbladet.se/tagg/viveca-sten,Viveca Sten,2026-03-08 16:13:08,0.6031,heatwave,0.6292,west nile virus,0.60,0.62,climate+health
aftonbladet_se,Swedish,162,https://www.aftonbladet.se/tagg/vita-huset-washington-dc,"Vita huset, Washington DC",2026-03-08 16:13:13,0.6051,heatwave,0.6457,west nile virus,0.60,0.62,climate+health
aftonbladet_se,Swedish,176,https://www.aftonbladet.se/tagg/virginia,Virginia,2026-03-08 16:13:33,0.5963,extreme event,0.6496,west nile virus,0.60,0.62,health
aftonbladet_se,Swedish,179,https://www.aftonbladet.se/tagg/vintertid,Vintertid,2026-03-08 16:13:36,0.6066,heatwave,0.5993,casualties,0.60,0.62,climate
aftonbladet_se,Swedish,181,https://www.aftonbladet.se/tagg/vintersport,Vintersport,2026-03-08 16:13:39,0.6065,extreme event,0.6118,casualties,0.60,0.62,climate
aftonbladet_se,Swedish,207,https://www.aftonbladet.se/tagg/vilgot-serie,Vilgot (serie),2026-03-08 16:14:12,0.6197,heatwave,0.6203,hunger,0.60,0.62,climate+health
aftonbladet_se,Swedish,221,https://www.aftonbladet.se/tagg/viktor-frisk,Viktor Frisk,2026-03-08 16:14:31,0.5863,heatwave,0.6223,hunger,0.60,0.62,health
aftonbladet_se,Swedish,244,https://www.aftonbladet.se/tagg/victor-nilsson-lindelof,Victor Nilsson Lindelöf,2026-03-08 16:14:59,0.6046,heatwave,0.5875,west nile virus,0.60,0.62,climate
aftonbladet_se,Swedish,258,https://www.aftonbladet.se/tagg/viaplay,Viaplay,2026-03-08 16:15:15,0.6320,heatwave,0.6389,casualties,0.60,0.62,climate+health
aftonbladet_se,Swedish,259,https://www.aftonbladet.se/tagg/viafree,Viafree,2026-03-08 16:15:17,0.5882,heatwave,0.6292,casualties,0.60,0.62,health
aftonbladet_se,Swedish,282,https://www.aftonbladet.se/tagg/vellinge,Vellinge,2026-03-08 16:15:47,0.5914,heatwave,0.6214,west nile virus,0.60,0.62,health
aftonbladet_se,Swedish,364,https://www.aftonbladet.se/tagg/vard-omsorg,Vård & omsorg,2026-03-08 16:17:28,0.5716,climate crisis,0.6234,undernourishment,0.60,0.62,health
aftonbladet_se,Swedish,371,https://www.aftonbladet.se/tagg/varby,Vårby,2026-03-08 16:17:37,0.6108,heatwave,0.6137,hunger,0.60,0.62,climate
aftonbladet_se,Swedish,446,https://www.aftonbladet.se/tagg/uzbekistan,Uzbekistan,2026-03-08 16:19:12,0.6120,heatwave,0.6473,deaths,0.60,0.62,climate+health
aftonbladet_se,Swedish,472,https://www.aftonbladet.se/tagg/usa-podden,USA-podden,2026-03-08 16:19:46,0.6047,heatwave,0.6142,casualties,0.60,0.62,climate
aftonbladet_se,Swedish,488,https://www.aftonbladet.se/tagg/upplands-bro,Upplands-Bro,2026-03-08 16:20:09,0.6320,heatwave,0.6568,deaths,0.60,0.62,climate+health
