country,num_sources,total_articles,source_uris
Algeria,5,5321,echoroukonline.com; elbilad.net; elkhabar.com; ennaharonline.com; liberte-algerie.com
Argentina,5,30109,clarin.com; infobae.com; lanacion.com.ar; pagina12.com.ar; perfil.com
Australia,4,34239,dailytelegraph.com.au; heraldsun.com.au; smh.com.au; theage.com.au
Austria,5,44652,derstandard.at; diepresse.com; kleinezeitung.at; krone.at; kurier.at
Bangladesh,5,19297,dailyinqilab.com; dailynayadiganta.com; mzamin.com; prothomalo.com; thedailystar.net
Belgium,5,23616,dhnet.be; lalibre.be; lesoir.be; nieuwsblad.be; standaard.be
Bolivia,6,54178,diariodeibiza.es; eldeber.com.bo; eldiario.net; la-razon.com; lostiempos.com; opinion.com.bo
Brazil,6,37702,correiobraziliense.com.br; en.calameo.com; estadao.com.br; gazetadopovo.com.br; opovo.com.br; valor.com.br
Bulgaria,5,46650,24chasa.bg; capital.bg; dnevnik.bg; segabg.com; standartnews.com
Canada,5,16146,lapresse.ca; nationalpost.com; theglobeandmail.com; thestar.com; vancouversun.com
Chile,6,9910,df.cl; elmostrador.cl; lanacion.cl; latercera.com; publimetro.cl; publimetro.com.mx
China,4,142119,ce.cn; chinadaily.com.cn; people.com.cn; ycwb.com
Colombia,7,562566,elcolombiano.com; elespectador.com; elheraldo.co; elpilon.com.co; eltiempo.com; heraldodemexico.com.mx; portafolio.co
Congo DR,2,16,laprosperiteonline.net; lephareonline.net
Croatia,5,33763,24sata.hr; jutarnji.hr; novilist.hr; slobodnadalmacija.hr; vecernji.hr
Czech Republic,5,41983,blesk.cz; ceskenoviny.cz; denik.cz; ihned.cz; lidovky.cz
Denmark,5,17433,berlingske.dk; bt.dk; ekstrabladet.dk; jyllands-posten.dk; politiken.dk
Ecuador,5,50564,elcomercio.com; elcomercio.pe; eltelegrafo.com.ec; eluniverso.com; expreso.ec
Egypt,6,60715,almasryalyoum.com; alwafd.news; dailynewsegypt.com; elfagr.org; english.ahram.org.eg; today.almasryalyoum.com
Ethiopia,3,14374,capitalethiopia.com; ethiopianreporter.com; impartialreporter.com
Fiji,1,4043,fijitimes.com.fj
Fiji Islands,1,330,fijisun.com.fj
Finland,5,32509,aamulehti.fi; hs.fi; iltalehti.fi; is.fi; kauppalehti.fi
France,5,24565,lefigaro.fr; lemonde.fr; leparisien.fr; lequipe.fr; liberation.fr
Germany,5,72057,bild.de; faz.net; sueddeutsche.de; welt.de; zeit.de
Ghana,6,12734,dailyguidenetwork.com; ghanaiantimes.com.gh; thebftonline.com; thechronicle.com.gh; thestatesman.com; thestatesmanonline.com
Greece,6,30197,dimokratiki.gr; ethnos.gr; kathimerini.gr; naftemporiki.gr; tanea.gr; tovima.gr
Guyana,3,9202,guyanachronicle.com; kaieteurnewsonline.com; stabroeknews.com
Honduras,5,9961,elheraldo.hn; elpais.hn; laprensa.hn; latribuna.hn; tiempo.hn
Hong Kong,7,17424,appledaily.com; mingpao.com; news.mingpao.com; scmp.com; thewhig.com; topick.hket.com; wenweipo.com
Hungary,7,34608,blikk.hu; borsonline.hu; economx.hu; magyarnemzet.hu; napi.hu; nemzetisport.hu; nepszava.hu
India,5,67316,hindustantimes.com; indianexpress.com; manoramaonline.com; mathrubhumi.com; thehindu.com
Indonesia,5,36488,jawapos.com; kompas.com; koran.tempo.co; republika.co.id; thejakartapost.com
Iraq,3,20269,almadapaper.net; azzaman.com; newsabah.com
Ireland,5,28834,independent.ie; irishexaminer.com; irishmirror.ie; irishtimes.com; limerickleader.ie
Israel,5,77838,globes.co.il; haaretz.co.il; jpost.com; panorama.com.al; ynet.co.il
Italy,5,16499,corriere.it; gazzetta.it; ilsole24ore.com; lastampa.it; repubblica.it
Jamaica,3,35093,jamaica-gleaner.com; jamaica-star.com; jamaicaobserver.com
Japan,5,59100,asahi.com; japantimes.co.jp; mainichi.jp; nikkei.com; yomiuri.co.jp
Kenya,3,2966,nation.co.ke; standardmedia.co.ke; theeastafrican.co.ke
Korea,4,35966,chosun.com; donga.com; hani.co.kr; mk.co.kr
Malaysia,5,27101,bharian.com.my; malaymail.com; nst.com.my; thestar.com.my; utusan.com.my
Maldives,2,1568,maldivesindependent.com; miadhu.mv
Mauritius,3,3153,lemauricien.com; lexpress.mu; mauritiustimes.com
Mexico,5,81419,eleconomista.com.mx; elfinanciero.com.mx; eluniversal.com.mx; excelsior.com.mx; milenio.com
Morocco,6,5677,assabah.ma; assabahnews.tn; aujourdhui.ma; lavieeco.com; leconomiste.com; lematin.ma
Myanmar,1,1589,mmbiztoday.com
Netherlands,5,10331,ad.nl; nrc.nl; telegraaf.nl; trouw.nl; volkskrant.nl
Nigeria,6,36942,guardian.ng; punchng.com; thenationonlineng.net; thisdaylive.com; vanguardia.com.mx; vanguardngr.com
Norway,6,22911,adressa.no; aftenposten.no; bt.no; dagbladet.no; dn.no; vg.no
Pakistan,5,32138,dailypakistan.com.pk; dailytimes.com.pk; dawn.com; jang.com.pk; thenews.com.pk
Papua New Guinea,2,3300,postcourier.com.pg; thenational.com.pg
Peru,4,13716,diariocorreo.pe; elperuano.pe; gestion.pe; larepublica.pe
Philippines,4,24909,inquirer.net; mb.com.ph; philstar.com; sunstar.com.ph
Poland,6,254107,fakt.pl; gazeta.pl; naszemiasto.pl; rp.pl; se.pl; wroclaw.naszemiasto.pl
Portugal,6,43035,abola.pt; jornaleconomico.sapo.pt; publico.pt; record.pt; sol.sapo.pt; solinger-tageblatt.de
Romania,5,79984,adevarul.ro; evz.ro; gsp.ro; libertatea.ro; realitatea.net
Russia,4,57258,aif.ru; iz.ru; kp.ru; mk.ru
Saudi Arabia,5,26697,aawsat.com; alriyadh.com; arabnews.com; okaz.com.sa; saudigazette.com.sa
Senegal,2,7338,lequotidien.sn; lesoleil.sn
Serbia,7,65667,blic.rs; koha.net; kurir.rs; magazin.novosti.rs; newindianexpress.com; novosti.rs; telegraf.rs
Singapore,5,55631,businesstimes.com.sg; straitstimes.com; tnp.sg; todayonline.com; zaobao.com.sg
Slovakia,6,302161,cas.sk; hnonline.sk; pluska.sk; pravda.sk; sme.sk; topky.sk
