language,country,source,collection_method,article_id,url,title,content,climate_max_sim,health_max_sim,climate_best_keyword,health_best_keyword,sample_bucket,climate,health,health_climate_impact,climate_justification,health_justification,impact_justification
Chinese,China,ycwb.com,scrapai,12597,https://news.ycwb.com/2024-09/04/content_52905733.htm,下好生态保护“一盘棋”（评论员观察）,在重点流域和生态环境敏感脆弱区域，推动实施跨区域生态保护监管协同合作机制，有助于健全生态环境治理体系，推动环境污染治理打开新局面 河流有上下游、湖泊有左右岸、山脉有南北坡，不同地区对河湖山岭生态环境定位不同、需求不同，保护标准也不尽相同，构建监管协同合作机制正是破局之道 麻溪港上，一艘执法船缓缓驶过。船上，来自浙江嘉兴王江泾镇、江苏苏州盛泽镇两地的河长观察着河道、水面、两岸情况，不时沟通交流。自2017年以来，这样的联合巡河已成为常态。从“各扫门前雪”，到“劲往一处使”，两地探索跨省协同治水，以整个流域为单位加强监管，有效破解了界河治理难题。 行政有区划，环保无边界。习近平总书记强调，“要在生态保护修复上强化统一监管”。自然生态系统是一个有机生命躯体，各要素相互依存、紧密联系。上游污水直排，下游苦不堪言；上风向区域出现沙尘天气，下风向城市空气质量受到影响；跨区域倾倒固废、危废，转嫁环保风险……针对跨区域污染问题，以行政区域为界限的治理模式已无法满足当下生态环境保护需要。党的二十届三中全会《决定》提出，“建立新污染物协同治理和环境风险管控体系”“推动重要流域构建上下游贯通一体的生态环境治理体系”。在重点流域和生态环境敏感脆弱区域，推动实施跨区域生态保护监管协同合作机制，有助于健全生态环境治理体系，推动环境污染治理打开新局面。 共识是合作的前提。在长三角，一条河流，流经江苏时被作为泄洪通道，在浙江一侧是灌溉用水，在上海一侧则是饮用水源，三地对水质的要求自然不同。针对河流治理难题，三地有关部门在生态环境标准、监测、执法上实现“三统一”，在“一把尺”衡量下，生态监管更有力，问题解决更高效。实践表明，强化监管协同，有利于减少治理环境问题的推诿、扯皮现象，改变不同地区经济效益向前争、环境治理向后躲的局面。河流有上下游、湖泊有左右岸、山脉有南北坡，不同地区对河湖山岭生态环境定位不同、需求不同，保护标准也不尽相同，构建监管协同合作机制正是破局之道，有利于统筹各方需求和生态保护需要，凝聚治理合力。 发现问题，更要解决问题。确保监管协同合作落到实处，必须打通发现问题、交办整改问题、监督执法、督察问责流程，建立长效工作机制。比如为推动松嫩两江流域生态持续向好，黑龙江大庆、吉林白城、吉林松原及内蒙古兴安盟四地联合开展“护江行动”，不仅通过联合巡查发现线索，还在刑事、公益诉讼、数字检察等领域开展一体化办案，有力打破了区域壁垒，为流域生态保护提供高质效服务和有力司法保障。检察机关、生态环境等部门强化协同履职，构建协同共治大保护格局，才能确保问题有效交办并整改到位，推动生态保护工作取得扎扎实实的成效。 事必有法，然后可成。协同治污十年，京津冀三地PM2.5年均浓度下降幅度都在六成左右；沿黄省份奏响保护黄河的“协奏曲”，推动九曲黄河展新颜，黄河干流全线水质稳定保持Ⅱ类；得益于跨区域生态保护协同合作机制，秦岭生态环境质量持续保持稳定……实践证明，打破思维定式，改变“单打独斗”的局面，提升生态治理的系统性和协同性，能够有效提升治理质效，推动区域生态整体性保护迈上新台阶。下好生态保护“一盘棋”，这是经实践检验科学有效的方法论，也是实现高质量发展的必然要求。 机制之变背后是理念之变，理念一变发展道路更宽。在湘赣边区域，湖南、江西两省联手治水，不仅“扮靓”了沿河的生态环境，更促成了两地的产业协同、文旅合作。以跨区域生态保护监管协同合作为契机，促进相邻地区相知相亲、协作共赢，地区发展定能不断打开新空间，人民群众的获得感、幸福感定会更加充实。 《 人民日报 》（ 2024年09月04日 09 版） 编辑：邬嘉宏,0.4551,0.4173,environmental change,west nile virus,high_climate,yes,no,no,"Ecological protection coordination across regions, water pollution treatment",,
Chinese,China,people.com.cn,scrapai,11463,http://edu.people.com.cn/n1/2025/0807/c1006-40537860.html,中国科学家精确测定月球“婴儿期”演化关键时间,人民网北京8月7日电 （记者李依环）月球，作为地球最亲密的邻居，它的“婴儿期”是什么样的？近日，中国地质大学（北京）和中国科学院地质与地球物理研究所团队合作，对一块名为“NWA 14729”的月球陨石进行了原位同位素定年分析，给出了答案：月球的“岩浆海洋”在45亿年前就已形成，并在不到1亿年的时间内迅速冷却凝固。 这一发现为理解月球的早期演化提供了关键线索。相关研究成果《古老而快速的月球岩浆海洋的铅同位素证据》今天发表在国际期刊《科学进展》上。 图为陨石“NWA 14729”照片与Pb-Pb等时线。中国地质大学（北京）供图 “这是一块来自月球高地的镁质岩套陨石，含有特殊的含锆矿物（如锆石、斜锆石等），它们就像‘时间胶囊’，记录了月球早期的化学信息。”研究团队负责人、中国地质大学（北京）教授王水炯介绍。 据悉，研究团队利用高精度离子探针技术（SIMS），测量了这些矿物的铅同位素组成，最终计算出它们的年龄——约44.06亿年，误差仅有±3.2百万年，是目前最精确的月球早期年龄数据之一，代表了月球早期最为古老的一次岩浆事件。 业界有观点认为，月球在约43.5亿年前才完全凝固。而这项新研究提出，43.5亿年可能并非岩浆洋的终结时间，而是月球后来经历的其他重大热事件（如大规模陨石撞击或月幔熔融）的记录。 中国科学院地质与地球物理研究所研究员李秋立表示，这一发现将促使研究人员重新思考月球早期演化模型，也将修正年轻月海玄武岩中的铅演化模型。 据介绍，中国地质大学（北京）博士研究生张亚文、盛思彰为论文共同第一作者，王水炯、李秋立为论文共同通讯作者。 (责编：郝孟佳、熊旭) 分享让更多人看到,0.5033,0.4951,heatwave,west nile virus,high_climate,no,no,no,Moon evolution research - space science,,
Chinese,China,ycwb.com,scrapai,14383,https://news.ycwb.com/2023-04/24/content_51904714.htm,海报大赛创作主题介绍之六五环境日,生态环境节日海报大赛 还没有灵感的朋友 不用紧张 接下来穗小环将会为大家 一一科普创作主题 今天 先来了解创作主题之一 六五环境日 “六五环境日”由来 20世纪60年代以来，世界范围内的环境污染与生态破坏日益严重，环境问题和环境保护逐渐为国际社会所关注。 1972年6月5日，联合国在瑞典首都斯德哥尔摩举行第一次人类环境会议，通过了著名的《人类环境宣言》及保护全球环境的“行动计划”，提出“为了这一代和将来世世代代保护和改善环境”的口号。这是人类历史上第一次在全世界范围内研究保护人类环境的会议。出席会议的113个国家和地区的1300名代表建议将大会开幕日定为“世界环境日”。 “六五环境日”设立宗旨 世界环境日的意义在于提醒全世界注意地球状况和人类活动对环境的危害。要求联合国系统和各国政府在这一天开展各种活动来强调保护和改善人类环境的重要性。 我国从1985年起 以联合国环境规划署确定的 世界环境日主题 开展各项纪念活动 2004年 我国首次发布中国年度六五环境日主题 2023年3月生态环境部印发 《关于做好2023年六五环境日宣传工作的通知》 确定今年环境日的主题为 “建设人与自然和谐共生的现代化” 为了让大家有更多的灵感创作 穗小环整理出近年来的主题海报 接下来一起回顾 2022年生态环境部发布主题海报 2022年广东省生态环境厅发布主题海报 2021年广州生态环境穗小环形象主题海报 看完这么多介绍和主题海报 相信大家对六五环境日 有了一定的认识 赶快拿起手中的笔 绘制出美丽的生态广州吧 扫描下方二维码 可进入投稿渠道 一键上传你的作品 海报来源：生态环境部、广东生态环境微信公众号 编辑：卢凤娟,0.5496,0.4737,environmental change,air pollution,high_climate,yes,no,no,"World Environment Day poster contest, environmental pollution awareness",,
Chinese,China,people.com.cn,scrapai,95773,http://health.people.com.cn/n1/2021/0719/c14739-32161488.html,夏日美食主角冰淇淋真的是垃圾食品吗？--健康·生活--人民网,"炎热的夏天，有多少人能抵抗冰淇淋的诱惑呢？但是，也有很多人在吃冰淇淋的时候非常挣扎，觉得它是一种垃圾食品。公平地说，在优质冰淇淋里面，加了牛奶、奶粉、乳清粉、鸡蛋等很多营养价值高的配料，所以它在冷饮当中是营养价值最高的一款。其中有维生素 A 和维生素D，有维生素B1、B2、B6、B12，有些产品的蛋白质和钙含量甚至可以达到酸奶的水平。

冰淇淋的蛋白质和钙含量媲美酸奶

但热量高得多

按我国食物成分表上的数据，100克冰淇淋中含126毫克的钙，还有2.4%的蛋白质。说它是垃圾食品，实在有点说不过去。但是，用冰淇淋和酸奶相比，真的公平吗？

不可忽视的事实是：和喝酸奶相比，蛋白质和钙也许差距并不大，但有一个不可忽视的事实是：冰淇淋的热量要高得多！我在超市里随便找了三款热量值从低到高的冰淇淋。它们的营养成分表数据是这样的（按100克产品净重来算）：

A产品：热量892千焦耳，相当于213千卡。是100克纯酸奶的2倍多（全脂酸奶的平均热量大约是90千卡/100克）；蛋白质含量2.0克。和100克纯酸奶相比低了三分之一（按国标，纯酸乳蛋白质含量应不低于2.9克/100克）；脂肪含量15.0克（大概相当于全脂酸奶的5倍）；碳水化合物含量17.8克（大概相当于普通全脂酸奶的1.5倍，按甜酸奶碳水含量12.0克计）。

B产品：热量1232千焦耳，相当于295千卡（是100克纯酸奶的3倍多）；蛋白质含量3.1克，和100克纯酸奶相当或略高（按国标，纯酸乳蛋白质含量应不低于2.9克/100克）；脂肪含量20.3克（大概相当于全脂酸奶的7倍）；碳水化合物含量28.7克（大概相当于普通全脂酸奶的2.4倍）。

C产品：热量1522千焦耳，相当于364千卡（是100克纯酸奶的大约4倍）；蛋白质含量2.4克，低于100克纯酸奶，但相当于风味酸奶（按国标，风味酸乳蛋白质含量应不低于2.3克/100克）；脂肪含量29.6克（大概相当于全脂酸奶的10倍）；碳水化合物含量22.7克（大概相当于普通全脂酸奶的1.9倍）。

含奶类成分多的冰淇淋

相对比较好

为什么三款产品的热量差距比较大呢？这是因为它们的类型不一样。A产品是乳脂冰淇淋，含至少40%的生牛乳，B产品和C产品都含有脆皮、甜筒等，其中奶类配料的比例就比较低了，却含有植物油、白砂糖、小麦粉或淀粉等成分。毫无疑问，还是A产品的营养价值比较高。

按我国相关标准（GBT 31114-2014冷冻饮品冰淇淋），冰淇淋分为全乳脂、半乳脂、植脂三个类型。每个类型又分为“清型”和“组合型”两类。全乳脂含有较多的奶油。植脂就是用植物油做的，不加奶油。半乳脂介于其间。所谓“清型”，就是只有冰淇淋，里面没有脆皮、锥桶、糕饼之类。

清型产品的蛋白质含量不能低于2.5%，组合型产品不能低于2.2%。全乳脂的产品脂肪含量不能低于8.0%。半乳脂和植脂类型的清型不能低于6.0%，组合型的不能低于5.0%。

总之，对冰淇淋来说，牛奶、奶粉、乳清粉等原料，并不会额外增加产品的热量值。冰淇淋的营养价值，包括蛋白质、钙、维生素A、维生素D、多种B族维生素，就是从这些配料来的，所以含奶类成分多的冰淇淋相对比较好。

“巧克力脆皮”和“蛋卷桶”

营养价值不高

所谓的“巧克力脆皮”营养价值不高，主要是糖+饱和脂肪。香脆的锥桶，主要成分是淀粉+糖+脂肪。这些东西占的比例越大，蛋白质、钙和各种维生素的含量就越低。

奶油、植物脂肪、糖和淀粉等配料加得越多，营养素密度就会越低。当然，这些配料也不是没有意义的，因为它们给冰淇淋提供了美味感觉。

此外，还有乳化剂、增稠剂、磷酸盐等配料，它们给冰淇淋增加了细腻的质地、柔滑的口感、松软多孔的结构、不容易融化的特点。香精和色素则增加了美好的香气和宜人的颜色。

只要按国家标准合法使用，这些添加剂都是无害的，而且很大程度上是必需的。没有它们，冰淇淋给人带来的感官享受就会大打折扣。

所以，吃冰淇淋是吃一种有一定营养价值的甜食。但是，如果为了补充营养，肯定不会优选冰淇淋。如果怕胖，选择冰淇淋的时候，可以选小盒的，比如50克的，这样吃一份就没那么高的热量了。

顺便说一下，冰淇淋也有食品安全问题。特别是如果买来冰淇淋囤货，一定要把冷冻室清理干净，把冰淇淋、雪糕、熟食等食物和生鱼、生肉、冷冻生蔬果等分开储藏，避免交叉污染。毕竟很多细菌和病毒在冷冻条件下存活时间较长，而冰淇淋是不能加热杀菌之后再吃的。

文/范志红（中国营养学会理事，中国科协聘科学传播首席专家）",0.4779,0.5309,temperature rise,malnourishment,high_climate,no,yes,no,,Is ice cream junk food? Nutrition and health,
Chinese,China,people.com.cn,scrapai,54469,http://bj.people.com.cn/n2/2021/0722/c82840-34831929.html,北京：道路电子车位可ETC自动付费 377个公共停车场同样适用,原标题：道路电子车位可ETC自动付费 本报记者 孙宏阳 在道路电子车位停车后，总是忘记及时线上缴费？ETC自动支付功能来了。记者昨天从北京速通科技有限公司获悉，北京市已实现16区及亦庄经济开发区道路停车的ETC自动支付功能。截至今年6月，京籍车ETC用户已达526.3万，按照北京市可安装ETC汽车保有量约620万测算，京籍车ETC用户占比近85%。 ■需要开启ETC无感支付功能 如何使用ETC缴纳道路停车费？据介绍，北京ETC用户可通过下载“乐速通”APP或关注“速通卡”微信公众号进行设置，开启或关闭“北京道路停车”ETC无感支付功能。成功开启后，ETC用户在北京道路停车驶离时无需任何操作即可完成停车费的缴纳，实现北京道路停车无感支付。 银行联名速通卡及已绑定合作银行账户的速通记账卡用户开启“北京道路停车”ETC无感支付后，使用现有ETC账户即可实现自动支付北京道路停车费。 北京速通储值卡及预付费速通记账卡(非绑定代扣)用户需下载并登录“乐速通”APP，开启“北京道路停车”业务，并对“北京道路停车”余额进行充值后，方可实现自动支付北京道路停车费。 ■20万个公共停车场车位ETC收费 除了道路电子停车位，北京还已实现377个大型公共停车场ETC收费。 ETC自动识别与付费已在全市26家医院、23个枢纽场站、164家商业综合体、66个居住社区、20个景区公园，以及一些体育场馆、高校、酒店、写字楼、道路停车等多种类型的停车场景使用。其中包括首都国际机场、大兴国际机场、北京南站、北京西站、国家大剧院、中华世纪坛、国家体育场、国家游泳中心、国家奥林匹克体育中心、清华大学、阜外医院、北京儿童医院、协和医院、天坛医院、凯德MALL等大型公共停车场，覆盖停车泊位约20万个。 ■京籍车ETC用户占比近85% 经过2019年ETC用户的快速增长，去年以来用户增长呈现平稳态势。截至今年6月，ETC速通卡累计用户达720万，其中京籍车ETC用户已达526.3万。按照北京市可安装ETC汽车保有量约620万测算，京籍车ETC用户占比近85%。 使用过程中，用户反馈比较多的问题包括：换了车牌号，想要把ETC变更到新车牌号下；更换了风挡，重新贴膜了，或其他原因导致的标签脱落；速通卡有效期过了，需要进行卡延期等。 对此，客服中心相关负责人介绍，蓝牙激活电子标签的用户，遇到这些问题可以在线上处理。已激活使用的ETC标签脱落，插卡时显示“标签已失效”的情况下，可通过“乐速通”APP首页更多中的“标签重新激活”功能重新激活设备。 如需要将已激活使用的ETC变更为其他车牌号使用，在开户人不变的前提下，可通过“乐速通”APP首页更多中的“车辆信息变更”，申请变更ETC设备中的车辆信息。 在通行高速或停车场遇到告知速通卡到期不能使用的情况，费额显示器显示“无效卡”时，蓝牙电子标签用户连接蓝牙，撞针电子标签用户使用手机NFC功能或使用外接读卡器，进入“卡延期”界面，将显示速通卡的到期时间。点击“延期”提示卡延期成功。 ■摩托车不具备安装ETC条件 一些市民关心，摩托车目前是否可以办理ETC？客服中心负责人介绍，根据交通运输部发布的《公路电子不停车收费联网运营和服务规范》，“车载单元（OBU）：安装在车辆内部（风挡玻璃或仪表台上）并且支持利用专用短程通信与路侧单元进行信息交换的设备。”根据此项内容，摩托车不具备安装OBU的条件。 部分省市明确禁止摩托车行驶高速公路，如浙江、广西、山东、江苏、河南、云南等，摩托车安装ETC，可能引发全国高速公路管理问题。此外，摩托车安装ETC，非封闭的使用环境容易造成标签脱落，风、雪、雨等天气易引起标签故障，造成使用不畅，也存在安全隐患。 (责编：鲍聪颖、高星) 分享让更多人看到,0.4809,0.4624,carbon emission,west nile virus,high_climate,no,no,no,Beijing ETC parking payment system,,
Chinese,China,people.com.cn,scrapai,23337,http://env.people.com.cn/n1/2025/0922/c1010-40569149.html,今年以来最强台风“桦加沙”将登陆我国,本报北京9月21日电  （记者李红梅）9月21日上午，今年第18号台风“桦加沙”加强为超强台风级。中央气象台预计，“桦加沙”将于23日凌晨进入南海东北部，24日凌晨至下午将在广东汕尾至海南文昌一带沿海登陆，预计登陆时强度为强台风级或超强台风级（14—16级），成为今年以来影响我国的最强台风。受其影响，21日起，我国南海北部海域及巴士海峡等海域将有强烈大风；23日起，广东、广西等地有暴雨或大暴雨，局地特大暴雨。21日18时，中央气象台发布台风蓝色预警。 具体来看，预计21日至26日，巴士海峡、南海北部、北部湾、琼州海峡等海域及华南沿海将先后有9—11级大风，台风中心经过的附近海域或地区有12—17级大风，阵风17级以上；预计23日至25日，华南、江南南部等地有大到暴雨，台湾岛东部、广东东部和南部、广西南部、福建东南部等部分地区有大暴雨，局地有特大暴雨（250—280毫米）。 另外，受台风远距离水汽输送影响，23日至25日，江苏、安徽东部等地也将有大到暴雨，局地大暴雨。 气象专家提醒，“桦加沙”将以超强台风级进入南海，移速快、强度强，其巅峰强度将接近2024年第11号台风“摩羯”。同时，“桦加沙”登陆华南的强度也将在强台风级或超强台风级，南海北部和华南等地致灾风险极高。建议相关海域航行船舶及时回港避风或避开台风影响区域，海上作业人员提前撤离；广东、广西、海南、福建及香港、澳门等地提前做好防台风各项准备工作，及时转移高危区域群众，加强交通、涉岛涉海旅游和城市运行等安全管理；尤其是广东珠三角地区人口、产业、建筑密集，需提高警惕，提前做好各项防范准备工作。 《 人民日报 》（ 2025年09月22日   14 版） (责编：王仁宏、李楠桦) 分享让更多人看到,0.4833,0.4484,heatwave,dengue,high_climate,yes,no,no,"Strongest typhoon of year to make landfall in China, heavy rain warnings",,
Chinese,China,people.com.cn,scrapai,54262,http://cq.people.com.cn/n2/2022/0710/c365402-40031469.html,重庆连晴高温下，都拿到“高温补贴”了吗？,近日，重庆开启“炙烤”模式，市区最高气温超过40℃，创下今年来新高。高温下，依然有不少劳动者顶着烈日，推动城市建设，服务城市居民。 大家都拿到高温补贴了么？ 烈日下，外卖骑手奔走在街头。 外卖骑手 公司发放防暑“天气补贴” 8日下午2点，室外温度已是38℃。渝中区民生路路口，“饿了么”外卖骑手陈思明提着外卖，快步跑向送餐车，身上的蓝色T恤上有一层白白的盐霜。 “这是衣服湿了干、干了又湿留下来的痕迹。”陈思明戴着袖套、头盔，还围着防晒巾。“天气太热了，最近单量不仅没有因为高温下降，反而还增加了！大家都不愿意出门，单量是平常的好几倍。” 陈思明说，去年的高温补贴是7月中旬到位的，今年还没拿到，但身上穿的防晒衣是公司发的，还带了一份“健康包”，里面有清凉油、风油精、藿香正气液，“都是我们夏天跑单用得到的一些东西。” 去年，“饿了么”宣布投入3亿元用于骑手夏日保障。今年虽然还没有公布具体金额，但“饿了么”相关负责人表示，承诺为骑手提供补贴保障，包含配送津贴、夏季物资等。除了每单跑单奖励，在酷暑、下雨、大风等恶劣天气，骑手还可获得“天气补贴”。 “蜘蛛人”正在从上至下清洗大楼玻璃外墙。 “蜘蛛人” 工作半天可拿一整天的工资 刘明站在339米的重庆环球金融中心大楼顶端，站在吊篮里，从上往下开始清洗外墙玻璃，耳边只听得到呼呼的风声…… 炎炎夏日对专门为外墙玻璃做清洁的“刘明们”来说是最艰难的季节，需要清洗的外墙玻璃被太阳直晒，温度会高达70℃—80℃。清洗时，必须要防止肢体直接与玻璃接触，否则会被烫伤！ 刘明说，公司每天会提供藿香正气液、矿泉水等防暑用品放在吊篮里，但也不敢多喝——遇到高楼层，仅仅是清洁做完后，从楼下升到楼顶就需要1个小时，通常是连续6个小时一直吊在外面，得尽量减少上厕所的频率。 公司负责人罗治明表示，虽然没有发放正式的高温补贴，但遇到38℃以上的高温天气，工人们每天就只做半天但还是算一整天的工作量，这样算下来其实比政府规定的“高温补贴”还要高。 救生员目不转睛地注视着在水中玩耍的人群。 救生员 37℃以上可获高温补助 美心红酒小镇的“水上世界”，救生员小宋目不转睛地注视着玩耍的人群。尽管水上乐园是夏日里游客们的“天堂”，但对救生员来说，每天都会接受烈日暴晒。 小宋说，这些还不算最辛苦的——作为救生员，若是儿童游玩时过于密集，必须及时进行疏散，需要吹哨或高声呼喊，特别是一些孩子反向爬滑道，必须果断制止。 据美心红酒小镇相关负责人介绍，公司根据规定，中度高温天气（日最高气温达到37℃以上、40℃以下，不含40℃）、强度高温天气（日最高气温达到40℃以上），为所有在册员工每人每天发放高温补助。 此外，每年夏季还会为员工发放清凉饮料和“特制降温解暑茶”，每年6月—9月或当天温度达35℃及以上，根据实际情况按需发放风油精、人丹、十滴水、藿香正气水等防暑降温药品。 律师说法 高温津贴受国家法律保障 重庆坤源衡泰律师事务所实习律师吴兴兵介绍说，《防暑降温措施管理办法》第十七条规定：劳动者从事高温作业的，依法享受岗位津贴。 用人单位安排劳动者在35℃以上高温天气从事室外露天作业以及不能采取有效措施将工作场所温度降低到33℃以下的，应当向劳动者发放高温津贴，并纳入工资总额。《最低工资规定》第十二条还明确在劳动者提供正常劳动的情况下，用人单位应支付给劳动者的工资在剔除高温津贴以后，不得低于当地最低工资标准。 “如果单位没有按照规定发放高温补贴，劳动者可以进行维权。”吴兴兵说，劳动者有权要求用人单位依法发放，请求工会组织介入，还可向用工所在地县级以上人力资源社会保障主管部门投诉。对高温津贴发放双方存在劳动争议的，也可以通过劳动争议处理程序解决，先仲裁后诉讼。需要指出的是，高温津贴不是用人单位给劳动者的“福利”，而是受到国家法律保障的合法劳动报酬。 吴兴兵介绍，根据《国家统计局关于工资总额组成的规定》及其相关解释，高温津贴属于工资，而工资在我国劳动法中受到特别保护。用人单位拖欠工资的，劳动者可以向劳动保障监察机构投诉举报，由其责令支付并进行其他处罚。劳动者也可以通过劳动争议处理程序向用人单位主张工资和上述高温津贴。 他认为，发放高温补贴只是对劳动者特殊付出的补偿，更重要的是，用人单位应当建立健全防暑降温工作制度，采取有效措施，加强高温天气作业劳动保护工作，确保劳动者身体健康和生命安全。 重庆晨报·上游新闻记者 纪文伶 (责编：黄凌、刘政宁) 分享让更多人看到,0.4973,0.4299,heatwaves,extreme poverty,high_climate,yes,yes,yes,"Chongqing heatwave 40C+, heat subsidies for workers","Workers exposed to extreme heat, heat-related health",Extreme heat directly affecting worker health
Chinese,China,ycwb.com,scrapai,23858,http://news.ycwb.com/2018-07/16/content_30046364.htm,今年6月广州CPI环比上涨0.1%,金羊网讯记者马汉青、通讯员穗调报道：国家统计局广州调查队数据16日发布数据显示，6月份，广州CPI环比上涨0.1%，其中食品价格上涨0.3%，非食品价格持平，消费品价格持平，服务价格上涨0.2%。 6月份，广州CPI八大类商品及服务价格环比呈5涨3降。主要变动情况如下： 一是食品烟酒类价格上涨0.2%，其中食品价格上涨0.3%。食品类14个小类价格呈7降5涨2平，各类价格变动不大，其中价格变动最大的干鲜瓜果类价格上涨3.1%。受高温、降雨天气增多影响，6月广州鲜菜价格总体上涨2.9%。调查的33种鲜菜价格呈22涨11降，其中价格涨幅超过两成的有四季豆（上涨23.6%）；价格降幅超过一成的有冬瓜（下降14.8%）。此外，淡水鱼价格上涨1.2%，虾蟹类价格下降3.2%，猪肉价格下降1.1%，而鸡蛋价格持平。 二是交通和通信类价格下降0.5%。其中，受国际航班折扣增多影响，飞机票价格下降3.1%；受取消机动车安全技术检验收费政府定价，放开市场调节影响，车辆年检费上涨33.3%，导致车辆使用费上涨10.1%。 三是教育文化和娱乐类价格上涨0.8%，其中受高考结束后需求增多影响，旅行社收费上涨5.3%。 四是衣着类价格下降1.2%，其中受夏装促销影响，服装、鞋类价格均下降1.2%。 五是生活用品及服务类价格上涨0.5%，居住类价格上涨0.1%，医疗保健类价格上涨0.1%，而其他用品和服务类价格下降0.9%。 编辑：木东,0.5056,0.4697,temperature rise,undernourishment,high_climate,no,no,no,Guangzhou June CPI data - economics,,
Chinese,China,people.com.cn,scrapai,68582,http://cq.people.com.cn/n2/2022/0305/c365402-35160951.html,重庆首个用户侧电化学储能项目投运,“报告，储能项目系统情况正常，可以接入电网。”3月4日，国网重庆市区供电公司工作人员来到位于渝北区的新大顺电器有限公司厂区，完成了对储能项目系统的试验。随后，该项目正式接入电网，也标志着重庆首个用户侧电化学储能项目投运。 “电化学储能项目通过电池作为介质，犹如一个超大型的充电宝，在富余的时候把部分电力储存起来，需要的时候再放出来。”该项目负责人叶斌介绍说，储能项目可以自动储电和放电，还具有线上查询功能，用户可实时检测电流、功率数据，为项目的后续维护提供参考。“我们不需要单独派员工驻守在企业，如果设备的温度湿度以及其他指标出现了异常，系统会自动报警，电力员工会立即赶来维护。”叶斌称。 “储能项目的应用主要是节约企业的用电成本。”叶斌告诉记者，分时电价政策出台后，国网重庆市区供电公司储能项目柔性团队上门向相关企业宣传相关政策，并结合企业发展需求，推广储能项目。2021年12月，新大顺电器有限公司表达了合作意愿。 “我们的生产线上只有几台大功率设备，用电时段性特征明显。”新大顺电器有限公司总经理王中强称，白天是企业的用电高峰，其他时间段用电需求并不大。 针对新大顺电器有限公司的实际用电情况，储能项目团队为其设计了一套方案：晚上电力价格较便宜，企业在凌晨到早上8点之间进行储能，白天储能项目把储存的电力释放出来，保障企业正常生产。王中强简单测算了下，储能项目投用后，公司预计每年可节约电费10万元。 国网重庆市电力公司规划专家兼新型电力系统专项工作组成员范璇表示，除了降低企业成本，储能项目还通过“削峰填谷”方式减轻了高峰时期全市的供电压力。同时，储能项目能为用户提供备用电源，提高了用电的稳定性。如果储能项目能推广开来，将减少碳排放，促进“双碳目标”实现。 （记者 崔曜） (责编：秦洁、刘政宁) 分享让更多人看到,0.4595,0.4328,co2 emissions,undernourishment,high_climate,yes,no,no,Chongqing first user-side electrochemical energy storage project,,
Chinese,China,people.com.cn,scrapai,101363,http://finance.people.com.cn/n1/2023/1110/c1004-40115377.html,中央气象台发布大风蓝色预警,人民网额毕竟11月10日电 （记者杨虞波罗）据中央气象台预计，11月10日08时至11日08时，内蒙古中东部、辽宁西部、安徽中南部、河南南部、江苏南部、上海、湖北南部、湖南东北部、江西北部、浙江北部及东部沿海、福建沿海、台湾岛沿海等地有5-6级、阵风7-8级的大风；黄海大部海域、东海大部海域、台湾海峡、台湾以东洋面偏北海域、南海东北部偏北海域将有7-8级、阵风9-10级的大风。 11月11日08时至12日08时，安徽南部、湖北中东部、湖南大部、江西中北部、广西东北部以及福建沿海、广东东部沿海、台湾岛沿海等地有5-6级、阵风7-8级的大风；东海大部海域、台湾海峡、台湾以东洋面、南海北部海域、巴士海峡偏北海域将有7-8级、阵风9-10级的大风。 防御指南： 1、中央气象台、中国海上搜救中心提醒受大风影响海域航行、作业的船舶，注意航行安全； 2、森林、草场、城区防火部门做好防火准备，机场、铁路、公路等交通管理部门应采取措施保障交通安全； 3、停止高空、水上户外作业和游乐活动，加固或妥善安置围板、棚架广告牌、简易设施等易被大风吹动的搭建物； 4、行人与车辆不要在高大建筑物、广告牌等临时建筑物，或树的下方停留。 (责编：杨虞波罗、高雷) 关注公众号：人民网财经 分享让更多人看到,0.5111,0.4759,heatwave,casualties,high_climate,yes,no,no,Central meteorological station issues strong wind blue warning,,
