language,country,source,collection_method,article_id,url,title,content,climate_max_sim,health_max_sim,climate_best_keyword,health_best_keyword,sample_bucket,climate,health,health_climate_impact,climate_justification,health_justification,impact_justification
Japanese,Japan,mainichi.jp,scrapai,12023,https://weekly-economist.mainichi.jp/articles/20250617/se1/00m/020/059000c,鎌田浩毅の役に立つ地学：江戸の飢饉と大噴火㊦　1831年に噴火した火山をグリーンランド氷床コアの分析で特定／220 | 週刊エコノミスト Online,教養・歴史 鎌田浩毅の役に立つ地学 江戸の飢饉と大噴火㊦　1831年に噴火した火山をグリーンランド氷床コアの分析で特定／220 2025年6月2日 有料記事 千島列島シムシル島にあるザバリツキー火山の壮大なカルデラ (ABACA＝共同) 「江戸三大飢饉(ききん)」の一つ、「天保(てんぽう)大飢饉」は1833年に始まり、35～37年が最も激しかった。その原因として、これまでは中米ニカラグア西部のコシグイーナ火山が35年1月に噴火したことによる気温低下が考えられてきたが、千島列島シムシル島にあるザバリツキー火山の31年の噴火が引き起こした可能性もあると考えられる。 この31年の噴火はどの火山によるものかは特定されていなかったが、その後に北半球に寒冷で乾燥した気候をもたらすほど規模が大きく、インドやヨーロッパでは飢饉も発生した。この噴火について、英セント・アンドルーズ大学のハッチソン博士らは昨年12月に発表した論文で、ザバリツキー火… 残り1374文字（全文1674文字） 週刊エコノミスト 週刊エコノミストオンラインは、月額制の有料会員向けサービスです。 有料会員になると、続きをお読みいただけます。 ・会員限定の有料記事が読み放題 ・1989年からの誌面掲載記事検索 ・デジタル紙面で直近2カ月分のバックナンバーが読める ※購読には毎日IDのご登録が必要です 今すぐ登録して続きを読む または エコノミストに登録済みの方はこちらからログイン 毎日IDのみお持ちの方はプランのお申し込みが必要です 前の記事 江戸の飢饉と大噴火㊤　天保大飢饉の原因は千島列島の火山噴火か／219 次の記事 日本の活火山／9　新燃岳（宮崎・鹿児島県）㊤　噴火警戒レベル引き下げも要警戒／221 関連記事 「温暖化」を超えるインパクト　寒冷化を引き起こす大噴火／6 火山爆発指数6以上の破局噴火は食糧危機や気候変動を招く／165 文字サイズ 小 中 大 印刷,0.4537,0.4433,heatwave,west nile virus,high_climate,yes,no,no,"Edo famine and volcanic eruptions, Greenland ice core analysis - historical climate",,
Japanese,Japan,asahi.com,newsapi,624,https://www.asahi.com/articles/ASV3M7TSHV3MUHBI006M.html?iref=ogimage_rek,IEA、エネルギー危機の10項目の対策を提示　在宅勤務や交通機関：朝日新聞,"国際エネルギー機関（IEA）は20日、中東情勢の混乱によるエネルギー危機に対して、政府や企業、家庭でとれる10項目の対策をまとめた報告書を発表した。在宅勤務の実施や公共交通機関の利用、高速道路の制限速度の引き下げなどで石油やガスの使用量を抑えるもので、IEAは「可能な限り広く導入されれば、衝撃を和らげる助けとなる」としている。

対策は世界の石油需要の約45%を占める道路輸送分野が中心で、IEAがすでに効果を実証済みだという。具体的には高速道路の制限速度を少なくとも時速10キロ引き下げたり、大都市で私有車の通行規制によって渋滞を緩和したりすることで、燃料の使用量を抑えることを提案した。移動の代替手段がある場合は航空機の利用を避けることなどもあげた。

IEAのまとめによると、中東情勢への対応として、パキスタンで高速道路の制限速度を引き下げるなど一部の国ではこうした対策をすでに取っている。このほか、ガソリンなど燃料価格に上限を設けたり、燃料にかかる税金を引き下げたりする動きも出ている。

IEAの加盟国は計4億バレルにのぼる石油備蓄の放出を段階的に始めているが、「供給側の措置だけでは今回の混乱の規模を完全に相殺することはできない」として、エネルギーの需要を減らす対策を提案した。

①可能な限り在宅勤務を行う

②高速道路の制限速度を少なくとも時速10キロ引き下げる

③公共交通機関の利用を促進する

④大都市で一定の区域に進入できる私有車を日替わりで定めることなどによって渋滞を緩和する

⑤カーシェアリングを拡大し、エコドライブなどの効率的な運転手法を導入する

⑥貨物輸送で、車両のメンテナンスや積載量の最適化などを組み合わせて効率的な運転を心がける

⑦液化石油ガス（LPG）の用途を輸送用から切り替え、調理など生活に不可欠な用途に利用する

⑧代替手段がある場合は航空機による移動を避ける

⑨可能な限り、電気を使った調理などで近代的な調理方法を促し、LPGへの依存度を下げる

⑩石油化学などの関連業界でメンテナンスや操業の効率化などを行う",0.4866,0.4533,carbon emission,quality of life,high_climate,yes,no,no,IEA presents 10 energy crisis measures including remote work,,
Japanese,Japan,asahi.com,newsapi,1681,https://www.asahi.com/articles/ASV3F42H0V3FULFA010M.html?iref=ogimage_rek,不安定な世界「ショックに備え財政余力を」IMFトップとの一問一答：朝日新聞,"中東情勢が世界経済を揺さぶる中、国際通貨基金（IMF）のゲオルギエバ専務理事が、朝日新聞など一部日本メディアの取材に応じた。原油価格高騰の影響や日本の財政政策、AI（人工知能）のリスクなどについて語った。主なやりとりは次の通り。

-- -- イラン情勢の緊迫化を受け、原油価格が上昇しています。

「エネルギー価格の上昇圧力はインフレ（物価上昇）や経済成長に影響を及ぼす。石油は単なるエネルギーではない。肥料の生産にもかかわり、食料供給にも重要な意味を持つ」

「日本やアジアのようにエネルギーを輸入に頼る国々は、より深刻な影響を感じている。アジアは湾岸諸国へのエネルギー依存度が非常に高く、石油は60％に達する。日本が幸運なのは液化天然ガス（LNG）の輸入が多角化されている点で、湾岸諸国への依存度は11％だ」

-- -- 世界経済へのリスクは。

「紛争を国際化し、その影響を世界中に波及させようというイラン側の明確な意図がある。世界経済に極めてマイナスだ。問題は、それがいつまで続き、どこまで波及するかだ。12カ国が戦闘の直接的な影響を受け、全世界がエネルギー価格上昇の重圧にさらされている」",0.4334,0.4518,global heating,undernourishment,high_climate,no,no,no,"Unstable world, IMF chief on fiscal space for shocks - economics",,
Japanese,Japan,mainichi.jp,scrapai,15470,https://weekly-economist.mainichi.jp/articles/20230530/se1/00m/020/029000c,広島サミットで考える：基礎から理解する脱炭素のキーワード10　牧之内芽衣 | 週刊エコノミスト Online,資源・エネルギー 広島サミットで考える 基礎から理解する脱炭素のキーワード10　牧之内芽衣 2023年5月15日 有料記事 難解な用語も多い「脱炭素」。10のキーワードで解説する。 ＞＞特集「広島サミットで考える」はこちら ①GX（グリーントランスフォーメーション） 化石燃料からの脱却を含む、クリーンエネルギー中心の産業・社会構造への変革を指す。世界中で異常気象やそれに伴う食糧難が問題となっており、気候変動対策は国連のSDGs（持続可能な開発目標）にも掲げられる世界共通の課題だ。日本も2050年に温室効果ガスの排出を全体としてゼロにする「カーボンニュートラル」を表明しており、その実現に向けてGXは必須の取り組みとなる。 22年6月に岸田文雄内閣が閣議決定した「新しい資本主義のグランドデザイン及び実行計画」では、GXが重点投資分野の一つに位置付けられている。また、23年2月に閣議決定した「GX実現に向けた基本方針」には、原子力の活用をはじめ、政府が発行する「GX経済移行債」を呼び水に10年間で150兆円のGX投資を実現する計画や、炭素の排出量に応じた金銭的負担を求めるカーボンプライシングの構想が盛り込まれた。 GXは、DX（デジタルトランスフォーメーション）に次いで経済産業省が提唱した造語だ。23年4月の主要7カ国（G7）気候・エネルギー・環境相会合では、米国から「GXの定義が曖昧だ」と指摘されるなど、GXは必ずしも世界共通語ではない。しかし、気候変動対策という目標は世界共通といえるだろう。 ②COP（コップ） 「締約国会議」の略称で、国際的な条約の加盟国による決定機関全般を指す。最も多く目にするのが国連気候変動枠組み条約のCOPで、「UNFCCC」と表記されることもある。 2022年11月にはエジプトのシャルムエルシェイクで気候変動枠組み条約のCOP27（通算27回目の会合）が開催された。主だった成果として、途上国から要望されていたロス＆ダメージ（気候変動の悪影響に伴う損失および損害）に対する基金の創設についての合意がある。 次回は23年11月末からアラブ首長国連邦（UAE）でCOP28の開催が予定されている。産油国での開催とあって、温室効果ガス削減に向けて積み上げられてきた取り組みが骨抜きにならないかと警戒を強める環境NGOもある。 ③パリ協定 2015年、フランス・パリにおいて開催されたCOP21で、温室効果ガス排出削減などに向けて採択された国際枠組み。同協定では産業革命前からの地球の平均気温上昇を2度以内、可能な限り1.5度に抑える努力を追求する世界的な目標が設定された。また、すべての参加国が削減目標を5年ごとに提出・更新することも義務付けられた。 各国の目標は第三者による評価を受けることになっている。さらに、世界全体の進捗(しんちょく)を各国の目標更新や取り組み強化につなげる仕組み「グローバルストックテーク」が設けられている。そのため、世界全体で脱炭素の取り組みが遅れれば、達成に向けてその後はより厳しい目標が課されることになる。 なお、21年に英国・グラスゴーで開かれたCOP26で、努力目標であった1.5度が事実上の目標に格上げされた。日本は「30年度46％削減」（13年度比… 残り3176文字（全文4476文字） 週刊エコノミスト 週刊エコノミストオンラインは、月額制の有料会員向けサービスです。 有料会員になると、続きをお読みいただけます。 ・会員限定の有料記事が読み放題 ・1989年からの誌面掲載記事検索 ・デジタル紙面で直近2カ月分のバックナンバーが読める ※購読には毎日IDのご登録が必要です 今すぐ登録して続きを読む または エコノミストに登録済みの方はこちらからログイン 毎日IDのみお持ちの方はプランのお申し込みが必要です 文字サイズ 小 中 大 印刷,0.4357,0.3667,greenhouse gas,quality of life,high_climate,yes,no,no,Hiroshima Summit: 10 key decarbonization keywords,,
Japanese,Japan,mainichi.jp,scrapai,21639,https://weekly-economist.mainichi.jp/articles/20210720/se1/00m/020/055000c,鎌田浩毅の役に立つ地学：豪雨災害をもたらす「線状降水帯」はこうして発生する＝鎌田浩毅 | 週刊エコノミスト Online,資源・エネルギー 鎌田浩毅の役に立つ地学 豪雨災害をもたらす「線状降水帯」はこうして発生する＝鎌田浩毅 2021年7月12日 「線状降水帯」の猛威／上　豪雨をもたらす積乱雲の連続／60 日本列島では梅雨から夏にかけて豪雨による被害が頻発している。昨年7月の九州豪雨では、熊本県や鹿児島県で24時間の雨量が400ミリ以上を記録した。球磨川の氾濫によって人吉市や球磨村などで浸水や土砂崩れなどの被害が発生し、死者・行方不明者は80人超に達した。 九州豪雨をもたらしたのは、「線状降水帯」と呼ばれる細長く発達した積乱雲である。九州豪雨では、この線状降水帯が11時間半にもわたって停滞を続けた。猛烈な雨が長時間降れば、数十年に1度というこれまで経験したことのないような集中豪雨となり、甚大な被害が発生する。 2017年7月の九州北部豪雨では、線状降水帯により福岡県朝倉市で1時間に129ミリの降水量を記録し、死者・行方不明者が40人超に達した。気象庁では1時間当たり80ミリ以上の雨を最も強い雨の降り方として「猛烈な雨」と表現しているが、それをはるかに超える降水量となり、線状降水帯という言葉が一般に流布するきっかけになった。 「後方形成」現象 また、18年6～7月の西日本豪雨でも線状降水帯が発生し、高知県馬路村では1時間に97ミリの降水量を記録した。死者・行方不明者の総数は240人超に達し、平成以降の風水害として最悪の人的被害となった。毎年この時期は豪雨をもたらす線状降水帯への警戒が欠かせない。 線状降水帯は積乱雲が風に流されて移動する時、雲があった場所に新たな積乱雲が発生して元の積乱雲とつながり、これを繰り返すことでできあがった幅20～50キロ、長さ50～300キロにわたる帯状の積乱雲である。こうした積乱雲の連続発生は「バックビルディング（後方形成）現象」と呼ばれている（図）。 バックビルディング現象では、最初に洋上で大量の水蒸気が立ち上り、暖かく湿った風となって上陸する。山地に近づいて上昇を始めると雨雲となり、最初の積乱雲が発生する。さらに、山地を越えるたびに新たな積乱雲が生まれ、雨雲が成長してさらに激しい雨を降らせる。 これらは大雨を連続的に降らせながら、上空を東に吹く風に流されてゆっくりと移動する。立て続けに後方で新しい積乱雲が生まれれば、前方の積乱雲が衰弱して雨が弱まっても、後方から次の積乱雲が追いかけて強い雨を降らせる現象が起きる。いわば「積乱雲の世代交代」が長時間にわたって維持される状態で、後方からの水蒸気の供給が止まらない限り、積乱雲は同じ場所で発生し続ける。 線状降水帯はこうして、電車がレールの上を進むように移動するので、同じ場所に長時間雨を降らせ続ける特徴がある。そして、線状降水帯が停滞し続ける時間の長さだけ、降水量が積み上がって集中豪雨となるのである。 線状降水帯は以前から確認されていた現象であるが、メディアで頻繁に扱われるようになり、呼称として定着した。次回は線状降水帯のもたらす大水害への具体的な対策を考えてみよう。 ■人物略歴 かまた・ひろき 京都大学レジリエンス実践ユニット特任教授・名誉教授。1955年生まれ。東京大学理学部卒業。専門は火山学、地質学、地球変動学。「科学の伝道師」を自任。理学博士。 前の記事 地球の巨大な裂け目で噴火したアフリカ・ニーラゴンゴ山＝鎌田浩毅 次の記事 線状降水帯の災害を「減らす」ための６カ条とは＝鎌田浩毅 関連記事 鎌田浩毅の役に立つ地学：活発化する地震活動　「大地変動の時代」に入った日本／１ 鎌田浩毅の役に立つ地学：台風のメカニズム　温暖化で巨大化する可能性／9 鎌田浩毅の役に立つ地学：地球一周に２０００年！「海洋深層水の大循環」の驚くべき仕組み 鎌田浩毅の役に立つ地学：意外と知らない？火山大国日本にダイヤモンドが産出しない理由 鎌田浩毅の役に立つ地学：線状降水帯の災害を「減らす」ための６カ条とは＝鎌田浩毅 文字サイズ 小 中 大 印刷,0.4373,0.3848,extreme weather,west nile virus,high_climate,yes,no,no,Linear rain bands causing heavy rain disasters - extreme weather,,
Japanese,Japan,mainichi.jp,scrapai,19858,https://weekly-economist.mainichi.jp/articles/20220208/se1/00m/020/062000c,挑戦者2022：「水」を燃料にした小型衛星エンジンが宇宙の輸送インフラとなる日＝浅川純・Ｐａｌｅ Ｂｌｕｅ社長 | 週刊エコノミスト Online,経済・企業 挑戦者2022 「水」を燃料にした小型衛星エンジンが宇宙の輸送インフラとなる日＝浅川純・Ｐａｌｅ Ｂｌｕｅ社長 2022年1月31日 撮影　武市公孝 浅川純　Pale　Blue代表取締役社長　水が燃料の衛星エンジン開発 「水」を使った画期的なエンジンを備えた小型衛星が地球を周回する日が近づいている。 （聞き手＝中園敦二・編集部） 小型衛星が宇宙空間で移動するための「推進機」つまり「エンジン」の開発・製造を手掛ける東京大学発のスタートアップ企業です。画期的な点は、エンジンの“燃料”に「水」を使うことです。 （挑戦者2022） 小型衛星は通常、四方が約1メートル以下、重さ200キロ以下で比較的安価という特徴があり、複数の小型衛星が相乗りして打ち上げられます。大型衛星1機よりも多くの小型衛星があれば、リアルタイムで地球全体の状況が分かります。地球観測やIoT（モノのインターネット）通信で使われます。 大型衛星は高圧ガスや人体に有毒な液体を燃料として移動できますが、これらは小型化して取り扱うのが難しいのです。このため、従来の小型衛星のほとんどが推進機を付けておらず、活動範囲は限られて最終的に放置され「宇宙ゴミ」になっていました。 水を推進力に使う考えは1970年ごろからあり、地上から宇宙空間への打ち上げロケットで研究されていました。2000年以降に、人工衛星のエンジン“燃料”に使えないかと模索が始まりました。 地上で作動実験した水プラズマ式エンジン　Pale Blue提供 小型衛星の推進方式は、（1）大きな力を出せる「水蒸気」、（2）水蒸気よりパワーは小さいけれど燃費がいい「水プラズマ」（イオンと電子に分離した水の状態）、（3）両方を備えて速く動くハイブリッド型──の三つです。世界で数社が水蒸気方式を開発していますが、（2）（3）は当社だけです。基本となるプラズマ生成技術は東大が10年以上かけて研究した末、2014年までに確立しました。翌年、プラズマ生成技術を水に適用し、地上での作動実験に初めて成功しました。 当初、水は酸素原子が入っているのでプラズマ化すると、機器のさびや腐食につながるなど非常に難しかったのです。当社はプラズマ生成に必要なマイクロ波電源や、プラズマ加速に必要な高電圧電源の小型化・高効率化の技術を開発しました。小型衛星が自由に動けるようになれば、高度や緯度を変えていろいろなミッションを実行できます。衛星は、水400ミリリットルで1年以上、動けます。寿命が尽きたら大気圏に向かうようにすればすべて燃え、宇宙ゴミにもなりません。 5年後に100機狙う 僕は推進機理論の研究で、水プラズマが発生する物理現象を細かく解明していました。ただ、実際に使うとなると、水プラズマエンジンのシステム全体の技術的完成度・安定性・信頼性を高めることが重要になります。しかし、科学的視点からは面白みがなく、論文を出せないのです。画期的技術が社会で使われる道のりは遠いと思い、起業しました。 今年はこのエンジンを搭載した小型衛星が4機以上打ち上げられる予定です。今年3月に量産に向けた防じん施設も完成します。従来の大型衛星のエンジンは10億円程度ですが、小型衛星なら数百万円です。5年後には年100機規模を提供したいですね。 宇宙空間が産業化した時、輸送インフラが必要になります。将来的には小型衛星に水を補給する給水衛星を作りたい。水は月や火星にもあるといわれています。行く先々で補水して「旅」もできます。この「ワクワク」こそ当社の推進力です。 企業概要 事業内容：人工衛星用の推進機の開発・製造 本社所在地：千葉県柏市 設立：2020年4月 資本金：1億円 従業員数：19人 ■人物略歴 あさかわ・じゅん 1991年高知県生まれ。2010年土佐高校卒、14年東京大工学部卒業。19年東京大大学院工学系研究科航空宇宙工学専攻博士課程（工学）修了し、東京大大学院新領域創成科学研究科特任助教。20年にPale Blue（ペールブルー）を創業し、代表取締役社長に就任。30歳。 前の記事 「乾電池」で簡単に高齢者を見守り=岡部顕宏・ノバルス代表取締役 次の記事 「トイレにナプキン」が当たり前の社会にしたい！　小村大一・オイテル代表の起業のきっかけとは 関連記事 挑戦者2022：「乾電池」で簡単に高齢者を見守り=岡部顕宏・ノバルス代表取締役 挑戦者2022：企業のＤＸを「一緒に」目指す　インタビュー・石井大智ＳＴＡＮＤＡＲＤ会長 挑戦者2022：「大手に負けない」清掃ロボ完成、次は“世界初”の階段昇降ロボ＝クフウシヤ・大西威一郎社長（動画あり） 挑戦者2022：武田誠　フィンターテック代表取締役　仮想通貨担保に現金貸し出し 挑戦者2022：いまや動画製作に欠かせない音楽素材　その数はなんと77万点！＝西尾周一郎・オーディオストック社長 文字サイズ 小 中 大 印刷,0.4476,0.4478,carbon dioxide,west nile virus,high_climate,no,no,no,Water-fueled small satellite engine - space tech,,
Japanese,Japan,mainichi.jp,scrapai,19406,https://weekly-economist.mainichi.jp/articles/20220322/se1/00m/020/030000c,グリーン素材・技術　：《最新特集》天然ガス②　ロシア発ガス危機で重要性再認識　欧州はＬＮＧ基地整備も課題＝編集部 | 週刊エコノミスト Online,経済・企業 グリーン素材・技術 《最新特集》天然ガス②　ロシア発ガス危機で重要性再認識　欧州はＬＮＧ基地整備も課題＝編集部 2022年3月14日 有料記事 ロシアから欧州へとガスを送るパイプライン　Bloomberg 天然ガス2　ウクライナ侵攻機に世界が重要性を再認識＝編集部 ロシアによるウクライナ侵攻では、天然ガスが国際紛争での武器となることが明らかになった。BP統計によると、2020年の世界天然ガス生産量は3853立方キロメートル。うち、ロシアが占めるシェアは16・6％で米国（23・7％）に次いで高い。 欧州各国で事情は異なるが、脱石炭・脱原発を進めており、天然ガス火力発電は重要な電源だ。その燃料調達をロシアに依存していたのだ。国際エネルギー機関（IEA）によると欧州連合（EU）域内で2021年にロシアから輸入した天然ガスは155立方キロメートルで、輸入量全体の45％を占める。 国際銀行間通信協会（SWIFT）からロシア勢排除を決めた際も、ロシア最大手のズベルバンクや国営エネルギー大手系のガスプロムバンクを外した。エネルギー調達のルートを残しておきたい国際社会の思惑が透ける。 ウクライナ侵攻を受けて天然ガス離れは進むのだろうか。橘川武郎・国際大学副学長は欧州のエネルギー政策について「短期的には天然ガスの重要性が見直され、現実的には石炭火力や原発の余力を使うことにもなるだろう。長期的には、再生可能エネルギー普及が加速するだろう」と分析する。 欧州について、長期では再エネや水素などの代替燃料導入が加速することは一致した見方だ。2月28日付ロイターによると、ドイツのハベック経済・気候保護相は「中長期では化石燃料の消費を減らしていかなければならない」と発言した。 ただ、短期的には天然ガスの重要性が再認識された。現実的解決策として欧州は北米からの調達を増やしている。欧州はこれまでロシアからパイプラ… 残り615文字（全文1315文字） 週刊エコノミスト 週刊エコノミストオンラインは、月額制の有料会員向けサービスです。 有料会員になると、続きをお読みいただけます。 ・会員限定の有料記事が読み放題 ・1989年からの誌面掲載記事検索 ・デジタル紙面で直近2カ月分のバックナンバーが読める ※購読には毎日IDのご登録が必要です 今すぐ登録して続きを読む または エコノミストに登録済みの方はこちらからログイン 毎日IDのみお持ちの方はプランのお申し込みが必要です 文字サイズ 小 中 大 印刷,0.4551,0.4480,greenhouse gas,west nile virus,high_climate,yes,no,no,"Natural gas crisis from Russia, Europe LNG infrastructure, green materials",,
Japanese,Japan,mainichi.jp,scrapai,1392,https://weekly-economist.mainichi.jp/articles/20220607/se1/00m/020/066000c,鎌田浩毅の役に立つ地学：なぜ西日本で近ごろ直下型地震が続くのか＝鎌田浩毅 | 週刊エコノミスト Online,資源・エネルギー 鎌田浩毅の役に立つ地学 なぜ西日本で近ごろ直下型地震が続くのか＝鎌田浩毅 2022年5月30日 京都で相次ぐ直下型地震　活断層の「近畿三角帯」に隣接／101 京都府南部で3月31日に震度4、続く4月3日に震度3、5月2日に再び震度4を観測する直下型地震が起きた。3月31日、5月2日とも震源の深さは約14キロ、マグニチュード（M）は4.4と推定され、いずれも1830年に起きた「文政京都地震」と震源地が近い。これは京都市内で大きな被害をもたらしたM6.5の直下型地震で、犠牲者1000人以上と伝えられている。 文政京都地震の震源は、亀岡盆地の東縁から京都盆地の西縁にある「京都西山断層帯」に含まれ、「近畿トライアングル（三角帯）」という日本有数の活断層密集地帯に隣接している（図）。ちなみに、京都盆地は西を京都西山断層帯、また東を花折断層帯という活断層に囲まれている。 近畿トライアングルでは2018年に死者6人を出した大阪府北部地震（M6.1）も起きており、地震エネルギーが蓄えられて内陸地震が起きやすい特異な場所と考えられている。そして、西日本の内陸地震では、直下型地震の「活動期」と「静穏期」が交互にやってくることが分かっている。そして、現在は次の南海トラフ巨大地震の発生前の「活動期」に当たる。 過去に起きた地震を詳しく調べると、南海トラフ巨大地震発生の40年くらい前からと、発生後10年くらいの期間に、内陸の活断層が動いて地震発生数が多くなる傾向がある。そして、1995年の阪神・淡路大震災は、こうした活動期が始まった最初の直下型地震であると位置づけられる（本連載の第12回を参照）。 安政地震の24年前 日本で発生した最大震度6弱以上の内陸地震を調べると、前回の南海トラフ巨大地震である昭和東南海地震（1944年）以後に58回起きているが、そのうち約8割に当たる50回が阪神・淡路大震災以後に起きている。 具体的には、2005年の福岡県西方沖地震、13年の淡路島地震、16年の熊本地震、18年の大阪府北部地震など、西日本の内陸で直下型地震が次々に起きた。そしてこれらが増えてピークに達したとき、最後の打ち止めとして南海トラフ巨大地震が30年代に起きると予想される。 「過去は未来を解く鍵」という見方から江戸後期の例を見ると、1830年の文政京都地震は1854年に南海トラフで起きた安政東海地震、安政南海地震の24年前の内陸地震であった。 ちなみに、こうした直下型地震の発生を日時の単位で正確に予測することは今の技術では不可能である。ちまたでは「何年何月何日」に地震が発生することを予知したという情報が流れることがあるが、科学的にはまったく根拠がないと日本地震学会も断言している。 次回の南海トラフ巨大地震はM9・1の超巨大地震で、東日本大震災より1ケタ大きい被害が想定されている。その危険性が高まるにつれ、西日本では同時に近畿トライアングルに関係した内陸地震も増えていくと考えられ、警戒を緩めることは禁物となる。 ■人物略歴 かまた・ひろき 京都大学レジリエンス実践ユニット特任教授・名誉教授。1955年生まれ。東京大学理学部卒業。専門は火山学、地質学、地球変動学。「科学の伝道師」を自任。理学博士。 前の記事 来年度の高2「地学」教科書は1社版のみという事実がはらむ危険性について 次の記事 偏在する3大資源／1　リチウム　埋蔵量の4割はチリ 文字サイズ 小 中 大 印刷,0.4213,0.3938,extreme event,west nile virus,high_climate,no,no,no,Why direct-type earthquakes continue in western Japan - geology,,
Japanese,Japan,mainichi.jp,scrapai,6608,https://weekly-economist.mainichi.jp/articles/20230606/se1/00m/020/065000c,ワールドウオッチ：オーストリアの工業都市リンツで環境活動家が脱炭素運動　エッカート・デアシュミット | 週刊エコノミスト Online,国際・政治 ワールドウオッチ オーストリアの工業都市リンツで環境活動家が脱炭素運動　エッカート・デアシュミット 2023年5月28日 有料記事 オーストリアの鉄鋼大手フェストアルピーネのリンツ製鉄所　Bloomberg オーストリア政府の気候変動対策の遅れにしびれを切らし、環境活動家が自ら主体的に啓蒙(けいもう)活動に動き始めている。オーストリアの工業都市リンツの環境活動家ヘルヴィン・プロハスカ氏とマルティン・シードラ氏は、国の対策に不満を抱き、一般市民として気候保護にいかにして貢献できるか熟考し、21年に非営利団体「エネルギーヴェンデ・リンツ（エネルギー変革リンツ＝VEL）」を設立した。 活動の原点となった自宅でもある集合住宅のエネルギー自給自足計画をベースに、「リンツ市内の建物に可能な限りソーラーパネルを設置すれば、企業の脱炭素化に必要な再生可能エネルギーの相当な部分が確保できる」として、リンツ市や企業、住民を相手に活動している。 残り236文字（全文550文字） 週刊エコノミスト 週刊エコノミストオンラインは、月額制の有料会員向けサービスです。 有料会員になると、続きをお読みいただけます。 ・会員限定の有料記事が読み放題 ・1989年からの誌面掲載記事検索 ・デジタル紙面で直近2カ月分のバックナンバーが読める ※購読には毎日IDのご登録が必要です 今すぐ登録して続きを読む または エコノミストに登録済みの方はこちらからログイン 毎日IDのみお持ちの方はプランのお申し込みが必要です 前の記事 激減しつつ変身もし続ける韓国の文具店　趙章恩 次の記事 ロス－シスコ間の高速鉄道　進む建設　足りない資金　中島和宏 文字サイズ 小 中 大 印刷,0.4587,0.4628,environmental change,west nile virus,high_climate,yes,no,no,"Austrian industrial city Linz, environmental activists push decarbonization",,
Japanese,Japan,mainichi.jp,scrapai,15261,https://weekly-economist.mainichi.jp/articles/20230704/se1/00m/020/068000c,鎌田浩毅の役に立つ地学：火星の最深部は地球と同じ「核」だった／150 | 週刊エコノミスト Online,教養・歴史 鎌田浩毅の役に立つ地学 火星の最深部は地球と同じ「核」だった／150 2023年6月19日 有料記事 火星で活動するNASAの探査機「インサイト」＝NASA提供 進展する火星の探査／上 火星は太陽系の中では金星と同じく地球の近傍にある惑星で、長年研究が進んでいる。米航空宇宙局（NASA）は火星の内部構造を解明する目的で探査機「インサイト」を開発し、2018年11月に火星のエリシウム平原の着陸に成功した。 その後、超高感度の地震計を設置し、19年4月に史上初めて火星で地震（火星なので「火震」とも呼ばれる）を観測して以来、22年12月のミッション終了まで合計1319回の地震を検出することに成功した。 一般に、地球内部では岩盤がストレスを受けて割れることで地震が発生する。割れた場所には断層ができ、繰り返し動くことでその後も地震を発生する。火星の場合も同様で、宇宙空間に熱を放出して冷える過程で、表面が縮んで引っ張られる。このストレスによって岩盤が割れ、地震が発生すると考えられている。 火星は地球ほど動きが活発でなく、最大規模の地震は22年5月4日に観測されたマグニチュード（M）4.7である。一方、地震計は火星の表面に隕石(いんせき)が衝突した際に生じる揺れも検出し、これまで複数の衝突クレーターが特定された。 2年の観測で特定 さらに、火星で発生する地震を数多く集めることで、地下の様子を詳しく知ることができる。地球の内部構造を知る際にも同じ方法を使うのだが、地震波の速度や波形の違いから、通り道に固体があるか液体があるかを判別する。その結果、火星の最深部には地球と同じ「核」が存在することが分かり、その上にある「マントル」や「地殻」の厚さなどの詳細が明らかになった。 火星の表面には厚さ約20～40キロメートルの地殻があり、その下に厚さ約1600キロメートルのマントル、最深部に半径約1800キロメートルの核があることが分かった。また、マントルは固体だが核は液体からなるので、半径約3400キロメートルの火星の中央半分は溶けていることになる。なお、火星の2倍サイズの地球では、固体の内核の周囲を液体の外核が取り巻いている（本連載の第99回を参照）。 地球と火星はいずれも約50億年前に誕生した太陽系の惑星として同じ歴史をたどってきた。約40億年前まで、直… 残り509文字（全文1409文字） 週刊エコノミスト 週刊エコノミストオンラインは、月額制の有料会員向けサービスです。 有料会員になると、続きをお読みいただけます。 ・会員限定の有料記事が読み放題 ・1989年からの誌面掲載記事検索 ・デジタル紙面で直近2カ月分のバックナンバーが読める ※購読には毎日IDのご登録が必要です 今すぐ登録して続きを読む または エコノミストに登録済みの方はこちらからログイン 毎日IDのみお持ちの方はプランのお申し込みが必要です 前の記事 活火山とは“短い災害と長い恵みをもたらす”存在／149 次の記事 火星は地震・火山がある“生きた”惑星だ／151 文字サイズ 小 中 大 印刷,0.4195,0.4079,extreme heat,west nile virus,high_climate,no,no,no,Mars deepest part has same core as Earth - space science,,
