language,country,source,collection_method,article_id,url,title,content,climate_max_sim,health_max_sim,climate_best_keyword,health_best_keyword,sample_bucket,climate,health,health_climate_impact,climate_justification,health_justification,impact_justification
Polish,Poland,fakt.pl,scrapai,69931,https://sport.fakt.pl/inne-sporty/ps-w-skokach-rozpoczal-sie-proces-wybudzania-tandego/9gjxebc,PŚ w skokach. Rozpoczął się proces wybudzania Tandego,"Ze skoczkiem w szpitalu przebywa kierownik norweskiej reprezentacji Clas Brede Brathen. W sobotę rozpoczął się proces wybudzania zawodnika ze śpiączki farmakologicznej

– To proces powolny. Jego stan jest stabilny. Zrobiono dodatkowe badania, by wybudzanie ze śpiączki przebiegało w najlepszy z możliwych sposobów – poinformowała lekarz norweskiego związku Guri Ranum Ekas.

Jak wykazały wcześniejsze badania Tande ma złamany obojczyk i przebite płuco. – Badania przeprowadzone przez zespół lekarzy różnych specjalizacji oraz tomografia nie stwierdziły poważniejszych urazów głowy i szyjnej części kręgosłupa – wyjaśniła Ekas.

Tande zaraz po wyjściu z progu stracił równowagę w locie i z olbrzymią siłą uderzył w zeskok na 99. metrze. Do karetki trafił nieprzytomny, a po ustabilizowaniu śmigłowcem został przetransportowany do szpitala w Lublanie. (Fakt24, PAP)

POM

Daniel Andre Tande ma być wybudzony ze śpiączki. Nowe wieści w sprawie stanu zdrowia norweskiego skoczka

PŚ w Planicy: Karl Geiger wygrywa na koniec sezonu. Polacy bez błysku",0.4925,0.5332,heatwave,chikungunya,high_climate,no,no,no,Ski jumping - waking up Tande,,
Polish,Poland,fakt.pl,scrapai,67077,https://sport.fakt.pl/inne-sporty/skoki-narciarskie-dwa-konkursy-w-jednym-dniu-o-ktorej-loty-w-vikersund/nfrc8cz,Dwa konkursy skoków w niedzielę. O której oglądać loty w Vikersund? Szykuje się niezłe tempo...,"Prognoza na niedzielę w rejonie Vikersund jest dość optymistyczna. Wiatr ma być znacznie słabszy niż w sobotę, od rana ma pojawiać się słońce na przemian z chmurami. Temperatura powietrza rano ma wynosić okołu minus dwóch st. C, natomiast około godz. 15 ma dojść do 1-2 st. C.

Konkurs skoków w Vikersund odwołany! Zostanie wdrożony awaryjny plan

Zaczynamy skakanie już o 11:05

Takie warunki oznaczają, że prawdopodobnie uda się zorganizować dwa ostatnie konkursy Raw Air. Szykuje się niezłe tempo… Już o godz. 11.05 ma się rozpocząć konkurs przeniesiony z soboty. Planowana jest tylko jedna seria, która wyłoni czołową trzydziestkę tego prestiżowego cyklu, która w drugich zawodach przystąpi do rywalizacji o godz. 15.30.

Najsłynniejszy rozwód w historii sportu. Oddał byłej żonie majątek!

Polacy daleko w klasyfikacji generalnej...

W pierwszym niedzielnym konkursie weźmie udział czterech Polaków: Aleksander Zniszczoł, Dawid Kubacki, Piotr Żyła oraz Kamil Stoch. Liderem Raw Air jest Austriak Stefan Kraft — 1566,8 pkt, który wyprzedza Słoweńca Petera Prevca — 1518.

Niestety Polacy nie walczą w tym roku o czołowe miejsca w klasyfikacji generalnej tej ważnej imprezy. Najlepszy z nich Aleksander Zniszczoł ma 1303,9 pkt i zajmuje odległą 19. lokatę.

I jeszcze nowe przepisy. Zgodnie z zasadami Raw Air w pierwszej serii niedzielnego konkursu popołudniowego wystąpi 30 zawodników, w drugiej 20 zajmujących w cyklu miejsca 1-20, natomiast w trzeciej już tylko najlepsza ""10"".

PROGRAM RAW AIR —

NIEDZIELA, 17 MARCA:

9.15 — seria próbna kobiet

10.00 — konkurs indywidualny kobiet (2 serie) — transmisja w Eurosporcie 2 i Eurosporcie Extra w Playerze

11.05 — konkurs indywidualny mężczyzn (1 seria) — TVN 7, Eurosport 1, Eurosport Extra w Playerze

15.30 — konkurs indywidualny mężczyzn (3 serie) — TVN, Eurosport 1, Eurosport Extra w Playerze

Długa droga mistrzostwa. Wtedy Adam Małysz zrobił to po raz pierwszy!",0.5307,0.5280,heatwave,west nile virus,high_climate,no,no,no,Ski jumping competitions on Sunday,,
Polish,Poland,se.pl,scrapai,4370,https://pogoda.se.pl/pogoda-przyprawi-nas-o-bol-glowy-zima-nie-chce-odejsc-ten-region-przysypie-snieg-aa-Swqy-Lddm-QRM9.html,Pogoda w Polsce. Weekend pod znakiem deszczu i śniegu. To przez ten front,"Pogoda w Polsce. Front atmosferyczny przejdzie w weekend, 23-24 marca

W drugiej połowie tygodnia, 18-24 marca, możemy się przygotować na niewielkie, ale jednak, ocieplenie - informuje serwis Fanipogody.pl, przestrzegając jednocześnie przed tym, co wydarzy się w weekend. W najbliższych dniach na pogodę w Polsce zaczną wpływać po kolei niże atlantyckie, co jest równoznaczne z pojawieniem się opadów. O ile wzrostowi temperatury od środy, 20 marca, będą jeszcze towarzyszyć przejaśnienia, to później, a zwłaszcza w weekend, 23-24 marca, niebo spowiją chmury.",0.5574,0.5006,heatwave,measles,high_climate,yes,no,no,Weekend weather forecast - rain and snow due to atmospheric front,,
Polish,Poland,gazeta.pl,scrapai,79209,"https://next.gazeta.pl/next/7,172392,27489051,niedzwiedzi-jest-wiecej-niz-ludzi-a-drog-nie-ma-prawie-wcale.html","Niedźwiedź jest tu królem, dróg nie ma prawie wcale. Spitsbergen zaczął od surowców, teraz rządzi nauka","Gazeta.pl wraz z naukowcami z Uniwersytetu imienia Adama Mickiewicza w Poznaniu rusza na wyprawę na Spitsbergen. Przyjrzymy się zmianom klimatu z bliska. Będziemy obserwować, jak eksperci prowadzą badania i zbierają pomiary, sprawdzimy, ile lodu stracił ich ""podopieczny"" lodowiec, Sven, a to wszystko opiszemy i pokażemy czytelnikom Gazeta.pl. Teksty o Spitsbergenie, artykuły napisane przez samych naukowców w ramach cyklu ""Klimat z bliska"", aktualności z życia w stacji polarnej, zdjęcia i materiały wideo będzie można przeczytać i obejrzeć na stronie głównej Gazeta.pl oraz w specjalnym obszarze strony Zielona.gazeta.pl.

Są stąd 1263 kilometry od bieguna północnego i 2944 kilometry - ponad dwa razy dalej - do centrum Warszawy. Stacja polarna Uniwersytetu im. Adama Mickiewicza w Poznaniu leży w centralnej części Spitsbergenu, na wybrzeżu Zatoki Petunia (Petuniabukta), 55 kilometrów, czyli kilka godzin rejsu statkiem, od Longyearbyen - stolicy wyspy i całego archipelagu. Nie można się tam dostać samochodem - co dotyczy zresztą większości obszaru Spitsbergenu, gdzie jest zaledwie 40 kilometrów dróg, w tym żadnych pomiędzy poszczególnymi osadami.

Najbliższym stacji osiedlem jest Piramida (Pyramiden) - około półtorej godziny marszu, ale to opuszczona rosyjska osada górnicza, w której przebywa zaledwie kilka osób plus, okazjonalnie, turyści w sezonie.

Baza naukowców z Poznania składa się z trzech niewielkich kontenerów. Nie ma tam zasięgu sieci komórkowej (jedyny kontakt ze światem zapewnia telefon satelitarny), ciepłej bieżącej wody, kanalizacji i prądu dostarczanego inaczej niż za pomocą agregatu. Jedyny kontakt ze światem zapewnia telefon satelitarny. Warunki, o jakie trudno już teraz nawet w najbardziej odludnym bieszczadzkim schronisku, ale dla Spitsbergenu wciąż bardzo ""normalne"". Przede wszystkim daje schronienie i naukowcom prowadzącym tu badania w zupełności wystarcza.

Takich baz na wyspie jest więcej. Tylko polskich cztery - trzy sezonowe ""uczelniane"" (podobnie jak stacja nad Petuniabukta, która jest najdalej na północ wysuniętą polską placówką badawczą) oraz jedna całoroczna, którą opiekuje się PAN. Wszystkich - kilkanaście, w tym chińska, czeska i indyjska. Jak to się stało, że wyspa o obszarze tylko nieco większym, niż zajmuje Mazowsze, stała się mekką naukowców?

Spitsbergen i Svalbard - zimno, choć wcale nie tak bardzo, jak mogłoby być

Spitsbergen jest największą wyspą archipelagu Svalbard, położonego na Oceanie Arktycznym. Inne główne wyspy to m.in. Ziemia Północno-Wschodnia, Wyspa Edge’a, Wyspa Barentsa, Wyspa Biała i Ziemia Księcia Karola. W tym rejonie znajduje się też Wyspa Niedźwiedzia, niewchodząca geograficznie w skład archipelagu. Spitsbergen leży za kołem podbiegunowym, już całkiem blisko od bieguna - północne krańce nieco ponad 1000 kilometrów. Ma surowy klimat, w każdym razie w porównaniu do naszego, bo mimo wszystko rejon ten ""ogrzewa"" ciepły Prąd Zatokowy (Golfsztrom), do którego jeszcze wrócimy - na razie dla chętnych w ...",0.4893,0.5254,heatwave,west nile virus,high_climate,no,no,no,"Bear is king here, no roads - travel destination",,
Polish,Poland,se.pl,scrapai,2765,https://pogoda.se.pl/upal-do-33-stopni-to-nie-wszystko-tych-miejsc-lepiej-unikac-prognoza-imgw-na-3-09-2024-aa-mR55-5KpM-gtKM.html,Upał do 33 stopni to nie wszystko! Tych miejsc lepiej unikać [Prognoza IMGW na 3.09.2024],"Prognoza na noc z poniedziałku na wtorek

Przed nami spokojna noc z 2 na 3 września 2024 roku, choć gdzieniegdzie, głównie na południu i północnym wschodzie kraju, utworzą się mgły ograniczające widzialność do 200 metrów. Porywisty wiatr pojawi się w wysokich partiach Sudetów. Na Dolnym Śląsku i w województwie lubuskim temperatury osiągną 18 stopni Celsjusza. Synoptycy z IMGW nie spodziewają się za to opadów deszczu, czy burz. Najchłodniej będzie na Podlasiu i w północnych regionach Polski. Ciekawiej wygląda prognoza Instytutu na wtorek. Lato postanowiło dać o sobie znać. Mimo początku września, bynajmniej nie zamierza się wyprowadzać z kraju.

Pogoda na jutro: Wtorek z upałami i nie tylko

Z prognozy IMGW na 3 września wynika, że w ciągu dnia zachmurzenie będzie małe i umiarkowane, rano i po południu lokalnie duże. Rano gdzieniegdzie, głównie na południu i północnym wschodzie kraju, mgły ograniczające widzialność do 400 metrów. Uważać na nie muszą przede wszystkim kierowcy i piesi!

- W górach po południu miejscami przelotne opady deszczu, możliwe również burze, zwłaszcza w Tatrach. Wiatr słaby i umiarkowany, na zachodzie kraju oraz w czasie burz okresami porywisty, wschodni i południowo-wschodni - podają eksperci z IMGW.

Wtorek to powrót upalnych wartości. Temperatura maksymalna ukształtuje się na poziomie od 29°C do 32 stopni Celsjusza, nieco chłodniej na północnym wschodzie, wybrzeżu i w rejonach podgórskich, 26°C, 28°C. W najgorętszym momencie dnia, termometry w okolicach Torunia pokażą 34 kreski. Najprzyjemniej powinno być w okolicach Gdańska, gdzie odnotujemy wartości na poziomie 28 stopni.

Upały zostaną z Polakami jeszcze przez kilkadziesiąt godzin. Pamiętajmy, aby w takich warunkach unikać zbyt długiego przebywania na słońcu i pić dużo wody. Prognozy będziemy aktualizować.",0.5110,0.4827,heatwave,west nile virus,high_climate,yes,no,no,"Heat up to 33 degrees, places to avoid - heatwave forecast",,
Polish,Poland,gazeta.pl,scrapai,78301,"https://next.gazeta.pl/next/7,151243,30142243,pala-odpady-poweglowe-zeby-kopac-bitcoiny-teraz-maja-nowy.html","Palą odpady powęglowe, żeby kopać bitcoiny. Teraz mają nowy pomysł. Jest jeszcze gorszy","Stronghold Digital Mining zajmuje się kopaniem kryptowalut, czyli wydobywaniem wirtualnych monet przy pomocy obliczeń. Proces ten może przenosić spore zyski, ale wymaga potężnej mocy obliczeniowej, a co za tym idzie, pochłania ogromne ilości energii elektrycznej. Dlatego przedsiębiorstwo ma dwie małe elektrownie (o mocy 80 i 85 MW) w Pensylwanii.

Zasilają elektrownie odpadami, by kopać bitcoiny. Teraz wezmą się za opony

Elektrownie firmy zasilane są odpadami powęglowymi, czyli zawierającą węgiel mieszaniną pozostałą po wydobyciu surowca. Już to jest kontrowersyjne, bo usuwanie odpadów powęglowych z jednej strony pozwala na rekultywację zanieczyszczonych gruntów, czym zresztą chwali się firma. Z drugiej jednak emituje do atmosfery CO2 i szkodliwe substancje. I to w większych ilościach niż w przypadku węgla, bo do wyprodukowania podobnej ilości prądu potrzeba około dwukrotnie więcej odpadów powęglowych.

Jak pisze jednak ""The Guardian"", dyskusje na temat szkodliwości spalania odpadów powęglowych zeszły na drugi plan, bo firma chce wspomóc wydajność swoich elektrowni... poprzez spalanie opon. Konkretnie chodzi o sproszkowaną gumę pochodzącą ze zużytych opon, która - po dodaniu do odpadów powęglowych - pozwala zwiększyć wydajność energetyczną ze spalania.

Firma przyznaje, że już teraz musi czasami wspomagać się spalaniem opon w swoich elektrowniach. Ma też zgodę na testowe wykorzystanie opon jako paliwa. Chce jednak otrzymać pozwolenie na wykorzystanie stałe, aby opony stanowiły 15 proc. całości wykorzystywanego paliwa, co przełoży się na spalenie 78 tys. ton starych opon. - To straszne, nie mogę uwierzyć, że ludziom w ogóle wolno palić oponami - powiedziała ""The Guardian"" okoliczna mieszkanka.

Spalanie opon budzi wątpliwości. Kontrowersyjne zalecenie Agencji Ochrony Środowiska

Jak pisze brytyjska gazeta, w przeszłości amerykańska Agencja Ochrony Środowiska (na zarchiwizowanej stronie internetowej z 2016 roku) uznawała wykorzystywanie zużytych opon w formie paliwa za ""korzystne zastosowanie"". Jak wynika z tego artykułu, lepszą praktyką jest odzyskiwanie energii z opon niż ich składowanie. Ekolodzy są jednak przeciwni takim praktykom, bo opony zawierają wiele wysoce toksycznych substancji chemicznych.",0.5136,0.5297,carbon dioxide,undernourishment,high_climate,yes,no,no,"Burning coal waste to mine bitcoin, environmental impact",,
Polish,Poland,rp.pl,scrapai,18165,https://www.rp.pl/biznes/art609041-srebro-najdrozsze-od-siedmiu-lat-zloto-coraz-blizej-rekordu,"Srebro najdroższe od siedmiu lat, złoto coraz bliżej rekordu","W przypadku srebra dodatkowym czynnikiem okazały się obawy o dostawy tego kruszcu, a także optymizm co do popytu ze strony odbiorców przemysłowych.

„ Srebro, podobnie jak złoto, w tym roku skorzystało ze statusu bezpiecznej przystani oraz spadających długoterminowych realnych rentowności w USA"", napisał w raporcie Vivek Dhar, analityk Commonwealth Bank of Australia. Liczy na kontynuację rajdu srebra.

W Singapurze na rynku spot srebro dzisiaj drożało nawet o ponad 7 proc. do 22,8366 USD za uncję, co było najwyższą ceną od 2013 roku, informuje Bloomberg. Złoto w natychmiastowych dostawach drożało nawet o 1,3 proc. i kosztowało 1865,81 USD za uncję. Rekord ustanowiony dziewięć lat temu wynosi 1921,17 USD.",0.5155,0.5433,temperature rise,west nile virus,high_climate,no,no,no,"Silver most expensive in 7 years, gold near record - commodities",,
Polish,Poland,gazeta.pl,scrapai,44019,"https://podroze.gazeta.pl/podroze/7,114158,30322942,gdzie-jest-cieplo-w-styczniu-tutaj-mozna-sie-wygrzac-i-naladowac.html",Gdzie jest ciepło w styczniu? Tutaj można się wygrzać i naładować akumulatory. I nie jest drogo,"Wszyscy czekamy na wakacje z utęsknieniem. Coraz częściej decydujemy się jednak na wakacje poza sezonem. W czasie naszej zimy ceny zagranicznych wycieczek są atrakcyjniejsze, a uniknięcie tłumów jest kuszące. Gdzie zatem wybrać się na urlop w styczniu? W tych miejscach na pewno będzie ciepło.

Gdzie jest ciepło w styczniu? Dolecisz tam w kilka godzin

Wybierając się zimą na wakacje, warto rozważyć nie tylko kraje na drugim końcu świata, ale też te, do których dolecimy w kilka godzin. Świetnym wyborem na urlop w styczniu będzie Egipt, gdzie temperatura waha się od 18 do 22 stopni. To świetna temperatura na zwiedzanie zabytków, więc miłośnicy wycieczek objazdowych będą zachwyceni. Więcej informacji znajdziesz na stronie głównej Gazeta.pl.

Nieco chłodniej jest w Maroko, gdzie temperatura waha się od 18 do 20 stopni, co również sprzyja zwiedzaniu. Zimowe wakacje w Portugalii, Hiszpanii czy Grecji to również dobry pomysł, choć tu będzie już nieco chłodniej niż w Afryce.

Azja w styczniu - czy warto? Zdecydowanie tak

Kolejnym kuszącym, choć nieco droższym wyborem, może być Tajlandia. Temperatury w ciągu dnia sięgają tam ponad 30 stopni Celsjusza. Można poświęcić się nie tylko zwiedzaniu, ale i wypoczynkowi na plaży i kąpieli w wodzie. Ci, którzy kochają wygrzewać się na słońcu, będą bardzo zadowoleni.",0.5258,0.4859,rising temperature,chikungunya,high_climate,no,no,no,Where is warm in January? Travel destinations,,
Polish,Poland,gazeta.pl,scrapai,2193,"https://next.gazeta.pl/next/7,172690,31470265,czegos-takiego-naukowcy-jeszcze-nie-widzieli-biegun-polnocny.html",Naukowcy łapią się za głowy. Biegun północny przesuwa się w kierunku Rosji w dziwnym tempie,"Każdy wie czym, jest kompas i jak działa. Umieszczona w nim igła oddziałuje z polem magnetycznym Ziemi, dzięki czemu niezależnie od miejsca, w którym się znajdujesz oraz pory dnia, igła ustawi się w linii prostej między biegunami magnetycznymi i wskaże północ oraz południe. Nie każdy jednak wie, że północny biegun magnetyczny Ziemi w przeciwieństwie do geograficznego często zmienia swoje położenie. Naukowcy zauważyli, że ostatnio robi to w dziwnym tempie.

Północny biegun magnetyczny się porusza. Naukowcy zdziwieni

Magnetyczny biegun północny po raz pierwszy formalnie odkryto w 1831 roku na terytorium północnej Kanady. Do dzisiaj przebył około 2250 km. W latach 90. dryfował do Oceanu Arktycznego, a potem przyspieszył i skierował się w stronę Syberii. ""The Independent"" opisuje, że w latach 1600-1990 przemieszczał się około 10-15 km rocznie, a na początku XXI wieku przyspieszył do około 55 km rocznie. I gdy wydawało się, że zmiana jego położenia nabierze tempa, biegun wyhamował.

Naukowcy z British Geological Survey (BGS) zauważyli, że w ciągu ostatnich pięciu lat ruch północnego bieguna magnetycznego znacznie zwolnił, do około 25 km rocznie. Nigdy wcześniej nie odnotowano takiego spowolnienia. Do końca nie wiadomo dlaczego. ""The Times"" opisuje, że grupa kierowana przez profesora Phila Livermore'a z Uniwersytetu w Leeds postawiła teorię, że biegun wyhamował, bo znalazł się między konkurującymi ze sobą obszarami siły magnetycznej, jednym pod Kanadą, a drugim pod Syberią.

Dlaczego biegun się przemieszcza? ""Wielka kula stopionego żelaza""

Ruch bieguna spowodowany jest nieprzewidywalnymi wahaniami w procesie mieszania się płynnego żelaza, które stanowi większość zewnętrznego jądra Ziemi. - To wielka, chaotyczna i burzliwa kula stopionego żelaza krążąca pośrodku Ziemi. Dlatego, chociaż możemy monitorować i obserwować zachodzące zmiany, trudno jest dokładnie przewidzieć, jak one się zmienią - mówił w rozmowie z ""The Independent"" dr William Brown, globalny modelarz pola geomagnetycznego w BGS.",0.4894,0.5074,temperature rises,west nile virus,high_climate,yes,no,no,Scientists alarmed: North Pole shifting position,,
Polish,Poland,gazeta.pl,scrapai,102896,"https://next.gazeta.pl/next/7,172392,32150359,ukrop-na-polnocy-skandynawia-doswiadczyla-wlasnie-czegos-niezwyklego.html",właśnie czegoś niezwykłego,"W sobotę zakończyła się rekordowo długa fala upałów w Finlandii. Przez 22 dni - od 12 lipca do 2 sierpnia - temperatura sięgała 30 stopni Celsjusza powyżej zera (lub więcej). Czegoś takiego jeszcze tam nie widziano. ""Kto by w to uwierzył w czerwcu? Na pewno nie ja"" - napisał w mediach społecznościowych (w serwisie BlueSky) Mika Rantanen, klimatolog z Fińskiego Instytutu Meteorologicznego.

Finlandia, Norwegia, Szwecja - wszędzie upał

W Rovaniemi, stolicy Laponii (znanej z popularnej atrakcji turystycznej - wioski świętego Mikołaja), 1 sierpnia odnotowano najwyższą sierpniową temperaturę w historii - 31,1 stopnia Celsjusza. Trzy tygodnie z ponad 25 stopniami na plusie obserwowano nawet w fińskich rejonach arktycznych. ""Naprawdę bezprecedensowa fala upałów"" - napisał Rantanen.

Wyjątkowo gorąco przez kilkanaście i więcej dni z rzędu - tak wygląda ostatnio pogoda w całej Fennoskandii - czyli regionie obejmującym Półwysep Skandynawski, Finlandię, Karelię i Półwysep Kolski. W Norwegii za kołem podbiegunowym ponad 30 stopni odnotowywano przez 12 dni z rzędu. W tym kraju lipiec był trzecim najcieplejszym miesiącem w historii pomiarów, ze średnią temperaturą o 2,8 stopnia powyżej średniej wieloletniej. Można by pomyśleć, że to ""tylko"" trzeci najcieplejszy lipiec, jednak był on jednocześnie wyjątkowy. We wszystkich regionach wystąpiły fale upałów. Do tego dwa lipcowe tygodnie znalazły się na (zdecydowanie) pierwszym miejscu w zestawieniu najcieplejszych 14-dniowych okresów w Norwegii od czasu prowadzenia tej statystyki (czyli od 1957 roku).

- Musimy przygotować się na to, że w przyszłości będzie się to zdarzać częściej. Wtedy bardzo ważne będzie skupienie się na redukcji emisji i adaptacji do zmian klimatu - mówi klimatolożka Reidun Gangstø cytowana w komunikacie norweskiego biura meteorologicznego. Zmiany klimatu sprawiają, że tego typu ekstremalne zjawiska pogodowe stają się bardziej prawdopodobne, intensywne i długotrwałe.

Na północy Szwecji część stacji także biła rekordy. W mieście Haparanda przez 14 dni z rzędu temperatury sięgały 25 stopni lub więcej, w lapońskim Jokkmokk fala upałów trwała przez 15 dni. Według cytowanego przez ""The Guardian"" Sverkera Hellströma, naukowca ze Szwedzkiego Instytutu Meteorologiczno-Hydrologicznego, ""aby znaleźć dłuższy okres na tych stacjach, trzeba cofnąć się o ponad stulecie"".

Już nie tak ""cool""

Skąd wzięły się akurat te upały? Nad Skandynawię nasunął się i utrzymywał układ wysokiego ciśnienia, blokując dostęp chłodniejszego powietrza. Gorąco podsycały także relatywnie wysokie temperatury morza (22-23 stopnie Celsjusza) na północnych wybrzeżach Norwegii. Warto też pamiętać, że kraje skandynawskie ocieplają się znacznie szybciej, niż wynosi globalne tempo wzrostu temperatur. To dlatego, że znajdują się blisko (lub już w części w obrębie) Arktyki, która jako region ociepla się dwa razy szybciej niż Ziemia ogółem.

To przekłada się na wiele różnych wyzwań. Mieszkańcy Skandynawii nie są przyzwyczajeni do życia w ta...",0.5322,0.4800,heatwave,west nile virus,high_climate,no,no,no,"Something extraordinary - incomplete title, unclear content",,
