language,country,source,collection_method,article_id,url,title,content,climate_max_sim,health_max_sim,climate_best_keyword,health_best_keyword,sample_bucket,climate,health,health_climate_impact,climate_justification,health_justification,impact_justification
Romanian,Romania,libertatea.ro,newsapi,1496,https://www.libertatea.ro/stiri/furnizorii-de-energie-acuza-ca-bugetul-pe-2026-nu-prevede-suficienti-bani-pentru-plata-datoriilor-acumulate-de-stat-dupa-plafonarea-si-compensarea-tarifelor-5657962,Furnizorii de energie acuză că bugetul pe 2026 nu prevede suficienți bani pentru plata datoriilor acumulate de stat,"Marii furnizori de energie avertizează că proiectul de lege a bugetului pentru acest an nu include sume suficiente pentru plata datoriilor, în contextul în care aceste companii au livrat marfa către consumatorii casnici și industriali în perioada plafonării și compensării facturilor, iar acum există întârzieri foarte mari.

""Bugetul pentru 2026 alocă 3,75 miliarde lei, insuficient pentru acoperirea obligațiilor restante. Restanțele statului către furnizori sunt estimate la aproximativ 6 miliarde lei"", arată Federația Asociațiilor Companiilor de Utilități din Energie (ACUE).

Plafonarea și compensarea la electricitate a expirat în vara anului trecut, iar la gaze a fost introdus un mecanism de reglementare a prețurilor până în martie 2027, când vor intra în funcțiune zăcămintele din Marea Neagră.

""Termenul legal de 45 de zile pentru decontare s-a transformat în întârzieri de aproape doi ani"", arată ACUE.

Federația spune că datele Autorității Naționale de Reglementare în Energie (ANRE) arată că valoarea totală a cererilor de decontare depuse de furnizori se ridica la aproximativ 9,5 miliarde lei la nivelul lunii ianuarie 2026.

""Federația ACUE estimează că restanța efectivă la plată este de aproximativ 6 miliarde lei, în condițiile în care, în anul 2025, statul a efectuat plăți anticipate de până la 40% din valoarea cererilor depuse și aflate în evaluare"", arată organizația.

""Această situație ar trebui reflectată în mod realist în bugetul pentru anul 2026, astfel încât obligațiile restante să poată fi achitate într-un termen rezonabil"", potrivit ACUE.

La momentul adoptării schemelor de sprijin, legislația prevedea un termen de 45 de zile pentru plata sumelor datorate, calculat de la depunerea dosarului de decontare. Ulterior, pe fondul întârzierilor înregistrate, statul a eliminat unilateral prevederile referitoare la termenele de evaluare și de plată, acuză furnizorii.

""Schema de plafonare a prețurilor a fost o măsură de politică publică necesară pentru protejarea consumatorilor, însă costurile acesteia nu pot fi transferate pe termen nelimitat către furnizori. Statul trebuie să își respecte angajamentele și să asigure plata sumelor datorate într-un termen rezonabil"", spune Dana Daraban, director executiv ACUE.

În pofida demersurilor repetate pentru identificarea unor soluții care să accelereze procesul de analiză la nivelul ANRE și, implicit, plata sumelor prin Ministerul Energiei - pentru consumatorii non-casnici, și Ministerul Muncii - pentru consumatorii casnici, în perioada decembrie 2025 - martie 2026 valorile confirmate de ANRE au fost aproape inexistente.

""În practică, furnizorii au fost obligați să prefinanțeze diferențele de preț generate de schema de plafonare pentru perioade foarte lungi de timp, ceea ce generează costuri financiare semnificative și presiuni asupra lichidității companiilor"", subliniază Daraban.

Transferarea costurilor unei politici publice asupra operatorilor economici, fără o compensare efectivă și la timp, gen...",0.4905,0.5182,carbon emission,undernourishment,high_climate,no,no,no,Energy suppliers say 2026 budget doesn't account for costs,,
Romanian,Romania,evz.ro,scrapai,14140,https://evz.ro/guvernul-vrea-sa-implementeze-programului-rabla-pentru-becuri-solutii-pentru-reducerea-risipei.html,Guvernul vrea să implementeze Programului Rabla pentru Becuri. Soluții pentru reducerea risipei,"În acest sens, la Ministerul Mediului s-a discutat, la solicitarea prim-ministrului, Nicolae Ciucă, măsura de înlocuire a becurilor cu filament cu becuri led, atât pentru populaţie, cât şi pentru instituţii. Administrația Fondului pentru Media, AFM ar urma să gestioneze un nou program, Rabla pentru becuri. În același timp, Ministerul Mediului ar trebui sa analizeze, până săptămâna viitoare detaliile programului, informează News.ro.

Cerințele lui Nicolae Ciucă pentru fiecare minister

Guvernul României a luat în discuție, în ședința de miercuri, 14 septembrie, măsurile ce vor fi luate în această iarnă pentru reducerea consumului de energie. Comisia Europeană a anunțat că toate statele membre UE trebuie să reducă consumul de energie cu 15%. În acest context, ministrul Energiei, Virgil Popescu a declarat, în timpul ședinței de Guvern, că o soluție ar fi schimbarea becurilor din toate ministerele cu unele care consumă mai puțin curent. Aceeași măsură ar trebui luată și de populație.

„La noi în România lucrurile se pot face, avem o marjă de manevră mai mare decât celelalte state. În zona casnică și non casnică este loc de schimbare a corpurilor de iluminat cu corpuri de iluninat economice, lucru care se poate face deja. Am mai avut o propunere cu privire la reducerea TVA. Colegii mei au luat act de ea“, a spus Virgil Popescu.",0.5304,0.5170,environmental change,quality of life,high_climate,yes,no,no,"Government implements LED bulb replacement program, energy efficiency",,
Romanian,Romania,evz.ro,scrapai,14388,https://evz.ro/prognoza-meteo-14-iunie-schimbare-majora-la-nivelul-temperaturilor-in-toata-tara-care-sunt-surprizele.html,"Prognoza meteo, 14 iunie. Schimbare majoră la nivelul temperaturilor, în toată țara. Care sunt surprizele","Administrația Națională de Meteorologie (ANM) a emis prognoza meteo pentru ziua de marți, 14 iunie 2022. Vremea se răcește în toată țara și vor fi înnorări temporare, averse, descărcări electrice sau intensificări de scurtă durată ale vântului.

ANM a anunțat că vremea se răcește în toată țara. Cerul va fi variabil, cu înnorări temporare, averse, descărcări electrice și intensificări de scurtă durată ale vântului, mai ales după-amiaza și în prima parte a nopții, pe arii relativ extinse în Muntenia, Dobrogea, local la munte, în Oltenia, în sudul și sud-vestul Transilvaniei și izolat în restul teritoriului.

Precipitațiile își vor face simțită prezența, iar cantitățile de apă vor depăși 20...30 l/mp și pe suprafețe mici se vor semnala vijelii și căderi de grindină. Vântul va sufla slab și moderat, cu rafale la munte și local în restul teritoriului, în special în regiunile sud-vestice și estice. Maximele vor fi între 22 de grade în nordul Moldovei și 31 de grade în Oltenia, minimele între 6 grade în depresiuni și 20 de grade pe litoral.

Vremea în Capitală

Valorile termice se vor situa în jurul celor normale pentru mijlocul lunii iunie. Meteorologii anunță perioade cu averse, descărcări electrice și intensificări de scurtă durată ale vântului va fi ridicată. Maximava fi de 28 de grade, iar minima 16...17 grade.

Vremea la munte

La munte, cerul va fi variabil, cu înnorări temporare, averse, descărcări electrice și intensificări de scurtă durată ale vântului, mai ales după-amiaza și în prima parte a nopții, în Carpații Meridionali, Orientali și pe arii restrânse în cei Occidentali. Sunt anunțate precipitații, căderi de grindină și posibil vijelii.

Vremea pe litoral

Vremea se va răcori față de ziua precedentă și va fi în general instabilă. Cerul va prezenta înnorări temporare și trecător vor fi averse și descărcări electrice. Maximele se vor situa între 26 și 28 de grade, iar cele minime vor fi de 19-20 de grade. Temperatura apei mării va fi de maxim 23 de grade.

Vremea în principalele orașe

Timișoara: 26 grade Celsius, Precipitații: 0%, Umiditate: 40%, Vânt: 18 km/h

Oradea: 25 grade Celsius, Precipitații: 0%, Umiditate: 39%, Vânt: 23 km/h

Baia Mare: 24 grade Celsius, Precipitații: 10%, Umiditate: 45%, Vânt: 18 km/h

Cluj Napoca: 23 grade Celsius, Precipitații: 10%, Umiditate: 50%, Vânt: 19 km/h

Sibiu: 22 grade Celsius, Precipitații: 50%, Umiditate: 57%, Vânt: 18 km/h

Alba Iulia: 23 grade Celsius, Precipitații: 70%, Umiditate: 55%, Vânt: 13 km/h

Craiova: 30 grade Celsius, Precipitații: 10%, Umiditate: 41%, Vânt: 23 km/h

Târgu Jiu: 28 grade Celsius, Precipitații: 10%, Umiditate: 44%, Vânt: 18 km/h

Suceava: 23 grade Celsius, Precipitații: 10%, Umiditate: 51%, Vânt: 27 km/h

Bacău: 23 grade Celsius, Precipitații: 10%, Umiditate: 51%, Vânt: 26 km/h

Botoșani: 23 grade Celsius, Precipitații: 10%, Umiditate: 47%, Vânt: 23 km/h

Miercurea Ciuc: 21 grade Celsius, Precipitații: 80%, Umiditate: 70%, Vânt: 11 km/h

Brașov: 22 grade Celsius, Precipita...",0.5544,0.5197,rising temperatures,west nile virus,high_climate,yes,no,no,"Weather forecast June 14: major temperature change, cooling, storms",,
Romanian,Romania,evz.ro,scrapai,19488,https://evz.ro/gazele-naturale-turcesti-pe-radarul-europei-in-criza-energetica-turcia-nu-va-avea-dificultati-sa-gaseasca-clienti.html,"Gazele naturale turcești, pe radarul Europei în criza energetică: Turcia nu va avea dificultăți să găsească clienți!","Turcia adună roadele măsurilor pe care le-a luat în sectorul energetic. Zilele trecute a fost anunțat faptul că gazul extras din Marea Neagră va ajunge în sistemul național de distribuție și din luna mai va fi livrat gospodăriilor. Informația este urmărită îndeaproape și de presa internațională. Financial Times și Bloomberg au publicat analize interesante în legătură cu importanța gazului natural turcesc pentru sectorul european al energiei.

Dependența externă a Turciei se diminuează în fiecare zi, datorită măsurilor luate în sectoarele militar și energetic. În ultima perioadă, Turcia a început numărătoarea inversă pentru gazul natural de producție internă.

Unul dintre cele mai importante proiecte energetice din Turcia, includerea gazului natural din Marea Neagră în sistemul național de transport și distribuție, se apropie de finalizare. În cadrul proiectului privind exploatarea zăcământului gazeifer Sakarya, derulat de Compania Petrolieră din Turcia (TPAO), s-a ajuns în etapa conectării la rețeaua națională a rezervelor uriașe de 710 miliarde de metri cubi de gaze naturale descoperite în perioada 2020-2022 în Marea Neagră.

Gazul natural descoperit de nava de foraj Fatih va ajunge pe țărm în cursul acestei luni iar în luna mai va ajunge în gospodării.

Într-o primă etapă, gazul la a cărui exploatare lucrează 8.000 de persoane în segmentul terestru și peste 2000 de persoane în segmentul maritim va ajunge în instalațiile de pe țărm pe 20 aprilie, când va fi organizată o ceremonia la care va participa și președintele Erdoğan.

Proiectul pe care Turcia se pregătește să îl definitiveze este urmărit îndeaproape de presa internațională. Publicația americană Bloomberg și cea britanică Financial Times vin cu analize interesante.

Va fi exportat și în Europa

Financial Times scrie că în curând va fi livrată prima tranșă de gaz natural descoperită de Turcia și Marea Neagră și subliniază că este ""cel mai ambițios proiect energetic al Turciei"".

Furnizând detalii în analiza publicată, Financial Times amintește că în prima fază vor fi extrase 10 milioane de metri cubi, în faza a doua 40 de milioane de metri cubi iar în faza a treia, 60 de milioane de metri cubi.

În prima fază va fi asigurat 15% din necesarul Turciei iar în etapa a doua se urmărește acoperirea unui procent de 40% din necesarul de gaze naturale al Turciei. În cadrul proiectului se are în vedere și exportul pe piețele europene.

În analiză se amintește faptul că la nivel european, numeroase țări se confruntă cu întreruperi în aprovizionarea cu gaz rusesc, în urma sancțiunilor aplicate Moscovei pe fondul războiului dintre Rusia și Ucraina. În acest context, Turcia prezintă un potențial important în ceea ce privește aprovizionarea cu gaz a Europei.

Financial Times subliniază că o parte din gazul exploatat la zăcământul din Sakarya va fi exportat și că piața europeană a gazului poate fi un client foarte bun, notează sabah.com.tr

O altă publicație importantă, Bloomberg din Statele Unite, transm...",0.4876,0.5181,climate crises,west nile virus,high_climate,no,no,no,Turkish natural gas on Europe's radar in energy crisis,,
Romanian,Romania,adevarul.ro,scrapai,2709,https://adevarul.ro/blogurile-adevarul/alta-poveste-cu-scalari-2068835.html,Altă poveste cu scalari,"Pentru că cineva de la care, chiar că nu mă aşteptam, mi-a spus citind un text de-al meu, că încă din titlu, O poveste cu scalari, am trimis-o la dicţionar, am zis că-i cazul să evit un asemenea precedent şi să explic că scalarii sînt nişte peşti de acvariu foarte faini şi extraplaţi, adică, scalar = peşte teleostean originar din America de Sud, cu corpul discoidal argintiu cu reflexe aurii şi brune, brăzdat de dungi transversale negre sau gri.

Cînd, în prima zi de conced, am dat o fugă pînă la birou ca să mai fac nişte ultime verificări şi reglaje, udat florile, fixat temporizatoarele pentru acvariu şi pentru AC, plus alte chestii administrative, şi am văzut imensul meu scalar plutind inert pe o parte, am înlemnit! Nu se poate! Era cel drag, mare, cel frumos şi care nu a fost afectat la ultima mutare, dintr-o clădire în alta, cu calabalîc cu tot. Detalii în plus, aici. Neîncrezător, am ridicat în grabă capacul acvariului. Nu, nu murise! Parcă, abia perceptibil, se mişca. L-am atins apăsat şi a zbughit-o. Ufff, trăieşte!! Doar că, după puţine secunde cînd s-a oprit din înotat, şi-a pierdut poziţia verticală şi a revenit încet, spre suprafaţă, în aceeaşi poziţie anormală. Da, nu-i bine. Celălalt, din aceeaşi specie, puţin mai mic şi fără dungi, se tot apropie şi se retrage, într-un dans care ar aduce bine cu un ritual de împerechere. Verific apa. Să fie prea caldă? Nu, nu cred. Deşi ar fi e posibil, nu-mi amintesc temperatura recomandată speciei, totuşi cred că nici nu am ştiut-o vreodată; preventiv, scot din priză încălzitorul. Cu un pix aflat la îndemînă, îl mai agit o dată; îşi reia poziţia normală şi se ascunde în spatele filtrului de aer. Drace, dacă rămîne înţepenit acolo? Ce-aş putea face?

Cîndva, cînd caraşii mei au avut probleme, ei îmi erau dragostea pe-atunci, m-am trezit cu ei umflaţi ca un balon, îmi amintesc că i-am scos din apă şi i-am ţinut în palmă cîteva secunde, cît să se zbată puţin. Pentru ca vezica înotătoare să se mai golească de aer. Altădată, tot cu ei, ştiu că am plecat şi ieşit în trombă pe poarta instituţiei cu destinaţia „cea mai apropiată alimentară”. De unde, m-am întors rapid cu un borcan de mazăre, citisem pe net că ajută dacă reuşesc să mănînce puţină. M-am bucurat că i-am salvat, chiar le plăceau boabele strivite între degete. Dar acum nu pot s-o şterg într-acolo, condiţiile pe-aici sînt mai restrictive. Sau mai proaste. Şi asta mai degrabă din motiv de oameni, decît de virus.

Mda, nu-i bine deloc. Iar eu, în seara asta, trebuie să iau trenul spre alt oraş, pentru nişte zile de concediu.Vorbesc cu cineva la telefon şi mă sfătuieşte să las cheia cuiva, vreunui coleg, ca să mai treacă pe la el, să vadă ce se întîmplă. N-am prieteni, totuşi încerc cu-n SMS. Răspunsul vine rapid: „Îmi pare rău, cu asta nu te pot ajuta. Mona.” Mai am o idee: deschid calculatorul şi caut pe net despre „bolile scalarilor”, „scalar plutind pe o parte” etc... Păreri multe, oameni care se ceartă pe forumuri pentru lucruri văzute diferit...",0.5107,0.5566,heatwave,starvation,high_climate,no,no,no,Another story about stairs/climbing - unclear,,
Romanian,Romania,evz.ro,scrapai,5005,https://evz.ro/incendiu-de-proportii-pensiune-vama-veche-a-ars-aproape-total.html,Incendiu de proporții la o pensiune din Vama Veche. Video,"O pensiune din Vama Veche a fost cuprinsă de flăcări, joi seara. Echipajele de pompieri s-au luptat cu focul ore în șir, însă casa a ars aproape total.

Incendiu de proporții la o pensiune din Vama Veche! O pensiune din Vama Veche, fără turişti în momentul incendiului, a fost cuprinsă de flăcări, joi seara.Incendiul s-a extins la imobil, după ce iniţial focul izbucnise la o rulotă din apropiere.

Potrivit Inspectoratului pentru Situaţii de Urgenţă (ISU) ""Dobrogea"", la faţa locului s-au deplasat mai multe autospeciale din cadrul diverselor subunităţi.

Incendiu de proporții la o pensiune din Vama Veche! Era locuită de o familie cu un copil

""La această oră intervin 4 autospeciale de stingere cu apă şi spumă, două echipaje SAJ, un echipaj de descarcerare şi o autospecială din cadrul Şantierului Naval Damen. Ajunşi la faţa locului, pompierii au constatat că focul ardea generalizat"", a transmis ISU la scurt timp de la izbucnirea incendiului.

Conform sursei citate, după ce pompierii au intervenit peste o jumătate de oră, incendiul a fost localizat, Joi seară s-a intervenit pentru lichidarea acestuia. ""Este vorba de o pensiune care era dată în funcţiune doar pe timpul sezonului estival, acum nu avea turişti. Din primele informaţii, nu sunt victime, proprietarii s-au autoevacuat. Ar fi vorba de distrugerea a aproximativ 280 metri pătraţi din acoperişul pensiunii"", a mai informat ISU.

Potrivit Ziua de Constanța, imobilul cu parter și etaj din lemn a ars aproape în totalitate. Pensiunea aparține unor localnici din Vama Veche. Nu s-au înregistrat victime. În imobil locuiau doar proprietarii, soț, soție și un copil, care s-au autoevacuat. Incendiul ar fi pornit de la sursă nesupravegheată, care a cuprins o rulotă din proximitate.

Incendiu în lanț la pensiunile din Moieciu de Sus

În noiembrie, 3 pensiuni din localitatea Moieciu de Sus, judeţul Braşov, au fost cuprinse de flăcări. Intervenția pompierilor s-a dovedit a fi foarte dificilă. Cele 3 pensiuni au fost distruse însă complet. În mare pericol s-au aflat și celelalte cabane de pe stradă, pentru că imobilele erau construite foarte aproape unele de altele. Intervenția a fost mult îngreunată de faptul că în zonă nu erau hidranți. Pompierii s-au alimentat dintr-un pârâu ce curgea în zonă.",0.5134,0.5279,heatwaves,casualties,high_climate,no,no,no,Large fire at guesthouse in Vama Veche,,
Romanian,Romania,evz.ro,scrapai,17793,https://evz.ro/cel-mai-mare-lac-helioterm-din-lume-se-afla-la-sovata-de-vineri-se-redeschide-pentru-turisti.html,Cel mai mare lac helioterm din lume se află la Sovata. De vineri se redeschide pentru turiști,"Lacul Ursu, cunoscut ca fiind cel mai mare lac helioterm din lume, se va deschide vineri, pentru turiști.

Administratorii celui mai mare lac helioterm din lume, cel de la Sovata, județul Mureș au anunțat că vor primi turiștii începând de vineri, 25 iunie 2021.

„Din 25 iunie, se deschide ștrandul Lacul Ursu pentru sezonul de vară 2021. După mai bine de 500 de zile de pandemie și restricții, vino să te simți liber la Sovata”, au anunțat administratorii lacului. Apa Lacului Ursu are o temperatură de 28 de grade Celsius, în timp ce la doar 1.5 metri adâncime temperatura este de 39 grade Celsius.

Puțină lume știe că Lacul Ursu de la Sovata, județul Mureș, este cel mai mare lac helioterm din lume.

Documentele descoperite de istorici arată că Lacul Ursu s-a format în anul 1875, în data de 27 mai, la ora 11. Istoricul Josza Andras susține că lacul s-a format ca urmare a unei întâmplări, ajungând una dintre cele mai căutate destinații turistice din România.

Josza Andras a explicat că Lacul Ursu s-a format ca urmare a unei întâmplări. În zonă existau două pârâuri care se vărsau într-o fostă mină de sare, din muntele din zonă. La un moment dat, în data de 27 mai 1875 a existat o ploaie abundentă care a adus mai multe căpițe de fân, luate de pe versanții din zonă, care au obturat scurgerea naturală în fosta mină de sare, formând Lacul Ursu, în mod artificial.

În cei 146 de ani de existență, specialiștii au încercat de mai multe ori să stabilească adâncimea lacului Ursu. Diferite studii vorbesc despre o adâncime estimată la 3.000 de metri, în timp ce altele vorbesc despre o adâncime nelimitată, care nu poate fi măsurată.

Alți specialiști sunt ceva mai sceptici și spun că adâncimea Lacului Ursu este de 18 metri, ea fiind documentată pe baze științifice pentru omologarea unui record pentru Cartea Recordurilor.

Primarul din Sovata, Fülöp László Zsolt a precizat că deşi există mai multe studii care indică diferite adâncimi, lacul a fost măsurat în urmă cu un an, pentru omologarea în Cartea Recordurilor, ca având o adâncime de 18 metri şi o suprafaţă desfăşurată de 4.200 de metri.

„În 2019, Lacul Ursu din Sovata a intrat în Cartea Recordurilor. La măsurători a reieşit că are 18 metri în zona cea mai adâncă şi 13 metri pe anumite margini. Deci este cel mai adânc lac helioterm din lume, acesta fiind un nou record alături de celelalte pe care lacul le deţine, inclusiv cea mai mare concentraţie salină. Ca şi suprafaţă desfăşurată, lacul are 4.200 metri pătraţi"", a mai declarat Fülöp László Zsolt.

Cel mai mare lac helioterm

Studiile au arătat un lucru absolut fascinant, și anume că apa din Lacul Ursu are cea mai mare salinitate din lume foarte mare pe timpul verii. Specialiștii susțin că la o adâncime de un metru și jumătate, temperatura apei ajunge chiar la 50 de grade Celsius.

După deschiderea sezonului turistic straturile din lac se omogenizează iar apa ajunge la 33-34 grade Celsius, iar apoi urmează în continuu să se răcească, mai ales din august, când ...",0.5153,0.5138,heatwaves,west nile virus,high_climate,yes,no,no,World's largest heliothermal lake at Sovata - natural phenomenon,,
Romanian,Romania,evz.ro,scrapai,22955,https://evz.ro/noul-mie-digital-la-orizont-digitalizarea-in-sectorul-energiei-si-transporturilor-aprobata-de-institutiile-ue.html,"Noul MIE-Digital, la orizont. Digitalizarea în sectorul energiei și transporturilor aprobată de instituțiile UE","Parlamentul și Consiliul European au ajuns la un acord în privința Mecanismului pentru Interconectarea Europei (MIE), în valoare de 33,7 miliarde de euro. Comisia Europeană a salutat momentul.

Comisia Europeană salută acordul la care au ajuns Parlamentul European şi Consiliul în legătură cu propunerea privind Mecanismul pentru Interconectarea Europei (MIE), în valoare de 33,7 miliarde de euro, ca parte a următorului buget pe termen lung al UE pentru perioada 2021-2027, informează un comunicat al Executivului comunitar, relatează Agerpres .

MIE sprijină investițiile în rețelele europene de infrastructuri din sectorul digital, energetic și al transporturilor

Programul privind Mecanismul pentru Interconectarea Europei sprijină investițiile în rețelele europene de infrastructuri din sectorul digital, energetic şi al transporturilor. El va sprijini dubla tranziție verde şi digitală, contribuind la realizarea ambițioaselor obiective ale Pactului verde european şi ale deceniului digital, mai precizează sursa citată.

De asemenea, programul va sprijini obiectivele Strategiei pentru o mobilitate sustenabilă şi inteligentă, punând bazele abordării prin care sistemul de transport al UE îşi poate realiza transformarea verde şi digitală şi poate deveni mai rezilient la crizele viitoare. În Pactul verde european se prevede o reducere cu 90% a emisiilor până în 2050.

""Mecanismul pentru interconectarea Europei este esenţial atât pentru finalizarea reţelei transeuropene de transport (TEN-T), cât şi pentru transformarea acesteia într-o reţea mai verde şi mai digitală. Mecanismul va servi la crearea de conexiuni de transport transfrontaliere critice, va reorienta o parte mai mare a traficului către căile ferate şi căile navigabile interioare şi va stimula integrarea multimodală.

Trebuie să dispunem de un sistem de transport mai inteligent, mai sustenabil şi mai rezistent la crize, iar MIE va juca un rol-cheie în îndeplinirea acestui deziderat"", a afirmat comisarul pentru transporturi, Adina Vălean.

Comisar pentru piața internă, Thierry Breton:”Noul MIE-Digital va fi unul dintre instrumentele noastre cheie”

Comisarul pentru piaţa internă, Thierry Breton, a declarat: ""Conectivitatea transfrontalieră avansată este un element fundamental al economiei noastre, care sprijină tranziţia digitală şi verde a Europei, pe măsură ce avansăm în deceniul digital.

Noul MIE-Digital va fi unul dintre instrumentele noastre cheie pentru sprijinirea conexiunilor transfrontaliere prin fibră şi a celor 5G, asigurând faptul că toţi cetăţenii şi toate întreprinderile vor beneficia de servicii digitale inovatoare şi de sporirea numărului locurilor de muncă şi a oportunităţilor sociale şi economice"".

Acordul convenit urmează să fie aprobat oficial atât de Parlamentul European, cât și de Consiliul European.",0.5258,0.5026,climate action,west nile virus,high_climate,no,no,no,"New digital MIE, digitalization in energy sector",,
Romanian,Romania,evz.ro,scrapai,14468,https://evz.ro/inca-un-protest-in-romania-la-o-zi-dupa-cel-organizat-de-aur-au-fost-anuntate-doua-ore.html,"Încă un protest în România, la o zi după cel organizat de AUR. Au fost anunțate două ore","La o zi după protestul organizat de liderii AUR în fața Parlamentului, conducerea Sindicatului Național Petrom a confirmat că miercuri, 22 decembrie 2021, va fi organizat un protest la care vor participa câteva sute de salariați ai companiei OMV Petrom. Angajații își vor exprima nemulțumirile la sediul central din București, Pitești, Ploiești, Constanța, Buzău, Suplacu de Barcău și la Rafinăria Petrobrazi

La fel ca protestul organizat de AUR, și cel al angajaților OMV Petrom va fi organizat în prima parte a zilei, între 10:00 și 12:00. La această situație s-a ajuns din cauza nemulțumirilor despre contractul colectiv de muncă.

Oferta făcută de companie este considerată „jignitoare″ de angajații care au reamintit că profitul OMV Petrom s-a dublat, dar salariile au rămas la fel. Oamenii au transmis conducerii celei mai mari companie de energie din Sud-Estul Europei că inflația și prețurile au crescut în timp ce lefurile lor au stagnat.

Contractul colectiv de muncă al celor care lucrează pentru OMV Petrom expiră la 31 decembrie, iar lucrătorii acuză că noua ofertă nu acoperă nici măcar rata actuală a inflației.

„Astăzi, 22 decembrie, o zi cu însemnătate deosebită pentru libertatea și drepturile românilor, ieșim în stradă pentru a ne face auzită vocea. Vrem să fim respectați, să ni se recunoască munca asiduă, să ni se coreleze veniturile cu munca depusă și cu profitul generat.

Prețurile urcă și oamenii vor salarii mai mari

Vrem un Contract Colectiv de Muncă care să fie o garanție a drepturilor echitabile și cerem o creștere a salariului care cel puțin să mențină puterea de cumpărare”, a declarat liderul Sindicatului Național Petrom, Costin Voicu.

Angajații companiei au dezvăluit că nu ar fi fost plătiți pentru un număr ridicat de ore suplimentare efectuate. De asemenea, se pare că OMV Petrom nu oferă compensații pentru cheltuielile prevăzute în cadrul muncii de acasă.

„Este aproape ca și cum compania ne râde în față: se raportează dublări ale profitului, iar în documentele publice declară că sunt hotărâți să contribuie la obiectivul ONU pentru bunăstare și sănătate.

În același timp, angajații nu au parte de creșteri reale salariale”, a notat vicepreședintele Sindicatului Național Petrom, Manuel Chejnoiu. Organizatorii protestelor au precizat că numărul participanților va fi reglementat în funcție de legile în vigoare.",0.4877,0.4820,climate crisis,undernourishment,high_climate,no,no,no,Another protest in Romania - politics,,
Romanian,Romania,evz.ro,scrapai,13970,https://evz.ro/prognoza-meteo-11-septembrie-temperaturile-raman-ridicate-dar-instabilitatea-atmosferica-se-accentueaza.html,"Prognoza meteo, 11 septembrie. Temperaturile rămân ridicate, dar instabilitatea atmosferică se accentuează","Temperaturile vor fi mai ridicate decât ar fi obişnuit pentru această perioadă, iar în sud se vor menţine valori călduroase. Cerul va fi variabil în sud-est, dar în restul regiunilor se vor semnala înnorări temporare, anunță Administrația Națională de Meteorologie (ANM).

Prognoza meteo, 11 septembrie. Unde se vor înregistra ploi torențiale

Ploi însoţite de descărcări electrice vor apărea în Banat, Crişana, Maramureş, Transilvania, vestul Olteniei şi nordul Moldovei. Spre seară şi pe parcursul nopţii, acestea se vor extinde şi în celelalte zone. Local, cantităţile de apă pot atinge 15–25 l/mp, iar izolat vor fi posibile căderi de grindină.

Vântul va sufla în general slab şi moderat, cu intensificări în vest, sud-vest şi nord-est, dar şi pe alocuri în restul ţării, unde rafalele vor ajunge la 40–50 km/h. În zona montană, vitezele vor depăşi 60–80 km/h, iar în timpul averselor se pot înregistra intensificări de scurtă durată.

Maxima ajunge la 29 de grade în Capitală

Vremea va fi ușor mai caldă decât media normală pentru început de septembrie. Cerul va prezenta înnorări temporare, iar spre seară și în timpul nopții sunt așteptate averse moderate, cu cantități de apă de 10–15 l/mp, însoțite pe alocuri de descărcări electrice.

Vântul va avea intensitate moderată. Temperaturile maxime se vor situa între 27 și 29 de grade, iar minimele între 16 și 17 grade.

Prognoza meteo, 11 septembrie. Când vine frigul în România

În intervalul 15–22 septembrie, temperaturile se vor situa peste valorile normale, în special în sud. În nord și centru se vor înregistra cantități mai mari de precipitații decât media perioadei, în timp ce în restul țării regimul pluviometric va fi apropiat de cel obișnuit.

Între 22 și 29 septembrie, vremea va rămâne ușor mai caldă decât ar fi normal, mai ales în vest și sud. Ploile vor fi mai puține, cu un deficit accentuat în nord.

În prima parte a lunii, temperaturile se vor menține ridicate față de media climatologică, mai ales în sud-vest. Precipitațiile vor fi reduse în majoritatea regiunilor, în special în jumătatea sudică.",0.5325,0.4735,rising temperatures,west nile virus,high_climate,yes,no,no,Weather forecast: temperatures remain elevated in September,,
