language,country,source,collection_method,article_id,url,title,content,climate_max_sim,health_max_sim,climate_best_keyword,health_best_keyword,sample_bucket,climate,health,health_climate_impact,climate_justification,health_justification,impact_justification
Swahili,Tanzania,habarileo.co.tz,scrapai,2056,https://habarileo.co.tz/laini-zisizohakikiwa-kufungiwa-feb-13/,Laini zisizohakikiwa kufungiwa Feb.13,"SERIKALI imetangaza kuzifungia laini za simu ambazo hazijahakikiwa ifikapo Februari 13, 2023.

Akizungumza leo Januari 24, 2023 Waziri wa Habari, Mawasiliano na Teknolojia ya Habari, Nape Nnauye amesema mpaka Januari 19, 2023 kuna watumiaji wa simu 60,739, 790 kati ya Watanzania milioni 61.

Amesema :“Utapeli mwingi unaendelea na jambo hili linaongezeka, kupitia Mamlaka ya Mawasiliano nchini (TCRA) tulichukua hatua za kufanya usajili kwa kutumia alama za vidole na vitambulisho, zoezi hili lilianza Januari 5, 2019 na kufungwa Desemba 2021,”amesema Nape na kuongeza:

“Kila laini iliyokuwa imelengwa kwa wakati ule ilisajiliwa.”

Amesema Februari 13, 2023 kama namba haijahakikiwa basi namba hiyo itazimwa, na kama kuna mtu alisajili namba kwa jina la mtu mwingine basi ajisalimishe kimaandishi iwapo namba hiyo itafanya uhalifu basi atachukuliwa hatua.

“Kama namba haijahakikiwa hiyo namba itazimwa, laini nyingi mtaani watu wametumia vitambulisho vya watu wengine kusajili na zinatumika kufanya utapeli. Laini tunazoenda kuzifungia ni zile zilizosajiliwa kwa uongo, tumelenga kuwaondoa matapeli kwenye mfumo.

“Tumeongeza siku nyingine 14 hivyo ikifika Januari 13, 2023 siku moja kabla ya siku yawapendao, anga la mawasiliano liwe salama, hatutaki zile meseji ‘ile nauli tuma kwenye namba hii’, saa 10 jioni kama kuna laini itakuwa haijahakikiwa itakuwa mwisho wa kutumika kwake,”amesisitiza.

Nape amewataka wananchi ambao hawajahakiki namba zao kufanya hivyo kabla ya Januari 13 kwa kupiga *106# ili kuhakiki namba yako kama imesajiliwa au la!",0.5598,0.6144,heatwave,west nile virus,high_climate,no,no,no,Unverified lines to be closed Feb 13 - telecoms regulation,,
Swahili,Tanzania,habarileo.co.tz,scrapai,8348,https://habarileo.co.tz/watu-saba-wafa-maji-wakivuka-mto/,Watu saba wafa maji wakivuka mto,"KATAVI: WATU saba kati ya 14 waliyokuwa wakisafirisha magunia ya mpunga kwa kutumia mtumbwi katika bonde dogo la Kitongoji cha Luguya kilichopo Kijiji cha Mwamapuli Halmashauri ya Mlele mkoani Katavi wamefariki dunia baada ya mtumbwi waliyokuwa wakisafiria kupinduka.

Soma pia: https://habarileo.co.tz/mafuriko-yauwa-watatu-familia-moja/

Akitoa taarifa ya tukio hilo Kaimu Kamanda wa Jeshi la Zimamoto na Uokoaji Mkoa wa Katavi, Inspekta Lilian Wanna amesema tukio hilo limetokea Mei 24 mwaka huu majira ya saa 12 jioni.

Ameeleza kuwa ajali hiyo iliwakuta watu hao walipokuwa wakitoa mazao yao shambani baada ya kuyavuna na kuyaleta kijijini.

Ameongeza kuwa wanaendelea na uokoaji licha ya kuwa bonde hilo kuwa na changamoto ya uwepo wanyama wakali kama Mamba na Viboko.

Soma pia: https://www.instagram.com/p/C7bpPEvOj7e/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==

Kwa upande wake Mkuu wa Mkoa wa Katavi ambaye ni Mwenyekiti wa kamati ya Ulinzi na Usalama, Mwanamvua Mrindoko amefika kijijini hapo kutoa pole kwa wafiwa na kuwataka wananchi kuendelea kushirikiana na Jeshi la Zimamoto katika uokoaji.",0.5894,0.6411,heatwave,chikungunya,high_climate,no,yes,no,,7 people drown crossing river while transporting rice,
Swahili,Tanzania,habarileo.co.tz,scrapai,10087,https://habarileo.co.tz/jifunze-kiswahili-41/,Jifunze Kiswahili,"We will continue with letter M

mito,. pillow,river

mtoto,wa-,. child(children)

mtu,wa-,. man,person(s)

mtumishi,. servent

muda,. period,duration

muhimu,. important

mume,wa-,. husband(s)

mvua,. rain

mvulana,wa-,. boy(s)

mwajemi,wa-,. Persian(s)

mwaka,mi-,. year(s)

mwalimu,wa-, teacher(s)

mwalimu,mkuu,. headmaster

mwana,,wa-,. one’s own child

mwanadamu,wa-,. human being(s)

mwanafunzi,wa-,. pupil,student(s)

mwanamke,wa-,. woman(women)

mwanaume ,wa-,. man(men)

mwandishi,wa-,. writer(s)

mwanzo,mi-,. beginning

mwarabu,wa-, Arab(s)

mwenzi,wenzi,. companion(s)

mwezi,mi-,. mouth

We will continue next period",0.6174,0.6587,heatwave,casualties,high_climate,no,no,no,Junk - Learn Swahili language lesson page,,
Swahili,Tanzania,habarileo.co.tz,scrapai,8617,https://habarileo.co.tz/habari-kuu-leo-julai-6-2023/,"HABARI Kuu leo Julai 6, 2023 - HabariLeo","Mkusanyiko wa Habari Kuu zilizotufikia katika chumba cha HabariLEO Julai 6, 2023
Home/Podcast/HABARI Kuu leo Julai 6, 2023 HABARI Kuu leo Julai 6, 2023 Na Appollo BenjaminJuly 6, 2023 Facebook Twitter LinkedIn Pinterest WhatsApp Telegram Sambaza kupitia barua pepe Habari KUU https://habarileo.co.tz/wp-content/uploads/2023/07/WhatsApp-Audio-2023-07-06-at-19.03.46.mp4 Mkusanyiko wa Habari Kuu zilizotufikia katika chumba cha HabariLEO Julai 6, 2023 Na Appollo BenjaminJuly 6, 2023 Facebook Twitter LinkedIn Pinterest WhatsApp Telegram Sambaza kupitia barua pepe Sambaza Facebook Twitter LinkedIn Pinterest WhatsApp Telegram Sambaza kupitia barua pepe Print",0.5576,0.5730,heatwave,west nile virus,high_climate,no,no,no,"Top news headlines July 6, 2023 - roundup",,
Swahili,Tanzania,habarileo.co.tz,scrapai,4931,https://habarileo.co.tz/sh-tri-121-zaokolewa-matumizi-gesi-asilia/,Sh tri.121 zaokolewa matumizi gesi asilia,"SERIKALI imeokoa kiasi cha shilingi trilioni 121, sawa na dola za Marekani bilioni 52 tangu kuanza kutumia nishati ya gesi asilia kuzalisha umeme nchini mwaka 2004.

Mkurungenzi Mtendaji wa Mamlaka ya Udhibiti wa Mkondo wa Juu wa Petroli Nchini (PURA), Mhandisi Charles Sangweni amesema kwa sasa gesi asilia inachangia asilimia 70 upatikanaji wa umeme nchini.

Mhandisi Sangweni ameeleza hayo wakati wa ziara ya bodi ya Wakurungezi wa Mamlaka hiyo, wajumbe wa kamati za bodi, menejimenti ya PURA na baadhi ya wataalamu wa mamlaka hiyo waliotembelea eneo uchimbaji wa gesi asilia, Ntorya, mkoani Mtwara.

Amesema kabla ya kuanza kutumia gesi, uzalishaji wa umeme nchini uliigharimu serikali fedha nyingi kununua nishati ya mtafuta.

Amesema iwapo serikali itaendelea kuwekeza zaidi kwenye miundombinu ya usafirishaji wa gesi, itawezesha nishati hiyo kufika na kutumika maeneo mengi na kuendelea kuokoa fedha nyingi, ambazo zitatumika kwenye matumizi mengine kwa manufaa ya taifa.

“Gesi ili ifike sehemu nyingi na kutumika ni lazima ujenge miundombinu na ndio maana mwaka 2013 hadi 2015 tulijenga bomba kutoka Mtwara mpaka Dar es Salaam, kwa hiyo ni suala la serikali kuwekeza zaidi kwenye miundombinu,” amesema.",0.5736,0.5976,carbon emission,undernourishment,high_climate,no,no,no,121 trillion shillings spent on natural gas use,,
Swahili,Tanzania,habarileo.co.tz,scrapai,2867,https://habarileo.co.tz/hali-ya-hewa-yaonya-ongezeko-la-mvua/,Hali ya hewa yaonya ongezeko la mvua,"MAMLAKA ya Hali ya Hewa Tanzania (TMA), imewataka wananchi kuendelea kuchukua tahadhari kutokana na utabiri walioutoa ya kwamba ongezeko la mvua linatarajia zaidi katika kipindi cha mwezi Mei hadi Juni mwaka huu.

Kaimu Meneja wa Ofisi Kuu ya Utabiri TMA, Dk Mafuru Kantamla amesema hayo Aprili 4, 2023 katika mahojiano maalumu katika siku ya pili ya kikao cha baraza la wafanyakazi wa Mamlaka ya Hali ya Hewa Tanzania (TMA) mjini Morogoro.

Kaimu Meneja wa Ofisi Kuu ya Utabiri TMA, amesema hayo kuhusiana na utabiri, ambao Mamlaka hiyo ilitoa ikihusisha mvua za masika Februari 22, 2023.

Utabiri huo ulitolewa kwa umma kupitia Kaimu Mkurugenzi Mkuu wa mamlaka hiyo , Dk Ladislaus Chang’a.

Amesema wanategemea msimu wa masika, mvua zinatarajia kuwa za wastani na hadi chini ya wastani katika maeneo yanayopata mvua mara mbili kwa mwaka nchini.

Lakini katika baadhi ya maeneo ya upande wa Kaskazini hususani ya Mkoa wa Morogoro, baadhi ya maeneo ya mkoa wa Pwani na kisiwa cha Unguja , mvua hizo zilitarajia kuwa za wastani hadi juu ya wastani na mtawanyiko wake ulitarajia kuanza wiki ya mbili na ya tatu ya mwezi wa Machi mwaka huu.

Amesema mwanzoni mwa Aprili mvua hizo hazitakuwa na mtawanyiko mzuri katika maeneo ya ukanda wa Pwani ya Kaskazini.

“Mwezi huu wa nne kutakuwa na vipindi vidogo vya ukavu usiozidi siku 10, lakini mvua hizi zinatarajia kuimarika zaidi tunapoelekea mwezi wa tano, “ amesema Dk Kantamla.

Amesema kuimarika huko kunatokana na kuonesha viashiria vya mfumo wa mvua vinaonesha joto la bahari Magharibi mwa bahari ya hindi linatarajia kuongezeka na vile vile joto la bahari katika tropiki ya bahari ya pasific linatarajiwa kuongezeka.

“ Hali hii inatarajia kuongeza wigo mkubwa wa mvua za masika katika maeneo haya ya Pwani ya Kaskazini, ukiwamo na Mkoa wa Morogoro,” amesema Dk Kantamla.

Amesem kuwa mvua za masika kwa kawaida huwa zinatarajia kuanza mwezi Machi na zinaisha mwezi Mei kila mwaka, lakini msimu huu wa 2023, wataalamu walifuatilia mifumo ya hali ya hewa na kujiridhisha kwa kiwango cha juu ya kwamba mvua hizo zitakuwa na mwendelezo na zitaendelea mpaka Juni .

“ Pamoja na kwamba kutakuwa na ongezeko la mvua katika kipindi cha mwezi Mei, lakini mvua hizi zinatarajiwa kuendelea kwenda mpaka kati kati ama kuelekea mwishoni mwa mwezi Juni,” amesema Dk Kantamla

Kutokana na hali hiyo amesema ni vyema sasa kwa jamii kuweza kuzitumia fursa hizo za mvua ambazo zinatarajia kuongezeka, kwa kujua ni nini wanaweza kufanya kwa kuhusisha wataalamu maofisa ugani.",0.5753,0.5888,heatwave,west nile virus,high_climate,yes,no,no,Weather authority warns of increased rainfall,,
Swahili,Tanzania,habarileo.co.tz,scrapai,4440,https://habarileo.co.tz/tahadhari-upepo-mkali-kuzikumba-wilaya-23/,Tahadhari upepo mkali kuzikumba wilaya 23,"MAMLAKA ya Hali ya Hewa nchini imeonya na kuwatahadharisha wananchi katika wilaya 23 juu ya uwezekano wa kuwepo kwa upepo mkali katika kipindi hiki ambacho nchi inaelekea katika msimu wa mvua za masika.

Taarifa iliyotolewa na mamlaka hiyo mwishoni mwa wiki, ilisema upepo huo unatarajiwa kuikumba sehemu kubwa ya nchi hiyo na kwamba unaweza kuendelea hadi Septemba 20 baada ya kuanza tangu Septemba 11.

“Upepo mkali wenye kasi ya kuanzia mita nane hadi 10 kwa sekunde utaendelea katika baadhi ya maeneo ya wilaya za Rutsiro, Karongi, Nyamasheke na Ngororero ikiwa ni sehemu ya jumla ya wilaya 23 zinazotarajiwa kukumbwa na hali hiyo,” ilisema sehemu ya taarifa hiyo.

Katika baadhi ya wilaya, kasi ya upepo itakuwa mita sita hadi nane kwa sekunde.

Ikitoa mfano, mamlaka hiyo ilisema upepo utapungua kadiri muda utakavyokuwa ukisogea na maeneo mengine hali itakuwa tofauti kabisa.

Ikitoa mfano, taarifa hiyo ilisema: “Kwa mfano, katika wilaya za Kigali, Ngoma, Bugesera, Kamonyi na Gakenke ambako upepo unatarajiwa kufikia kasi ya mita nne hadi sita kwa sekunde.”

Kwa mujibu wa mamlaka hiyo, wakati hali ya upepo ikiwa hivyo, hali ya mvua itakuwa nzuri kwani kutakuwa na mvua kati ya milimita 75 hadi 90 katika siku 10 zijazo hususani katika maeneo ya Rubavu, Nyabihu, Musanze na Burera wakati katika wilaya za Rutsiro, Ngororero, Gakenke, Rulindo, Gicumbi na Rusizi, Nyamasheke na Nyagatare zitakuwa na mvua kuanzia 60 na 75.",0.5763,0.6124,heatwave,west nile virus,high_climate,yes,no,no,Warning: strong winds to hit 23 districts,,
Swahili,Tanzania,habarileo.co.tz,scrapai,12420,https://habarileo.co.tz/jifunze-kiswahili-17/,Jifunze Kiswahili,"We will continue with our topic SWAHILI ADVERBS AND PREPOSITIONS.

Useful Expressions

Fanya hivi,. Do (it)this way.

Usifanye hivi,. I did not say that.

Usifanye hivi,. Do not (it)in this way.

Hivyo ndivyo ulivyosema That is what you said.

Fanya vyovyote upendavyo Do as you please wish

Mambo Yako hivyo ulivyosikia Things as you have heard.

Walisemaje ulipozaliwa What did they say when you asked them?

Amekwendaje ? How did he go?

Popote ulipo,. Where ever you may be.

Nitakuta kokote uendako,. I will follow you wherever you go

Huku na huko,. Here and there.

Palepale,. On the spot

Hapahapa,. Right here

Tazama ulivyo,. Look at the way he is

NB.Adverbs can also be formed by prefixing ki to nouns,thus:

Kiungwana,”like a gentleman”in the manner of a gentleman “,

Tazama nguo zilivyo chafu,. See how dirty the clothes are,

Sikia Simba anavyonguruma,. Hear how the lion is roaring.

Hivi ndivyo mambo yalivyo,. That is the way things are.

We will continue with our topic next time",0.5843,0.6377,heatwave,casualties,high_climate,no,no,no,Junk - Learn Swahili language lesson page,,
Swahili,Tanzania,habarileo.co.tz,scrapai,17809,https://habarileo.co.tz/wb-kujenga-njia-ya-umeme-tanzania-uganda/,"WB kujenga njia ya umeme Tanzania, Uganda","BENKI ya Dunia (WB) imetatoa fedha za utekelezaji wa mradi wa ujenzi wa njia ya kusafirisha umeme wa msongo mkubwa wa kilovolti 400 kutoka Uganda hadi Tanzania.

Mtaalam wa Nishati kutoka Ofisi ya Benki ya Dunia nchini Tanzania, Dk Rhonda Jordan ameeeleza hayo wakati alipofanya mazungumzo na Katibu Mkuu wa Wizara ya Nishati, Felchesmi Mramba katika Ofisi za Wizara ya Nishati jijini Dodoma.

Dk Rhonda amesema kuwa kwa sasa benki hiyo imeridhia kutekeleza mradi huo baada ya kujiridhisha kuwa hauna athari za kimazingira kama ilivyokuwa ikielezwa hapo awali.

“Bodi ya Wakurugenzi sasa itapitisha fedha kwa ajili ya kuanza kutekeleza mradi huu, ambao ulikuwa ukisuasua kutekelezwa kwa madai ya kuathiri mazingira, lakini sasa bodi imeridhika na itatoa fedha za kuanza kuutekeleza,” amesema Dk Rhonda.

Katika hatua nyingine, Dk Rhonda ameialika Wizara ya Nishati kushiriki katika Mkutano wa Umoja wa Mataifa utakaofanyika Jijini New York, Marekani, Septemba 2025.

Katibu Mkuu Mramba amemueleza Dk Rhonda kuwa wataendelea kushirikiana na Benki ya Dunia katika miradi mbalimbali ya Nishati ukiwemo wa usafirishaji umeme wa Tanzania-Zambia (TAZA) na mingine kama hiyo.

Kikao hicho pia kimehudhuriwa na Kamishna wa Umeme na Nishati Jadidifu, Innocent Luoga na Mhandisi Nishati Mkuu, John Mageni.",0.5577,0.6428,heatwave,west nile virus,high_climate,no,no,no,World Bank to build electricity line Tanzania-Uganda,,
Swahili,Tanzania,habarileo.co.tz,scrapai,7123,https://habarileo.co.tz/icj-yaanza-kusikiliza-kesi-ya-mabadiliko-tabianchi/,ICJ yaanza kusikiliza kesi ya mabadiliko tabianchi,"UHOLANZI : MAHAKAMA ya Juu ya Umoja wa Mataifa mjini The Hague, inasikiliza kesi kubwa kabisa ya kihistoria kuhusu mabadiliko ya tabia nchi.

Mataifa madogo ya visiwa yamepeleka vilio vyao mbele ya mahakama hiyo ya kimataifa ya haki – ICJ kuhusiana na athari kubwa za mabadiliko ya tabia nchi wanazohisi zinatishia uhai wa visiwa vyao.

Pia wametaka mataifa makubwa yanayochafua mazingira yabebeshwe jukumu hilo la kutatua tatizo la mabadiliko ya tabianchi.

Mwaka jana Baraza kuu la Umoja wa Mataifa liliomba mahakama hiyo ya kusuluhisha migogoro ya Kimataifa, kutowa msimamo wake kuhusu wajibu wa mataifa makubwa kuhusu suala la mabadiliko ya tabia nchi. SOMA:Mikakati yawekwa kukabili mabadiliko ya tabia nchi

Hatua hiyo ya baraza kuu la Umoja wa Mataifa ilikuja kufuatia miaka kadhaa, ya mataifa ya visiwa yalikuwa na hofu ya kutoweka kwa visiwa vyao na kulishawishi baraza hilo kutafuta suluhisho la kudumu.",0.5907,0.5763,environmental change,undernourishment,high_climate,yes,no,no,"ICJ begins hearing climate change case, small island states plea",,
