language,country,source,collection_method,article_id,url,title,content,climate_max_sim,health_max_sim,climate_best_keyword,health_best_keyword,sample_bucket,climate,health,health_climate_impact,climate_justification,health_justification,impact_justification
Czech,Czech Republic,denik.cz,scrapai,31622,https://breclavsky.denik.cz/ostatni_region/kraso-breclav-mala-cena-koprivnice.html,PODÍVEJTE SE: Kraso zakončilo pohárovou sezonu v Kopřivnici - Břeclavský deník,"V kategorii žaček se představila Radka Kučerová, která skončila na devatenáctém místě. „Předvedla ladnou volnou jízdu s axelem, dvojitým salchovem a hezkými piruetami. Raduška nezvládla druhého axela a dvojitého toolupa a skončila s 23,21 body, což je letošní maximum,“ řekla břeclavská koučka Mirka Myslivečková.
Druhá závodnice břeclavského Krasa Aneta Valová si v Kopřivnici vyjela své sezonní bodové maximum, když získala 31,57 bodů. „Předvedla ve své volné jízdě kombinaci axela s toolupem, dva dvojité rittbergery, dvojitého salchowa a pěkné piruety,“ uvedla trenérka.
V kategorii juniorek představila svou volnou jízdu Timea Patáková, jež skončila šestá. „Zajela téměř bezchybnou volnou jízdu se dvojitými skoky, salchowe, toolupem a rittbergerem, kombinaci axela s dvojitým rittbergerem a náročné piruety. Zaznamenala tak nové bodové maximum 32,53 body,“ dodala Myslivečková.",0.4672,0.4976,extreme heat,casualties,high_climate,,,,,,
Czech,Czech Republic,denik.cz,scrapai,13186,https://brnensky.denik.cz/zpravy_region/republikovy-unikat-moderni-linka-pokryje-az-polovinu-spotreby-tepla-pro-brno-202.html,Republikový unikát: moderní linka pokryje až polovinu spotřeby tepla pro Brno,"„Moderní jednotka s kapacitou 132 tisíc tun nerecyklovatelných odpadů ročně zajistí téměř polovinu celkové spotřeby tepla pro Brno, což Brňanům zajistí dlouhodobě stabilní a dostupné ceny tepla. Po uvedení do provozu bude Sako dodávat do sítě Tepláren Brno až jeden a půl milionu gigajoule tepla,“ přiblížil předseda představenstva firmy Filip Leder.

Pomocí nové linky se ročně uspoří takové množství oxidu uhličitého, jaké odpovídá necelým 160 tisícům tun. „Město Brno se zavázalo snížit do roku 2030 emise oxidu uhličitého o čtyřicet procent. Zprovoznění nového kotle Sako k tomu přispěje rovnou čtvrtinou,“ upřesnil náměstek primátorky Petr Hladík.

Zástupci Sako informovali Brňany o výhodách projektu a jeho přínosu pro životní prostředí v informační kampani. „K projektu nebyly vzneseny žádné námitky. Z energetického hlediska se bude jednat o jednoznačně nejmodernější jednotku v České republice, která se po spuštění zařadí mezi světovou špičku,“ uvedl ředitel firemní divize Zevo, která odpovídá za výstavbu i budoucí provoz nové spalovenské linky, Tomáš Caha.

Spalovenská linka vyroste ve stávajícím areálu firmy v Jedovnické ulici v brněnských Židenicích. V březnu zahájí představitelé společnosti výběrové řízení na generálního dodavatele stavby.",0.4986,0.4995,carbon emission,west nile virus,high_climate,,,,,,
Czech,Czech Republic,denik.cz,scrapai,42509,https://berounsky.denik.cz/zpravy_region/beroun-bourky-predpoved-pocasi-vysoke-teploty-vystraha-kroupy-blesky-vitr.html,Silné bouřky i vysoké teploty. Meteorologové zpřísnili výstrahu i pro Beroun,"Teplotní maxima se budou ve středu 10. července držet nad třiceti stupni. Počasí pak ovlivní frontální rozhraní a vyskytovat se mohou až velmi silné bouřky.

„Bouřky budou doprovázené přívalovými srážkami, ojediněle s úhrny kolem 50 mm, v opakovaných bouřkách i přes 70 mm, nárazy větru lokálně i kolem 25 m/s (90 km/h) a kroupami kolem 3 cm,"" uvedli meteorologové.

Na Berounsku jsou bouřky očekávány v brzkých odpoledních hodinách. Podle pracovníků ČHMÚ se lokálně očekává přívalový déšť s možným intenzivním odtokem vody ze svahů a rychlým rozvodněním malých toků a suchých koryt.

Silný vítr pak může vyvracet stromy a působit i škody na majetku, výpadky v elektrice nebo problémy v dopravě.

Jak poznat bouřku na radaru:

„Nebezpečí představují také kroupy a blesky. Je třeba dbát na bezpečnost zejména s ohledem na nebezpečí zásahu bleskem a úrazu padajícími a poletujícími předměty a kroupami. Nutno zajistit okna, dveře, skleníky, volně položené předměty apod. Při řízení vozidla v bouřce snížit rychlost jízdy a jet velmi opatrně, sledovat dopravní zpravodajství. Nevstupovat a nevjíždět do proudící vody a zatopených míst,"" dodali.",0.5220,0.4725,extreme heat,extreme poverty,high_climate,,,,,,
Czech,Czech Republic,denik.cz,scrapai,19672,https://boleslavsky.denik.cz/volny-cas/obrazem-cirkusaci-osvezili-boleslav-20170718.html,OBRAZEM: Cirkusáci osvěžili Boleslav - Boleslavský deník,"Inscenaci, která vzdává hold starým kočovným hereckým tlupám, předcházely již odpoledne v parku na Výstavišti vystoupení Bratrů v tricku (v galerii), dua pouličních cirkusáků, a kapely Kieslowski. V době kulturního sucha náramné osvěžení.
OBRAZEM: Cirkusáci osvěžili Boleslav
Martin Weiss
Redaktor~ka
V parku na Výstavišti vystoupili Bratři v tricku, duo pouličních cirkusáků,
Mladá Boleslav - Ospalou atmosféru celozávodní dovolené v automobilce Škoda Auto v úterý večer rozčíslo představení Batacchio v podání uměleckého souboru Cirk La Putyka v městském divadle.
tag",0.4645,0.5207,heatwave,casualties,high_climate,,,,,,
Czech,Czech Republic,denik.cz,scrapai,32666,https://ceskokrumlovsky.denik.cz/zpravy_region/stavba-d3-policie-munice-uzavrena-oblast.html,Na stavbě D3 se našly desítky kilogramů válečné munice. Odpálili ji pyrotechnici,"„Policejní pyrotechnici dokončili na místě svoji činnost během dopoledne,“ doplnil policejní mluvčí Jiří Matzner. „Válečná munice německá, maďarská i americká byla nebezpečná pro převoz, a proto byla zlikvidována řízeným odpalem. Na místě byla ukončena omezení pro dopravu i pohyb osob. Vše se obešlo bez komplikací.“Jiří Matzner.

play_fill

Policie upozornila na možnost uzavření tratě i železnici. „Informovali jsme také pana starostu,“ dodal mluvčí s tím, aby se řidiči i občané řídili aktuálními pokyny policie a stavbařů a do oblasti za žádných okolností nevstupovali.",0.4828,0.5491,heatwave,casualties,high_climate,,,,,,
Czech,Czech Republic,denik.cz,scrapai,42435,https://ceskobudejovicky.denik.cz/zpravy_region/vetsina-velkych-mest-na-jihu-cech-neplanuje-vyraznejsi-navyseni-cen-sluzeb-20251.html,Většina velkých měst na jihu Čech neplánuje výraznější navýšení cen služeb,"""Žádné zdražování nenastane. Zůstávají stejné ceny za odpad, vodné a stočné nebo platby pro městskou teplárnu. Dokonce ani naše kulturní a sportovní zařízení nezdražují, takže lidé zaplatí stejné ceny třeba za vstup na plovárnu a podobně,"" uvedla českobudějovická primátorka Dagmar Škodová Parmová (Nezařazení). Za jeden gigajoule tepla z městské teplárny lidé platí 914,94 koruny. Krychlový metr vody stojí stále 93,15 koruny. Město ceny za služby navýšilo letos, proto další zdražení zatím nechystá.

Písek od příštího roku mírně zvýší cenu vody. Lidé za metr krychlový od ledna zaplatí 123,53 Kč. Bude to meziroční nárůst o 1,77 koruny. Při průměrné spotřebě 90 litrů na člověka a den zaplatí podle výpočtu ČTK čtyřčlenná domácnost příští rok zhruba o 230 korun více než letos.

V Jindřichově Hradci se cena vody v příštím roce nezmění. Obyvatelé budou nadále platit za vodné bez daně 45,67 koruny za metr krychlový a za stočné 41,06 koruny za metr krychlový.

Český Krumlov eviduje nárůst výdajů na likvidaci komunálního odpadu. ""Stoupají třeba ceny za skládkování. Přesto jsme neuvažovali o navýšení poplatku pro obyvatele. Celoroční částka zůstává ve výši 744 korun. Pokud bychom ji zvedli, sice bychom získali více peněz, ale nechceme všechny náklady přenášet na obyvatele. Navíc odpad produkují i turisté, takž by nebylo fér, pokud by to zatížilo jen naše obyvatele,"" uvedl českokrumlovský starosta Alexander Nogrády (ANO).",0.4849,0.4810,temperature rises,undernourishment,high_climate,,,,,,
Czech,Czech Republic,denik.cz,scrapai,13320,https://blanensky.denik.cz/zpravy_region/sucho-spaluje-stromy-moravsky-kras-zavlaha-pomahaji-obce-hasici-dobrovolnici.html,"Sucho spaluje stromy v krasu. Se závlahou pomáhají obce, hasiči i dobrovolníci","„Čím větší strom, tím má samozřejmě větší nároky na závlahu. Problémová bývají první léta těsně po výsadbě. Na jaře to bylo se srážkami až nad očekávání skvělé. Takové množství vody jsme popravdě nečekali a i na nejvyprahlejších krasových stráních jsme měli půlmetrové přírůstky. Jenže později přišla vlna veder a velké sucho, které trvá dosud,“ řekl Deníku Rovnost garant zmíněného projektu Zdeněk Špíšek.

play_fill

Vláhu z krajiny podle něj vysávají rozpálené silnice v jejichž okolí je vysázená nezanedbatelná část mladých ovocných stromů. Situaci s nedostatkem vody v půdě ovlivňují také probíhající žně. „Jedná se o velké obnažené plochy, které se rozpálí. Voda se tak nemá šanci po menším dešti ke stromkům vůbec dostat. To by muselo spadnout naráz alespoň deset milimetrů. I když máme stromky zamulčované, tak musíme v těchto dnech akutně řešit závlahu, jinak velké množství ovocných stromků nepřežije,“ dodal muž z blanenského sdružení Horizont.

Kmínky v o průměru větším jak tři centimetry potřebují ideálně kolem třiceti litrů vody. Závlahu je potřeba za dva týdny zopakovat. Vodu v těchto dnech potřebuje i nedávno vysázená lipová Alej blanenských osobností. Jedná se o šestašedesát stromů mezi blanenskou Obůrkou a vavřineckou částí Nové Dvory. Zacelily místa po odumřelých kmenech ve stromořadí, které v této lokalitě vysázel v devatenáctém století šlechtický rod Salmů.

Sucho spaluje stromy v Moravském krasu. Se závlahou pomáhají obce, hasiči i dobrovolníci. | Video: Se souhlasem Zdeňka Špíška",0.4867,0.5114,rising temperatures,undernourishment,high_climate,,,,,,
Czech,Czech Republic,denik.cz,scrapai,44601,https://berounsky.denik.cz/zpravy_region/berounsko-ohnostroje-novy-rok.html,Na Berounsku přivítaly první den roku 2025 jen individuální ohňostroje,"/FOTO, VIDEO/ Ze Silvestra na Nový rok osvítily nebe nad Berounskem jen individuální ohňostroje, které se ale daly kolikrát srovnat s těmi profesionálními. Lidé je odpalovali u svých domů a přáli si se svými sousedy v ulici všechno nejlepší do nového roku.

Podařilo se nám zachytit atmosféru v Tetíně a Bykoši. „V Berouně nikdy žádný novoroční ohňostroj nebyl a nebude. Nevychází to z našich tradic. Oslavujeme advent, kterému věnujeme velkou pozornost. Od roku 2008 se rozrůstá betlém od řezbáře Jana Viktory. Postupně se zdokonaluje vánoční výzdoba, přibyly historické sáně, zvonička nebo Ježíškova pošta,"" vysvětlila mluvčí berounské radnice Jitka Soukupová.

Berounsko přivítaly první den v roce jen individuální ohňostroje | Video: Jana Hájíčková",0.4946,0.5239,heatwave,casualties,high_climate,,,,,,
Czech,Czech Republic,denik.cz,scrapai,10966,https://blanensky.denik.cz/tema/blanensky-hotel-dukla.html,Blanenský hotel Dukla - Blanenský deník,"Park místo Dukly: už třetí nesplněný termín, zakázka se prodraží o čtvrtinu ceny Blansko - Dělníci ještě utahují šrouby zábradlí. Na chodníku se povaluje nářadí… Blanensko 3. 10. 2017 gallery 11
Blanenští netrpělivě vyhlížejí nový park po Dukle. V ohrožení je i třetí termín Blansko /FOTOGALERIE, VIDEO/ – Dlouhá zima, oprava schodů, problémy s nátěrem… Blanensko 14. 9. 2017 gallery 22
Nový park v Blansku bude se zpožděním a za víc peněz Blansko – Měl být hotový už loni v listopadu, další termín byl letošní duben.… Blanensko 16. 7. 2017
Park místo Dukly: stále dražší Blansko - Betonový paskvil, nejdražší park ve střední Evropě. Takovými výrazy… Blanensko 15. 5. 2017 gallery 4
Blansko opět nabídne prostory po bývalém hotelu Dukla Blansko – Po zbouraném hotelu Dukla na náměstí Republiky v Blansku zůstaly… Blanensko 30. 4. 2017
Nová zóna místo Dukly: lidé si tam odpočinou až v dubnu, stavba se prodraží Blansko – O zhruba dva miliony korun se prodraží nová odpočinková zóna, která v… Blanensko 25. 2. 2017
Stavba parku v místě po zbouraném hotelu Dukla má zpoždění Blansko – Kdo v těchto dnech prochází kolem prostranství po zdemolovaném hotelu… Blanensko 29. 11. 2016
Divadlo v centru Blanska? Město požaduje od spolku záruky Blansko – Hlavně rozpočet a harmonogram. Zkrátka celkovou vizi. Tu mělo… Blanensko 28. 9. 2016
Začne stavba parku na místě bývalého hotelu Dukla. Včetně kašny s vodotryskem Blansko – Nová odpočinková zóna v Blansku vyroste na místě po bývalém hotelu… Blanensko 27. 8. 2016
Park po zbouraném hotelu Dukla? Letos zůstane bez kavárny Blansko – Deset milionů korun. S takovou částkou počítají Blanenští v rozpočtu… Blanensko 22. 7. 2016
Dohoda města s Kolárkou. Divadlo v suterénu zbourané Dukly možná bude Blansko – Vypadalo to, že se blanenské divadlo Kolárka své stálé scény ve městě… Blanensko 3. 6. 2016
Divadlo Kolárka ve sklepě? Hledají kompromis Blansko /FOTOGALERIE/ – Dobrý nápad. Ale ve špatnou dobu a zčásti také na… Blanensko 5. 5. 2016 gallery 4
Kolárka má zájem o suterén hotelu Dukla. Chce tam malé divadlo Blansko – Stálá divadelní scéna, autorská čtení, přednášky, koncerty nebo… Blanensko 9. 4. 2016",0.4646,0.4953,heatwave,casualties,high_climate,,,,,,
Czech,Czech Republic,denik.cz,scrapai,26506,https://blanensky.denik.cz/zpravy_region/mraz-pocasi-predpovedi-meteorologove-blanensko-jizni-morava-snih-vitr-jak-bude.html,Kruté mrazy na Blanensku. V noci na úterý bude i patnáct stupňů pod nulou,"Region má před sebou mrazivý týden. Zejména v noci a ráno mohou teploty klesat hluboko pod nulu. Od úterý do čtvrtka by mělo být spíše jasno. V pátek bude obloha oblačná a místy se objeví sněhové přeháňky. O víkendu mohou být četnější, zejména pak na severu. Vyplývá to z předpovědi Českého hydrometeorologického ústavu.

Na většině území se v pondělí budou nejvyšší teploty pohybovat od minus sedmi do minus tří stupňů Celsia. „Výrazný pokles teplot zatím podle meteorologů omezí velká oblačnost. Povane také silný vítr, v nárazech může mít až sedmdesát kilometrů za hodinu. Hrozí proto tvorba sněhových jazyků, na Moravě i závějí,"" sdělila Jitka Kučerová z brněnské pobočky Českého hydrometeorologického ústavu.

V úterý přes den by nejvyšší teploty měly být minus šest až minus dva stupně. Ve středu bude nepatrně tepleji, stále ale pod nulou. Ve čtvrtek pak budou maxima minus čtyři stupně až nula a od severu se začne postupně zatahovat.",0.5001,0.4646,rising temperatures,extreme poverty,high_climate,,,,,,
