language,country,source,collection_method,article_id,url,title,content,climate_max_sim,health_max_sim,climate_best_keyword,health_best_keyword,sample_bucket,climate,health,health_climate_impact,climate_justification,health_justification,impact_justification
Danish,Denmark,bt.dk,scrapai,245,https://www.bt.dk/cykling/riis-om-kaos-paa-vingegaards-hold-det-er-foruroligende,Riis om kaos på Vingegaards hold: 'Det er foruroligende',"»Det er svært ikke at tænke tanker. Det ville være mærkeligt andet og det, der sker på holdet lige nu, er foruroligende i sig selv.« Sådan lyder analysen fra Bjarne Riis omkring det kaos, der lige nu lader til at finde sted på Visma-Lease a Bike. Jonas Vingegaards hollandske arbejdsgiver har nemlig langtfra haft en optimal start på 2026. Først stoppede stjernen Simon Yates mystisk og pludseligt , inden endnu en overraskende nyhed stjal overskrifterne. Vingegaards mangeårige træner Tim Heemskerk forlader nu også holdet efter otte års tro tjeneste, da han følte, at »kreativitet og passion har haft for lidt plads i det daglige arbejde.« »Der er et eller andet, der ikke er, som de gerne vil have det til at se ud. Det er underligt, at Yates stoppede, nu stopper træneren så,« siger Bjarne Riis. Jonas Vingegaard styrtede under en træningstur i januar og har efterfølgende kæmpet med sygdom. Det har betydet, at han ikke kører UAE Tour i denne uge, som det ellers var planen. Foto: Javier Lizón/EPA/Ritzau Scanpix »Vi skal dog huske på, at de her mennesker er personligheder på godt og ondt. Det er et hårdt game . Nogen kan ikke tage det pres, og man må også acceptere, at det er sådan«. I vinter har flere profiler som Tiesj Benoot, Dylan Van Baarle og Attila Valter forladt holdet. Nu forlyder det også, at Visma-Lease a Bike er på jagt efter en ny storsponsor som økonomisk fundament. Det skriver Wielerflits . »Det er en erkendelse af, at de skal gøre noget for at kunne være med i toppen. Det hænger også sammen med den rytterflugt, der har været. Den kan skyldes to ting. Enten at rytterne vil noget andet, eller også kan holdet ikke betale de penge, der skal til,« siger den tidligere rytter og holdejer. »Visma er stadigvæk et stort hold, men det er ikke et storhold. Der skal penge i kassen, og kommer der ikke det, så kan de ikke gøre ret meget. Men det sætter tanker og spekulationer i gang, når man ser en rytterflugt og trænere stopper.« Ifølge Riis er mandskabet gode til at få deres ryttere til at præstere. Men det er åbenlyst ikke alle, der er gode til at leve under forholdene på holdet. Noget, han genkender fra sin egen karriere som holdejer på CSC, der senere hed Saxo Bank. »Elitecykling er benhårdt, men bare fordi det er det, skal et hold ikke være et dårligt sted at være, hvor man ikke tager sig af folk. Det er det, der er kunsten.« Bjarne Riis mener, at Jonas Vingegaard bør overveje, om Visma-Lease a Bike er det rigtige hold for ham. Foto: Bax Lindhardt »Da jeg havde hold, stillede jeg dælen dulme store krav til mine folk, men jeg sørgede for en god kultur og ånd. Hvis der ikke var det, slog jeg ned med det samme. Vi var gode til at skabe en kultur sammen.« Det store spørgsmål med danske øjne er så, om Jonas Vingegaard bør se sig om efter et andet hold. For med økonomiske udfordringer og forstyrrelser på de indre linjer, er det måske ikke det optimale sted at være for den dobbelte Tour-vinder. »Hvis du tror, at du kan vinde Touren, så vil du også have et ...",0.5062,0.4933,changing climate,lack of food,high_climate,,,,,,
Danish,Denmark,bt.dk,scrapai,3260,https://www.bt.dk/vejret/smaaregn-og-graavejr-kun-et-sted-i-landet-er-der-mulighed-for-sol,Småregn og gråvejr: Kun ét sted i landet er der mulighed for sol,"»Det er i dag et vejr, et soooolskinsvejr« – er der ingen, der kommer til at synge om det danske vejr i dag. DMI kommer nemlig med en kedelig melding om mandagens efterårsvejr. »Det bliver en gråvejrsdag med skyet vejr i stort set hele landet,« siger vagthavende meteorolog Thor Hartz. Temperaturen vil ligge på 10 til 14 grader med en svag til jævn vind fra østlig retning. Med skyerne kan der i løbet af dagen også komme regn hist og her, lyder det fra DMI. Først på dagen er det den sydlige del af landet, der kan opleve småregn. I løbet af dagen vil det bevæge sig langsomt nordøst. »Det bliver ikke de store mængder, men lidt småregn,« siger Thor Hartz. Der er dog mulighed for kig til solen et enkelt sted i landet. »Det bliver nok kun i den nordligste del af landet, at der er mulighed for kig til solen i dag,« siger Thor Hartz, meteorolog i DMI. Ifølge ham er der derfor ikke meget variation i landets fire største byer. Aalborg »Det er der, der er størst chance for kig til solen først på dagen.« Det bliver ellers en skyet dag, der starter tørt, men sidst på eftermiddagen og aftenen finder regnen vej til Aalborg. Temperaturen bliver 9 til 11 grader. Aarhus »I Aarhus vil det være skyet hele dagen. Det bliver mest tørt først på dagen, og i eftermiddag kan der komme lidt regn.« Her ligger temperaturen på 10 til 11 grader. Odense I Odense bliver det en mere våd omgang med lidt småregn i perioder i løbet af dagen. Temperaturer på 11 til 13 grader. København I hovedstaden bliver det skyet og gråt. Regnen når ikke til København før i aften, og temperaturen ligger et sted mellem 10 og 13 grader.",0.5434,0.4868,heatwaves,west nile virus,high_climate,,,,,,
Danish,Denmark,politiken.dk,scrapai,1943,https://politiken.dk/rejser/ferieidanmark/art8211828/S%C3%A5-hop-om-bord-p%C3%A5-denne-115-%C3%A5r-gamle-skonnert-i-Det-Sydfynske-%C3%98hav,Har du lyst til en alternativ ferie? Så hop om bord på denne 115 år gamle skonnert i Det Sydfynske Øhav,"Vinden tager til. Vi kan høre det i sejlene og kikker i vindretningen.

Ganske rigtigt, endnu en stor sortgrå sky tårner sig op, og om lidt vil det igen regne – eller endnu værre, hagle.

Vejret her første uge i maj har ikke meget forsommer over sig. Termometeret har vel næppe nået 8 grader, og med en vind på 14 meter i sekundet føles det, som var det vinter og frost. Med galgenhumor og pakket ind lag på lag kalder vi Det Sydfynske Øhav for Polarhavet.

Men vejret kan ikke tage glæden fra os. Da vi lagde fra i Svendborg, efterlod vi også hverdagen med virus og smittetal for med friske negative coronatests at udforske en hel ny maritim verden. Vi er om bord på den mere end 100 år gamle skonnert ’Aron’ og stævner nu mod Marstal.",0.5661,0.5579,extreme weather,west nile virus,high_climate,,,,,,
Danish,Denmark,bt.dk,scrapai,2158,https://www.bt.dk/udland/over-400-blev-draebt-af-tyfon-i-filippinerne,Over 400 blev dræbt af tyfon i Filippinerne,"Supertyfonen Rai har trukket et spor af død og ødelæggelse efter sig i Filippinerne, hvor over 400 er omkommet. 850.000 børn har ifølge Unicef brug for hjælp, efter de har mistet deres hjem. Tyfonen ramte øriget en uge før jul - den 16.-17. december. Den ødelagde hospitaler, huse, landbrug og fiskerbåde. - Børn mangler rent drikkevand, behandling, mad og støtte og beskyttelse mod vold, siger Unicefs repræsentant i Manila, Oyunsaikhan Dendevnorov. Unicef har iværksat en indsamling for de 200.000 mest udsatte børn. FN-organet håber at kunne indsamle omkring 145 millioner kroner. - Der kommer alarmerende rapporter ind om underernæring fra nogle af de hårdest ramte områder, hvor der allerede var mangel på mad, før tyfonen ramte landet, siger han. Tre af de hårdest ramte provinser ligger på den store, nordlige ø Luzon, hvor hovedstaden, Manila, ligger. På to dage faldt der regnmængder, som svarer til mere end en måneds nedbør. - Dette understreger, at virkningerne af klimaforandringer forværrer naturkatastrofer, hed det i tidligere i en udtalelser fra en talsmand for det filippinske kriseministerium, Mark Timbal. - Regnmængden var mere omfattende end ved Ondoy-tyfonen i 2009, hvor hundredvis af mennesker omkom, sagde han. Mange af de omkomne druknede under oversvømmelser eller blev begravet i mudderskred eller dræbt af væltende træer eller nedstyrtede bygninger. Filippinerne rammes af omkring 20 tyfoner hvert år. Den værste tyfon var Haiyan, som i november 2013 dræbte over 6.300 mennesker og gjorde over fire millioner mennesker hjemløse. /ritzau/AFP",0.5231,0.5861,climate crisis,undernourishment,high_climate,,,,,,
Danish,Denmark,jyllands-posten.dk,scrapai,760,https://jyllands-posten.dk/debat/kronik/ECE19043664/der-er-noget-helt-galt-i-debatten-om-dansk-landbrug/?fp-exp=60330003&fp-alg=603300030,Der er noget helt galt i debatten om dansk landbrug,"Kronik

25. feb. 2026 kl. 05.52

Der er noget helt galt i debatten om dansk landbrug

Et helt erhverv bliver i stigende grad gjort til skydeskive på baggrund af enkelte skjulte og ulovlige optagelser. Organisationer og endda politikere taler åbent om at halvere eller i yderste konsekvens afskaffe dansk svineproduktion som et mål i sig selv. Vi må stoppe op og tænke os grundigt om.

Jacob JensenLandbrugs- og fødevareminister, (V)

Dette er en kronik skrevet af en ekstern kronikør. Jyllands-Posten skelner skarpt mellem journalistik og meningsstof. Vil du skrive en kronik? Læs hvordan her.

I disse spalter skrev Franciska Rosenkilde for nylig, at landbruget ikke tager ansvar. At jeg som minister ikke tager ansvar. Det siger noget om, hvor polariseret debatten er blevet.

Udfordringerne er reelle. Dem anerkender jeg fuldt ud. Men for mig at se er ansvar ikke at afvikle et helt erhverv. Ansvar er at forandre det på en realistisk måde, samtidig…",0.5254,0.5565,climate crisis,undernourishment,high_climate,,,,,,
Danish,Denmark,bt.dk,scrapai,3514,https://www.bt.dk/udland/mindst-40-lig-er-skyllet-op-ved-bredden-af-ganges-floden,Mindst 40 lig er skyllet op ved bredden af Ganges-floden,"Der er fundet mindst 40 lig nær grænsen mellem staterne Bihar og Uttar Pradesh i Indien. Det er uklart, hvordan ligene kom dertil, men lokale medier antyder, at de kan være døde af covid-19. Det skriver BBC . Lokale medier melder også om op mod 100 lig, der er fundet, og at tilstanden på ligene antyder, at de måske har været i floden i flere dage. IDREES MOHAMMED Myndighederne siger, at ligene ser ud til at være 'delvist forbrændte', og at de muligvis er havnet i floden, som en del af den praksis, hvor man kremerer ofre for covid-19 langs floden Ganges i Uttar Pradesh. »Vi har bedt relevante myndigheder om at tage sig af ligene og enten begrave eller kremere dem,« siger en lokal embedsmand, Ashok Kumar. Lokale indbyggere fortæller, at de afdøde formentlig er blevet smidt i floden, fordi krematorierne ikke har plads til flere lig, eller fordi de pårørende ikke har råd til det brænde, der bruges til ligbål. »Det er virkelig chokerende for os, siger en af de lokale indbyggere,« Kameshwar Pandey. Uttar Pradesh er Indiens mest folkerige stat. Anden bølge af covid-19 hærger lige nu Indien, hvor antallet af døde er steget markant i de seneste uger. De fleste af landets krematorier er løbet tør for plads. Landet er nu epicentret for den globale pandemi. Indien har registreret mere end 22,6 millioner covid-19-tilfælde og 246.116 covid-relaterede dødsfald, ifølge Johns Hopkins University. Eksperter mener dog, at der i virkeligheden kan være et langt højere antal døde med covid-19 i landet.",0.5279,0.5549,rising temperatures,west nile virus,high_climate,,,,,,
Danish,Denmark,bt.dk,scrapai,2181,https://www.bt.dk/udland/den-spanske-solkyst-i-flammer-branden-kommer-taettere-paa-os,Den spanske solkyst i flammer: 'Branden kommer tættere på os',"I dagevis har en voldsom skovbrand hærget den spanske solkyst. Og søndag aften var den endnu ikke under kontrol – tværtimod breder den sig fra time til time. »Der er aske på bilerne, når vi vågner, og vejene er lukkede,« fortæller danske Signe Hansen, der er på ferie i området. Mere end i alt 2.600 personer er i skrivende stund evakueret, skriver flere medier, heriblandt El Mundo . Billedet er taget søndag aften i Estapone, hvor branden tydeligt oplyser nattehimlen. Privatfoto, Signe Hansen Skovbranden har bredt sig mere end 6.000 hektar, der svarer til cirka 3.000 fodboldbaner. Over 600 brandmænd arbejder i øjeblikket intensivt på at slukke brandene. »Vi ankom 3. september og vi kan tydeligt mærke, at branden har rykket sig – og at den kommer tættere på os,« fortæller Signe Hansen, der vender retur til Danmark på lørdag. »Beredskabsflyene har – i et forsøg på at få situationen under kontrol – fløjet over os med vand hele dagen,« siger hun. Området – Estapone – som Signe og familien befinder sig i, er ikke evakueret. Og hun fortæller, at de på nuværende tidspunkt ikke har fået nogen informationer om, hvordan de skal forholde sig. »Lige nu forholder vi os i ro og holder selv løbende øje med brandens udvikling. For medmindre man forstår spansk, får man ikke mange opdateringer på situationen,« fortæller Signe Hansen. De evakuerede områder er Genalguacil, Jubrique, Pujerra, Faraján, Alpandeire og Júzcar. Det er især kombinationen af kraftig vind og gløder, der spreder branden og vanskeliggør slukningen. Skovbranden breder sig og efterlader store røgskyer og aske efter sig. Privatfoto, Signe Hansen Beredskabsstyrelsen har i dagevis forsøgt at slukke branden. Kampen mod flammerne har kostet en brandmand livet. Den akutte situation har resulteret i, at den militære beredskabsenhed søndag er blevet bedt om at træde til.",0.5389,0.5195,heatwaves,casualties,high_climate,,,,,,
Danish,Denmark,bt.dk,scrapai,418,https://www.bt.dk/vejret/bygningskonstruktoer-advarer-det-kan-blive-grimt,Bygningskonstruktør advarer: 'Det kan blive grimt',"Har du husket at være en tur på taget eller loftet for at se, om der ligger sne? Hvis ikke, så kan det være en rigtig god idé at gøre det – for konsekvenserne kan være »ødelæggende«. Det fortæller Tue Patursson, der er bygningskonstruktør ved Bolius Realdania, til TV 2 . I weekenden stiger temperaturen ifølge DMI nemlig, og det betyder, at den sne, der ligger rundt omkring, begynder at smelte. Også den sne, der muligvis ligger på dit tag, eller som kan være føget ind på dit loft. Til TV 2 fortæller Tue Patursson, at lørdag nok er ved at være sidste chance for at tjekke loftet for sne og få den væk, før den begynder at smelte og blive til vand, der kan trænge ned i din isoleringen og videre gennem husets konstruktion. »Det kan blive grimt, da det kan ødelægge konstruktioner med vandskader og potentielt give skimmelsvamp,« siger han til mediet. Torsdag advarede flere forsikringsselskaber også husejere om, at det kommende tøvejr kan give store skader. De advarer samstemmende om risikoen for vandskader, når store mængder sne pludselig skifter form til vand. Det kan du læse mere om i artiklen HER .",0.5445,0.5102,rising temperatures,casualties,high_climate,,,,,,
Danish,Denmark,ekstrabladet.dk,newsapi,2994,https://ekstrabladet.dk/nyheder/politik/transportminister-laegger-hovedet-paa-blokken-jeg-er-100-procent-sikker/11106083,Transportminister lægger hovedet på blokken: - Jeg er 100 procent sikker,"Ekstra Bladet konfronterer transportministeren efter hasteindkaldelsen om Dao-kaosset. Han gentager sin garanti uden tøven

Tidligere tirsdag kunne Ekstra Bladet fortælle, at transportminister Thomas Danielsen (V) er blevet hasteindkaldt til forespørgselsdebat om frygten for, at valgkortene ikke når frem.

Oppositionen frygter, at Dao-kaosset kan ramme selve demokratiets maskinrum, hvis et folketingsvalg bliver udskrevet, og postomdelingen halter. Derfor vil særligt Enhedslisten og Alternativet have svar på, om der overhovedet findes en reel nødplan.

Kort efter fanger Ekstra Bladet ministeren på Christiansborg. Han er netop trådt ud fra et samråd - denne gang om udfordringer i DSB - men vi stopper ham for at høre til hasteindkaldelsen og de mange bekymringer for, om valgkortene lander i danskernes postkasse rettidigt.

- Jeg er ikke usikker på, om der kommer valgkort ud. Der kommer valgkort ud, svarer han prompte.

- Er du helt sikker?

- Jeg er 100 procent sikker på, at der kommer valgkort ud, lyder det atter fra Thomas Danielsen (V).

'Der er en plan'

Transportministeren har flere gange erklæret sig 'helt tryg' ved Dao og udtrykt, at han ikke ser nogen grund til at gribe ind politisk.

Den ro deles dog ikke af alle på Borgen. Regeringsfællen Thomas Monberg (S) har over for Ekstra Bladet sagt, at tiden er ved at være inde til handling. Det samme har Danmarksdemokraternes transportordfører.

Og tidligere tirsdag lød det fra Enhedslistens transportordfører Leila Stockmarr, at ministerens rolige tilgang til situationen langt fra er betryggende.

- De svar, der er kommet fra ministeren, er ikke ligefrem beroligende. Hver uge kan man læse nye historier om problemer, og derfor vækker det undren, at vi har en transportminister, der tænker 'går den, så går den', sagde hun til Ekstra Bladet.

Netop den kontrast, konfronterer vi transportministeren med. For hvordan formår han at bevare roen, når flere kollegaer ikke gør?

- Fordi der er en plan. Vi har både en 'valgkorts-plan' og en nødplan, og den har ligget åbent helt tilbage fra sidste år. Så der er også sikkerhedsbackup. Selv ved arbejdsnedlæggelse, så er der en plan for at dele valgkort ud.",0.5051,0.5320,climate crisis,undernourishment,high_climate,,,,,,
Danish,Denmark,jyllands-posten.dk,scrapai,394,https://jyllands-posten.dk/indland/ECE19084281/hjoerring-spreder-biokul-trods-miljoestyrelsens-advarsler-56-tons-er-naesten-ingenting-siger-borgmesteren/?fp-exp=60320002&fp-alg=603200020,"Hjørring spreder biokul trods Miljøstyrelsens advarsler. »5,6 tons er næsten ingenting,« siger borgmesteren","Indland

7. mar. 2026 kl. 10.10

Hjørring spreder biokul trods Miljøstyrelsens advarsler. »5,6 tons er næsten ingenting,« siger borgmesteren

Biokul kan indeholde kviksølv, evighedskemikalier og tjære. Selv efter Miljøstyrelsen krævede, at kommunerne udviste forsigtighed, har Hjørring Kommune givet tilladelse til spredning af mere kul.

Ved den lille nordjyske by Smidstrup ruller lastbilerne tungt og bumlende ad de små landeveje. De kører væk fra verdens største pyrolyseværk, som naboer mener er skyld i eksem, blister og hoste.",0.5091,0.5227,climate crisis,undernourishment,high_climate,,,,,,
