language,country,source,collection_method,article_id,url,title,content,climate_max_sim,health_max_sim,climate_best_keyword,health_best_keyword,sample_bucket,climate,health,health_climate_impact,climate_justification,health_justification,impact_justification
Greek,Greece,kathimerini.gr,scrapai,9550,https://www.kathimerini.gr/life/environment/1076823/covid-19-kai-klimatiki-allagi-istoria-dyo-kriseon/,COVID-19 και κλιματική αλλαγή: Ιστορία δύο κρίσεων,"Newsroom 05.05.2020 • 20:21 Κοινοποίηση 0 Σχόλια Σε διάστημα λίγων μόνο μηνών, ένας μονοκύτταρος οργανισμός μπόρεσε να αλλάξει ολόκληρο τον κόσμο. Στην εποχή του COVID-19, αλλάξαμε συνήθειες και τρόπο ζωής καθώς βιώσαμε, μεταξύ άλλων, απώλειες, φόβους, παύση των οικονομικών δραστηριοτήτων, εκτεταμένη απαγόρευση των αεροπορικών μετακινήσεων αλλά και τη διεύρυνση εναλλακτικών μορφών στην εργασία, την εκπαίδευση και την επικοινωνία. Την ίδια στιγμή, το κλείσιμο βιομηχανιών, δικτύων μεταφοράς και επιχειρήσεων στην προσπάθεια των εθνικών κυβερνήσεων να περιορίσουν τη διάδοση του ιού, οδήγησε σε αξιοσημείωτη μείωση των εκπομπών διοξειδίου του άνθρακα, μια μείωση που στη Νέα Υόρκη προσέγγισε το 50% και σε περιοχές της Κίνας το 40%. Μήπως η πανδημία του COVID-19 αποκαλύπτει πώς θα μπορούσε να είναι η ζωή μας εάν θέλαμε να δράσουμε σοβαρά για την κλιματική αλλαγή; Πώς θα εξελιχθούν άραγε τα πράγματα εάν δεν το κάνουμε; Η μείωση των εκπομπών αερίων του θερμοκηπίου είναι περιστασιακή ή θα μπορούσε να οδηγήσει σε μακροχρόνιες μειώσεις; Αυτά και άλλα ερωτήματα θα απασχολήσουν το online debate που πραγματοποιεί η Οργανωτική Επιτροπή του συνεδρίου Circle the Med Forum με τίτλο: «COVID-19 και κλιματική αλλαγή: Ιστορία δύο κρίσεων» τη Δευτέρα 11 Μαΐου στις 16.00μμ. Στο πρώτο αυτό debate θα μετάσχουν o κ. Γιώργος Κρεμλής, πρόεδρος της Ο.Ε του συνεδρίου Circle the Med Forum & του Διεθνούς Ινστιτούτου Circular Clima του Ευρωπαϊκού Οργανισμού Δημοσίου Δικαίου και ο Γενικός Διευθυντής της Γενικής Διεύθυνσης Περιβάλλοντος DG ENV της Ευρωπαϊκής Επιτροπής κ. Daniel Calleja-Crespo, ενώ οι συμμετέχοντες θα μπορούν να υποβάλλουν ερωτήσεις και σχόλια αλλά και να ψηφίσουν σε polls. To debate «COVID-19 και κλιματική αλλαγή: Ιστορία δύο κρίσεων» είναι το πρώτο μιας σειράς τέτοιων ψηφιακών δράσεων που θα πραγματοποιηθούν έως τα τέλη του Φθινοπώρου και θα κορυφωθούν με τη διοργάνωση από το Υπουργείο Εσωτερικών και το Διεθνές Ινστιτούτο Circular Clima του Ευρωπαϊκού Οργανισμού Διεθνούς Δικαίου (EPLO) του διεθνούς συνεδρίου Circle the Med Forum, ως digital event, στις 9 και 10 Νοεμβρίου 2020. Η μετάδοση του debate «COVID-19 και κλιματική αλλαγή: Ιστορία δύο κρίσεων» θα γίνεται ταυτόχρονα τόσο από το website (https://circlethemed.com) όσο και από τα μέσα κοινωνικής δικτύωσης του Forum, ενώ σε μαγνητοσκόπηση θα είναι διαθέσιμο αμέσως μετά την ολοκλήρωση του.",0.5190,0.4637,climate crisis,epidemics,high_climate,,,,,,
Greek,Greece,tovima.gr,scrapai,6244,https://www.tovima.gr/2022/01/16/international/coronavirus-as-long-as-the-delta-variant-is-present-the-end-of-the-pandemic-will-be-long-in-coming/,"Coronavirus – As long as the Delta variant is present, the end of the pandemic will be long in coming","Greece is going through the most critical period in its battle with the coronavirus, with the cases showing a slight drop, at the moment when the Omicron variant is sweeping the country, while the health system is being tested once again. The dominance of Omicron in the community is now confirmed by the measurements in the sewage of Thessaloniki, with this super-transmissible strain today representing 90% of the viral load of the deadly virus in Greece. According to many scientists, the dominance of Omicron could mean the end of the pandemic, since the mild disease, combined with the small number of hospitalizations, but also the vaccination of the population, can bring the coveted immunity of the herd. In fact, there is no lack of optimistic scenarios that speak of the end of the pandemic in 2022. However, apart from Omicron, there is the Delta mutation, which makes up the remaining 10%. It is a mutation that is less contagious, but more pathogenic, which seems to persist, despite its tendency to be slowing down. So, despite the optimistic scenarios, it is understood that if we do not eliminate the Delta mutation, the end of the coronavirus will not come soon. The Delta mutation is sequestered in the community Characteristic are the words of the associate professor of Molecular Microbiology and member of the interdisciplinary team of Sewage Epidemiology of Thessaloniki University, Chrysostomos Dovas, who estimates that the complete disappearance of Delta will happen in the future, but not immediately, while pointing out that the abrupt transition to Omicron at the present time period carries risks. “Because the immunity of the community due to the exposure to the Omicron strain is still small, the data from the sewage showed that when the mobility is high, not only does Omicron increase but also the very pathogenic Delta” he underlined speaking to iatronet.gr. Based on the measurement of wastewater on 11/1, the viral load of Delta in Thessaloniki has been reduced by half compared to 19/12, when Omicron was detected for the first time. “The dispersion of the Delta strain from the date of emergence of Omicron onwards shows fluctuations, but as a general trend it is decreasing at a slow pace based on the recordings in the sewage from 3/1 onwards. This is encouraging, however the relative burden on the health system still remains significant and we should be wary of estimates for a disappearance of Delta soon,” said the professor, adding, however, that there is reasonable optimism that this will happen in the future, through immunity from Omicron infection. “There are scientific reports that Omicron contamination may protect against Delta contamination and to the extent that this is the case, combined with the mitigation measures and trends we see make us optimistic about Delta’s leaving the community in the future.” . How Omicron leads to endemicity At the same time, Mr. Dovas characterizes the view that the specific virus develops causally into le...",0.5725,0.5793,climate change,epidemics,high_climate,,,,,,
Greek,Greece,kathimerini.gr,scrapai,22533,https://www.kathimerini.gr/society/1085116/eos-38-vathmoys-simera-o-ydrargyros-mini-kaysonas-mechri-tin-paraskeyi/,Εως 38 βαθμούς σήμερα ο υδράργυρος – Μίνι καύσωνας μέχρι την Παρασκευή,"Newsroom 30.06.2020 • 08:33 Κοινοποίηση 0 Σχόλια Ηλιοφάνεια και υψηλές θερμοκρασίες θα επικρατήσουν σήμερα, Τρίτη, σε ολόκληρη τη χώρα, καιρικές συνθήκες μίνι κάυσωνα που – σύμφωνα με τα προγνωστικά στοιχεία του Εθνικού Αστεροσκοπείου Αθηνών / Meteo.gr, θα διατηρηθούν μέχρι και την Παρασκευή 3 Ιουλίου. Τις θερμές ώρες της ημέρας τοπικοί όμβροι ή μεμονωμένες καταιγίδες θα εκδηλωθούν στα βόρεια ορεινά. Η θερμοκρασία θα κυμανθεί στη Βόρεια Ελλάδα από 12 έως 37 βαθμούς, στη Θεσσαλία από 16 έως 38, στην Ήπειρο από 15 έως 34 βαθμούς, στα νησιά του Ιονίου και στα νοτιοδυτικά ηπειρωτικά από 16 έως 34 βαθμούς, στα υπόλοιπα ηπειρωτικά από 16 έως 37, και στα νησιά του Αιγαίου από 17 έως 36 βαθμούς αλλά στις Σποράδες, στις Κυκλάδες και στη Βόρεια Κρήτη οι μέγιστες δε θα ξεπεράσουν τους 32 βαθμούς Κελσίου. Στην Αττική αναμένεται ηλιοφάνεια και ζέστη. Οι άνεμοι θα πνέουν ασθενείς. Η θερμοκρασία θα κυμανθεί από 22 έως 36 βαθμούς. Στη Θεσσαλονίκη αναμένονται λίγες τοπικές νεφώσεις. Οι άνεμοι θα πνέουν από μεταβαλλόμενες διευθύνσεις ασθενείς. Η θερμοκρασία στο κέντρο της πόλης θα κυμανθεί από 20 έως 36 βαθμούς. Οι άνεμοι θα πνέουν στο Βόρειο Αιγαίο από δυτικές διευθύνσεις με εντάσεις έως 4 και μποφόρ, και στο υπόλοιπο Αιγαίο βόρειοι βορειοδυτικοί με εντάσεις έως 5 μποφόρ και κατά περιόδους στις Κυκλάδες, την Ανατολική Κρήτη και τα Δωδεκάνησα 6 μποφόρ. Στο Ιόνιο θα πνέουν ασθενείς άνεμοι και τις θερμές ώρες της ημέρας δυτικοί βορειοδυτικοί με εντάσεις έως 5 μποφόρ.",0.4900,0.4244,rising temperatures,west nile virus,high_climate,,,,,,
Greek,Greece,tovima.gr,scrapai,14393,https://www.tovima.gr/2026/03/06/the-key-issue/viomixania-5-0-kai-kykliki-oikonomia-ta-nea-opla-apenanti-stin-klimatiki-krisi/,Βιομηχανία 5.0 και κυκλική οικονομία τα νέα όπλα απέναντι στην κλιματική κρίση,"Καθώς η Ευρώπη βρίσκεται αντιμέτωπη με αυστηρότερους περιβαλλοντικούς στόχους και μια συνεχώς εντεινόμενη ανάγκη για περιορισμό των πρωτογενών πόρων, μια σιωπηλή τεχνολογική επανάσταση ξεδιπλώνεται μέσα στα εργοστάσια, τα κέντρα ανακύκλωσης και τα βιομηχανικά οικοσυστήματά της. Η τεχνητή νοημοσύνη, σε συνδυασμό με εξελιγμένη ρομποτική και πολυτροπική αισθητήρια αντίληψη, αναδιαμορφώνει όχι μόνο τον τρόπο που διαχωρίζουμε και επεξεργαζόμαστε τα υλικά και τις πρώτες ύλες, αλλά και τον τρόπο που τα αντιλαμβανόμαστε ως οικονομική και περιβαλλοντική αξία. Για δεκαετίες, η διαλογή αποβλήτων βασιζόταν σε απλές μηχανικές αρχές. Σήμερα, συστήματα βαθιάς μάθησης (deep learning) μπορούν να αναλύσουν πολυφασματικά και ακτινογραφικά δεδομένα, αναγνωρίζοντας ακόμη και υλικά με ελάχιστες μεταξύ τους διαφορές. Τα μοντέλα βαθιάς μάθησης αποτελούν τον εγκέφαλο των συστημάτων διαλογής μιας και καθοδηγούν τα ρομποτικά συστήματα να διαλέξουν και να ξεχωρίσουν το κάθε αντικείμενο, προσφέροντας ανάκτηση υλικών αγγίζοντας ακρίβεια μέχρι και 99%. Παράλληλα, η νέα γενιά ρομποτικών υποδομών, από ultra-fast delta robots έως συνεργατικούς βραχίονες και αυτόνομα οχήματα, έχει τη δυνατότητα να λειτουργήσει σε απόλυτο συγχρονισμό μέσα σε σύνθετες ροές αποβλήτων και να μεταμορφώσει ριζικά τις διαδικασίες διαχείρισης αποβλήτων. Το αποτέλεσμα είναι ένας διαχωρισμός με πρωτοφανή καθαρότητα, ταχύτητα και αξιοπιστία: από την αναγνώριση ξύλου, μετάλλων, ρινισμάτων σιδήρου και πλαστικών υψηλής πολυπλοκότητας έως την ταξινόμηση σύνθετων βιομηχανικών αποβλήτων και υλικών κατεδάφισης. Αυτή η τεχνολογία δεν βελτιώνει απλώς την ανακύκλωση αλλά επιτρέπει τη διατήρηση της αξίας των υλικών μέσα στον κύκλο ζωής τους, μετατρέποντας τα απόβλητα σε νέους πόρους και ενισχύοντας ουσιαστικά την κυκλική οικονομία. Eτσι, δημιουργείται για πρώτη φορά η δυνατότητα μιας μεγάλης κλίμακας, βιώσιμης και πραγματικά κυκλικής βιομηχανικής αλυσίδας. Οι τεχνολογίες τεχνητής νοημοσύνης και μια σειρά από τεχνολογίες-πυλώνες της, αποκτούν ακόμη μεγαλύτερη σημασία όταν συναντούν τα Digital Product Passports (DPP), τα «ψηφιακά διαβατήρια» δηλαδή των προϊόντων που θα καταγράφουν πληροφορίες σχετικά με τη σύνθεση, την προέλευση, το περιβαλλοντικό αποτύπωμά τους και τις δυνατότητες ανακύκλωσης. Η διαφάνεια που θα εισάγουν τα DPP μετατρέπει τα υλικά που μέχρι χθες θεωρούνταν άχρηστα σε πολύτιμες, ιχνηλάσιμες δευτερογενείς πρώτες ύλες. Ταυτόχρονα, θα επιτρέπει στις ρυθμιστικές αρχές να παρακολουθούν την κυκλική πορεία των υλικών, ενισχύοντας την εμπιστοσύνη, τη συμμόρφωση και τον στρατηγικό σχεδιασμό. Σε αυτό το νέο περιβάλλον, που μόλις έχει αρχίσει να διαμορφώνεται στην Ευρώπη, η πολιτική και η έρευνα κινούνται πλέον με κοινό προσανατολισμό: τη μετάβαση σε μια παραγωγή χαμηλού αποτυπώματος, πλήρως κυκλική και ψηφιακά υποστηριζόμενη. Η Ευρωπαϊκή Επιτροπή επενδύει σε μεγάλα ερευνητικά προγράμματα που στοχεύουν στην απανθρακοποίηση της βιομηχανίας, στην ενίσχυση της ανθεκτικότητας των αλυσίδων εφοδιασμού και στη δημιουργία ...",0.4932,0.4494,environmental change,undernourishment,high_climate,,,,,,
Greek,Greece,kathimerini.gr,scrapai,7649,https://www.kathimerini.gr/economy/international/1089002/avevaiotita-gia-tin-pagkosmia-oikonomia/,Αβεβαιότητα για την παγκόσμια οικονομία,"KALLUM PICKERING* 23.07.2020 • 13:51 Κοινοποίηση 0 Σχόλια Στην παγκοσμιοποιημένη οικονομία, οι τάσεις που αναπτύσσονται στις αγορές πίστωσης τείνουν να αντανακλούν τις μεταβολές στην εμπιστοσύνη. Τον Μάρτιο, όταν κλιμακώθηκε η πανδημία, οι πιστωτές εξέφρασαν φόβους για κύμα πτωχεύσεων εξαιτίας της αναστολής της οικονομικής δραστηριότητας. Χάρη, όμως, στις δυναμικές πρωτοβουλίες που έλαβαν κεντρικές τράπεζες και πολιτικοί, με άμεσες παρεμβάσεις στη διατραπεζική αγορά και γενναίες εγγυήσεις δανείων, αποφεύχθηκε ένας δεύτερος γύρος χρηματοπιστωτικής κρίσης. Θωρακίζοντας τους ισολογισμούς, οι πολιτικές ηγεσίες προλείαναν το έδαφος για να ανακάμψουν οι οικονομίες μόλις επαναλειτουργήσουν. Χαλαρώνει, έτσι, η κατάσταση και στις αγορές πίστωσης σε σύγκριση με πριν από έξι εβδομάδες. Υπογραμμίζουμε τρεις καίριες εξελίξεις: 1. Ηρεμία στη διατραπεζική αγορά. Ενας βασικός δείκτης κρίσης στη διατραπεζική αγορά, η απόσταση ανάμεσα στο επιτόκιο δανεισμού των τραπεζών για τρεις μήνες και στο επιτόκιο που δανείζουν οι ίδιες overnight, έχει επανέλθει στα προ κορωνοϊού επίπεδα στις ΗΠΑ και στην Ευρώπη είναι λίγο χαμηλότερο. Φαίνεται περίεργο. Οι οικονομίες έχουν απόδοση κάτω από το μακροπρόθεσμο δυναμικό τους και η ύφεση θα οδηγήσει σε περαιτέρω πτωχεύσεις. Ολα αυτά θα πλήξουν επιπροσθέτως τις αδύναμες τράπεζες και θα εντείνουν την πίεση στις ισχυρές, από τις οποίες εξαρτώνται για να χορηγούν δάνεια με ευνοϊκούς όρους σε όσους τα χρειάζονται. Οι κεντρικές τράπεζες, πάντως, θα μετριάσουν αυτούς τους κινδύνους παρέχοντας ρευστότητα. 2. Η απόκλιση ανάμεσα στις αποδόσεις των γερμανικών δεκαετών ομολόγων και σε εκείνες των ομολόγων της περιφέρειας (spread) έχει επιστρέψει στα προ κορωνοϊού επίπεδα. Τα spread είχαν ήδη αρχίσει να αποκλιμακώνονται τις τελευταίες εβδομάδες, καθώς η αγορά προεξοφλούσε πως οι Ευρωπαίοι ηγέτες θα συμφωνούσαν τελικά σε ένα μεγάλο πακέτο. Καταλήγοντας σε έναν επταετή προϋπολογισμό νωρίτερα από τις προβλέψεις και σε ένα πακέτο 750 δισ. ευρώ που θα στηρίξει την ανάκαμψη των ασθενέστερων οικονομιών, οι Ευρωπαίοι ηγέτες έστειλαν σαφές μήνυμα αλληλεγγύης. 3. Δεν είναι, πάντως, όλα καλά. Η οικονομική δραστηριότητα παραμένει σε χαμηλά επίπεδα σε όλο τον ανεπτυγμένο κόσμο, στις ΗΠΑ κάπου 10% κάτω από τα κανονικά επίπεδα και από 15% έως 20% κάτω από τα κανονικά επίπεδα στην Ευρώπη. Η ανάκαμψη εξαρτάται από τη συνεχιζόμενη στήριξη των κυβερνήσεων και παραμένει ευάλωτη σε περίπτωση δεύτερου κύματος της πανδημίας. Την αβεβαιότητα αυτή αντανακλά το κόστος ασφάλισης έναντι κινδύνου πτώχευσης των χωρών, που παραμένει σε υψηλά επίπεδα τόσο στη Βόρεια Αμερική όσο και στην Ευρώπη. Και τα spread αντανακλούν τον κίνδυνο νέας κρίσης σε περίπτωση δεύτερου κύματος. Μολονότι οι αγορές πίστωσης αντιδρούν θετικά στην επιστροφή στην κανονικότητα, πρέπει να προσέξουμε τους κινδύνους που απειλούν τη δεύτερη φάση της ανάκαμψης. Ακόμη κι αν η πανδημία παραμείνει υπό έλεγχο και οι μεγάλες οικονομίες δεν αναγκαστούν να αναστείλουν πάλι την οικονομική δραστηριότητα, νοικοκυριά ...",0.4962,0.5146,climate crises,undernourishment,high_climate,,,,,,
Greek,Greece,kathimerini.gr,scrapai,8885,https://www.kathimerini.gr/economy/local/1090278/apeytheias-stoys-nisiotes-to-metaforiko-isodynamo-gia-ta-kaysima/,Απευθείας στους νησιώτες το Μεταφορικό Ισοδύναμο για τα καύσιμα,"Newsroom 31.07.2020 • 16:13 Κοινοποίηση 0 Σχόλια Από το Σάββατο 1η Αυγούστου 2020, δικαιούχοι του Μεταφορικού Ισοδύναμου των καυσίμων θα είναι απευθείας οι καταναλωτές, δηλαδή οι κάτοικοι και οι επιχειρήσεις των 34 νησιών, όπου εφαρμόζεται το μέτρο. Η σχετική ρύθμιση ψηφίστηκε στο πρόσφατο φορολογικό νομοσχέδιο (άρθρο 112) και η διαδικασία θα είναι ανάλογη με αυτή που ισχύει για τις μετακινήσεις. Με αυτόν τον τρόπο υλοποιείται η σχετική δέσμευση του υπουργού Ναυτιλίας και Νησιωτικής Πολιτικής Γιάννη Πλακιωτάκη για αλλαγή σε ό,τι αφορά την πιλοτική εφαρμογή του Μεταφορικού Ισοδυνάμου στον κρίσιμο τομέα των καυσίμων, κάτι που κατ’ επανάληψη είχε ζητήσει  και η Πανελλήνια Ομοσπονδία Πρατηριούχων Εμπόρων Καυσίμων, χαρακτηρίζοντας  το σχεδιασμό του πιλοτικού προγράμματος «απερίγραπτα πρόχειρο με αποτέλεσμα να μην ωφελεί ουσιαστικά τους νησιώτες και να διαλύει οικονομικά τους πρατηριούχους». Η καταβολή του Μεταφορικού Ισοδυνάμου μέσω των πρατηρίων λήγει σήμερα, Παρασκευή 31/7/2020.",0.5096,0.5307,carbon emission,undernourishment,high_climate,,,,,,
Greek,Greece,tanea.gr,scrapai,19227,https://www.tanea.gr/2020/01/10/world/meksiko-makeleio-se-sxoleio-stin-touron-nekroi-kai-traymaties-apo-pyra-mathiti/,Μεξικό : Μακελειό σε σχολείο στην Τορεόν,"Τουλάχιστον δύο άνθρωποι σκοτώθηκαν και άλλοι τέσσερις τραυματίστηκαν σε ένα περιστατικό με πυροβολισμούς, που σημειώθηκε σε σχολείο στην πόλη Τορεόν, στο βόρειο Μεξικό.

Ένα παιδί ηλικίας περίπου 11 ετών εισέβαλε στο ιδιωτικό σχολείο οπλισμένο με 2 όπλα και άνοιξε πυρ εναντίον της δασκάλας του και των συμμαθητών του προτού αυτοκτονήσει, σύμφωνα με τα όσα μεταδίδουν ΜΜΕ και αναφέρει ένα πρόσωπο με γνώση της υπόθεσης.

https://twitter.com/Chu_Alvarado/status/1215653627215269888?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1215653627215269888&ref_url=https%3A%2F%2Fwww.in.gr%2F2020%2F01%2F10%2Fworld%2Fmakeleio-se-sxoleio-tou-meksiko-mathitis-anoikse-pyr-nekroi-kai-traymaties%2F

Η εκπαιδευτικός υπέκυψε στα τραύματά της και τουλάχιστον 4 παιδιά έχουν τραυματιστεί στο περιστατικό.

Στις εικόνες που μεταδίδονται από την περιοχή διακρίνονται αστυνομικοί και στρατιώτες να έχουν περικυκλώσει το σχολείο, που σύμφωνα με τα μεξικανικά ΜΜΕ είναι το Colegio Cervantes.

https://twitter.com/victormtzlucio/status/1215651645708808193?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1215651645708808193&ref_url=https%3A%2F%2Fwww.in.gr%2F2020%2F01%2F10%2Fworld%2Fmakeleio-se-sxoleio-tou-meksiko-mathitis-anoikse-pyr-nekroi-kai-traymaties%2F",0.5228,0.5500,extreme event,deaths,high_climate,,,,,,
Greek,Greece,kathimerini.gr,scrapai,7942,https://www.kathimerini.gr/society/1089290/mia-syllipsi-gia-ti-fotia-stin-ileia-katigoreitai-gia-emprismo-apo-ameleia/,Μία σύλληψη για τη φωτιά στην Ηλεία – Κατηγορείται για εμπρησμό από αμέλεια,"Newsroom 25.07.2020 • 09:45 Κοινοποίηση 0 Σχόλια Στη σύλληψη ενός ατόμου για τη φωτιά που εκδηλώθηκε χθες το μεσημέρι στην περιοχή Γραμματικό της Ηλείας, προχώρησαν, έπειτα από έρευνες που έκαναν, στελέχη του κλιμακίου αντιμετώπισης εγκλημάτων εμπρησμού της Δυτικής Ελλάδας. Σύμφωνα με πληροφορίες, πρόκειται για έναν άνδρα, ο οποίος συνελήφθη χθες το βράδυ και κατηγορείται για εμπρησμό από αμέλεια. Στο συγκεκριμένο άτομο επεβλήθη διοικητικό πρόστιμο και σήμερα το μεσημέρι πρόκειται να οδηγηθεί στον εισαγγελέα Πρωτοδικών Ηλείας. Πηγή: ΑΠΕ – ΜΠΕ",0.4735,0.4627,heatwaves,casualties,high_climate,,,,,,
Greek,Greece,tovima.gr,scrapai,6297,https://www.tovima.gr/2021/09/16/international/pandemic-the-coronavirus-brought-an-increase-in-deaths-in-july/,Pandemic – The coronavirus brought an increase in deaths in July,"Coronavirus has brought heightened mortality to Greece, having led to 25% more deaths in the summer than in the period before the start of the pandemic. Cyprus is on the same path, with the excess mortality reaching 26%, when in the rest of Europe the corresponding percentage fell to 4.4% last July, according to Eurostat data. This rate is the lowest in a year in the EU, since in July 2020, the excess mortality rate reached 2.8%. % of additional deaths due to coronavirus. Across Europe, the pandemic rate of additional deaths has been declining since last April, when it reached 20% – up from 40% in November 2020. Respectively in Greece in November 2020 the excessive mortality had reached 28%, followed by a course of vertical decrease that reached -8% in January 2021, continued with a vertical increase until April 2021 that exceeded the European average of 20% by five points – that is, it reached 25%. With a “break” of two months, it gradually fell to about 13% by June, only to rise sharply again to 25% in July. Cyprus is moving in parallel with Greece, where from the drastic reduction of mortality, in total, in February 2021 (it reached -8.3%), in April it exceeded 26%, to be reduced in May to 10% and to returned with a vertical rise to 26% last July, recording the unpleasant lead among European countries, leaving our country second in additional deaths due to pandemic. According to Eurostat data from last July, Malta is in third place with an excessive mortality rate of 17.7% last July, followed by Estonia with 13.8% in fourth place. The countries that have managed to reduce mortality to levels below normal are Belgium with -2.8%, Sweden with -2.5%, the Czech Republic with -2.1% and Slovakia with -1, 3%.",0.5316,0.5658,rising temperature,deaths,high_climate,,,,,,
Greek,Greece,kathimerini.gr,scrapai,12072,https://www.kathimerini.gr/k/travel/1079024/to-mellon-toy-toyrismoy-ena-yvridiko-montelo-synedrion/,Το μέλλον του τουρισμού: Ένα υβριδικό μοντέλο συνεδρίων,"Επιμέλεια: Μαρία Κωβαίου 22.05.2020 • 06:35 Κοινοποίηση 0 Σχόλια Γιάννης Θωμάτος* Όσο η πανδημία εξακολουθεί να βρίσκεται σε εξέλιξη, ο τομέας των συνεδρίων θα πρέπει να προσαρμοστεί στις τρέχουσες συνθήκες και ανάγκες. Θεωρώ πολύ πιθανό να δούμε την εμφάνιση ενός νέου, υβριδικού μοντέλου συνεδρίων, το οποίο στη βάση του θα είναι μια ζωντανή, μικρής κλίμακας εκδήλωση, που όμως με τη βοήθεια της τεχνολογίας θα απευθύνεται σε ένα πολύ μεγαλύτερο κοινό. Εκτός από το παραπάνω υβριδικό μοντέλο, πιθανότατα θα αυξηθούν οι εκδηλώσεις με εξειδικευμένο περιεχόμενο για μικρές, κλειστές ομάδες. Επιπλέον, οι χώροι εκδηλώσεων θα πρέπει και αυτοί να προσαρμοστούν στις νέες απαιτήσεις: μεγαλύτεροι χώροι για λιγότερα άτομα. Το τελευταίο ισχύει και για τα ξενοδοχεία, ειδικά τα πολυτελή. Πιστεύω ότι οι ξενοδόχοι θα πρέπει να επενδύσουν σε ένα «COVID-safe» μοντέλο, που θα περιλαμβάνει συνεχείς απολυμάνσεις, εξετάσεις για υπαλλήλους και επισκέπτες, on-site ιατρικές υπηρεσίες και άφθονο προσωπικό χώρο για τους πελάτες τους. Θα ενισχυθεί η ανάγκη για τη δημιουργία εμπειριών ζωής και ταυτόχρονα η ανάγκη για μεγαλύτερο προσωπικό χώρο. Από εδώ και πέρα, ο προσωπικός χώρος θα γίνει πολύ σημαντικός και θα επηρεάσει τις επιλογές μας σχετικά με τον τρόπο που ταξιδεύουμε, τη διαμονή μας, τον προορισμό, τον προϋπολογισμό μας. Το μόνο που θα παραμείνει το ίδιο είναι η έμφυτη ανάγκη μας για νέες εμπειρίες και ο τρόπος που αποφασίζουμε να περάσουμε τον ελεύθερο χρόνο μας μόνοι ή με τους αγαπημένους μας. * Ο Γιάννης Θωμάτος είναι Αντιπρόεδρος του Οικονομικού Φόρουμ Δελφών Διαβάστε ακόμη: ΠΛΕΟΝΕΚΤΗΜΑ ΤΗΣ ΕΛΛΑΔΑΣ ΣΤΑ ΠΟΛΥΤΕΛΗ ΕΞΟΧΙΚΑ",0.4717,0.4755,extreme event,casualties,high_climate,,,,,,
