language,country,source,collection_method,article_id,url,title,content,climate_max_sim,health_max_sim,climate_best_keyword,health_best_keyword,sample_bucket,climate,health,health_climate_impact,climate_justification,health_justification,impact_justification
Korean,Korea,mk.co.kr,scrapai,616,https://pulse.mk.co.kr/news/all/11982516,SK on to unveil immersion cooling battery tech at InterBattery 2026 - 매일경제 영문뉴스 펄스(Pulse),"SK on Co., in cooperation with SK enmove Co., will introduce immersion cooling technology designed to keep battery temperatures stable and improve safety.
According to industry sources on Sunday, SK on will unveil the technology at InterBattery 2026, South Korea’s largest battery industry exhibition, which kicks off on Wednesday at COEX in Samseong-dong, southern Seoul.
Immersion cooling technology regulates temperature using liquid and is expected to be used across industries including electric vehicles, energy storage systems (ESS), data centers and drones or urban air mobility (UAM).
SK on will also present advanced battery pack technology designed to increase secondary battery energy density while lowering manufacturing costs. The company will showcase integrated packaging solutions including pouch cell-to-pack (CTP) and a pouch integrated prismatic pack.
Pouch CTP stacks battery cells directly into a pack, replacing the conventional process of assembling cells into modules and then combining modules into a pack. The design allows cells to be packed more densely, increasing battery output while reducing product volume. SK on plans to begin commercial production of pouch CTP in 2027.
The pouch integrated prismatic pack places cells directly inside an aluminum prismatic case and is being developed for commercial production in 2028.
LG Energy Solution Ltd. will also introduce next-generation lithium manganese-rich (LMR) batteries and artificial intelligence (AI)-based battery diagnostic and prediction technology. LMR batteries are priced similarly to lithium iron phosphate (LFP) batteries widely produced in China but offer about 30 percent higher energy density.
Samsung SDI Co. will unveil its energy storage system fire-prevention software, Samsung Battery Intelligence (SBI), for the first time.
The AI program diagnoses battery conditions and detects potential risks in advance by analyzing abnormal signs and overall battery health. It has been trained on data from real-time monitoring of more than 1,400 energy storage systems worldwide, enabling detailed analysis of battery life and output.
By Kim Jung-hwan and Chang Iou-chungLG unveils AI-powered home audio system with flexible Dolby Atmos setup
HD Hyundai delivers Philippine Navy patrol vessel five months early
Kbank partners with Kasikornbank on blockchain remittance service
Shinhan Financial discusses global cooperation with Citigroup
HD Hyundai chief attends idea-sharing event with young employees
1/10",0.5915,0.5724,global heating,west nile virus,high_climate,,,,,,
Korean,Korea,mk.co.kr,scrapai,614,https://pulse.mk.co.kr/news/all/11982514,Hyundai Motor’s Motional targets robotaxi rollout this year - 매일경제 영문뉴스 펄스(Pulse),"Motional Inc., the autonomous driving joint venture of Hyundai Motor Group, plans to commercialize driverless robotaxi services by the end of this year, according to its chief executive officer on Sunday.
Speaking on the Hyundai Motor Group podcast channel on Sunday, Motional CEO Laura Major explained the company’s approach to autonomous driving technology.
She said the company applies an end-to-end (E2E) approach in typical driving situations, using large driving models that make decisions based on artificial intelligence learning data. For edge cases that account for about 1 percent of scenarios, such as unexpected situations, the company has introduced a safety guardrail approach.
The guardrail method refers to a safety defense system designed to prevent the autonomous driving system from making incorrect decisions, allowing vehicles to operate safely even in exceptional situations.
Motional is preparing to commercialize a driverless robotaxi service at Level 4 autonomy under standards set by SAE International by the end of this year.
By Kim Jung-hwan and Chang Iou-chungLG unveils AI-powered home audio system with flexible Dolby Atmos setup
HD Hyundai delivers Philippine Navy patrol vessel five months early
Kbank partners with Kasikornbank on blockchain remittance service
Shinhan Financial discusses global cooperation with Citigroup
HD Hyundai chief attends idea-sharing event with young employees
1/10",0.5763,0.5763,extreme event,west nile virus,high_climate,,,,,,
Korean,Korea,mk.co.kr,scrapai,624,https://pulse.mk.co.kr/news/all/11982523,Gasoline prices near $1.35 per liter in Seoul - 매일경제 영문뉴스 펄스(Pulse),"Gasoline and diesel prices in Seoul are nearing 2,000 won ($1.35) per liter as crude oil prices surged above $100 a barrel on Sunday, local time.
According to Opinet, the oil price information system operated by Korea National Oil Corp. (KNOC), the country’s average gasoline price reached 1,894.86 won per liter on Sunday, up 5.46 won from the previous day.
The average gasoline price in Seoul rose 3.27 won from a day earlier to 1,944.98 won per liter.
Diesel prices are also climbing sharply, surpassing gasoline prices on Friday.
The nationwide average diesel price recorded 1,910.55 won on Saturday, breaking above 1,900 won, and rose another 6.79 won to 1,917.34 won on Sunday.
In Seoul, diesel prices surged to 1,967.98 won on Sunday, approaching the 2,000-won threshold.
Crude oil prices topped $100 per barrel on Sunday, local time, after key Middle East producers reduced output amid the Iran war.
As oil prices soar, the Korean government has launched emergency measures, including an investigation into fuel price conditions, designation of a maximum retail price for petroleum products, and special inspections to eradicate illegal petroleum distribution.
Authorities fear higher fuel prices could push up overall consumer inflation, affecting transportation, logistics, and food costs.
If inflation rises steeply, the Bank of Korea may raise its base interest rate to stabilize prices, which could dampen the economic recovery and inevitably deal a blow to the stock market, insiders noted.
Particular attention is focused on whether the government will enforce the maximum price designation system, which has effectively remained dormant for nearly 30 years since oil price liberalization in 1997.
Under Article 23 of the country’s Petroleum and Alternative Fuel Business Act, the Minister of Trade, Industry and Energy may designate and announce a maximum retail price for gasoline and diesel if their prices rise sharply and place a burden on the public.
At an extraordinary Cabinet meeting held at the Blue House on Thursday, President Lee Jae-myung noted that “gasoline prices at gas stations have surged suddenly even though objectively, there are no serious disruptions in fuel supply,” and instructed officials to promptly designate a maximum price.
Deputy Prime Minister and Minister of Economy and Finance Koo Yun-cheol also wrote on X, formerly Twitter, on Sunday that “excessive profiteering that harms the community must be eradicated.”
“The recent excessive rise in petroleum prices linked to the Middle East situation is no exception,” he said. “We will respond firmly to ensure that prices are set at levels consistent with common sense and social norms.”
President Lee will chair an emergency economic review meeting on Monday.
Attendees are expected to include Deputy Prime Minister Koo, Minister of Trade, Industry and Energy Kim Jung-kwan, Minister of Climate, Energy and Environment Kim Sung-whan, Fair Trade Commission Chairman Ju Byung-gi, Vice Minister of Planni...",0.5608,0.5501,temperature rise,west nile virus,high_climate,,,,,,
Korean,Korea,mk.co.kr,scrapai,629,https://pulse.mk.co.kr/news/all/11982524,Korea raises travel warning level for 7 Middle East countries - 매일경제 영문뉴스 펄스(Pulse),"The South Korean government has raised its travel advisory to Level 3 for seven Middle Eastern countries amid escalating regional tensions.
According to the Ministry of Foreign Affairs on Sunday, the previous special travel advisory has been upgraded to Level 3 travel warning, which urges citizens not to travel and to leave the area if possible.
The advisory applies to Bahrain, the United Arab Emirates, Oman, Qatar, Kuwait, Saudi Arabia, and Jordan.
The adjustment covers the entire territories of Bahrain, the UAE, Oman, Qatar, and Kuwait. In Saudi Arabia, Level 3 applies to the Ras Tanura area, where an Aramco oil refinery is located, areas within a 20-kilometer radius of the Shaybah oil field, and areas within a 20 km radius of Prince Sultan Air Base.
In Jordan, the eastern part of the eastern boundary of Zarqa City is classified as a Level 3 region.
“Korean nationals planning to visit these areas should cancel or postpone their trips, and those currently staying there should evacuate unless their presence is absolutely necessary,” the ministry advised.
Earlier in the day, a chartered flight arranged by the government departed Abu Dhabi in the UAE at around 5:35 p.m. Korea time, and arrived at Incheon International Airport at around 2 a.m. on Monday.
The chartered aircraft, operated by Etihad Airways, carried 206 passengers, including 203 Korean nationals and 3 foreign spouses.
The foreign passengers include one citizen each from the United Kingdom, France, and Canada.
By Bahng Young-douk and Yoon Yeon-haeLG unveils AI-powered home audio system with flexible Dolby Atmos setup
HD Hyundai delivers Philippine Navy patrol vessel five months early
Kbank partners with Kasikornbank on blockchain remittance service
Shinhan Financial discusses global cooperation with Citigroup
HD Hyundai chief attends idea-sharing event with young employees
1/10",0.5531,0.6171,heatwave,west nile virus,high_climate,,,,,,
Korean,Korea,mk.co.kr,scrapai,621,https://pulse.mk.co.kr/news/all/11982520,"Home price stability key to boosting consumption, births: report - 매일경제 영문뉴스 펄스(Pulse)","Stabilizing housing prices could help revive household consumption and improve marriage and birth rates among younger generations in South Korea, according to a new report by Shinhan Financial Group’s Future Strategy Research Institute.
In a report released Sunday titled “What changes when home prices stabilize: a qualitative shift in domestic demand and the role of finance (title translated),” the institute argued that stabilizing property prices could ease generational welfare gaps, restore consumer spending power and improve conditions for marriage and childbirth among young people.
The report noted that while income inequality among social classes has recently eased in South Korea, asset inequality has continued to widen. Rising housing prices — which account for about seventy percent of household assets — were identified as a major driver of the growing wealth gap.
South Korea’s net asset Gini coefficient reached 0.625 last year, the highest level since records began. The Gini coefficient measures inequality on a scale from zero to one, with lower values indicating greater equality and higher values indicating greater inequality.
As a result, the top twenty percent of households accounted for sixty-five percent of total net assets, while the bottom forty percent held only 4.8 percent.
The report suggested that stabilizing home prices could significantly reduce housing cost burdens, particularly for younger and middle-aged households, potentially triggering a rebound in consumption.
Statistical analysis showed that the consumption contraction linked to rising housing prices has been most severe among people aged 25 to 39.
Lower housing costs could also reduce barriers to marriage and childbirth for younger generations, while encouraging greater investment in education, self-development and career changes.
The report cited research indicating that a one percent increase in housing prices leads to a decline of 0.002 in the fertility rate the following year. Stabilizing prices could therefore reduce downward pressure on birth rates by roughly thirty percent.
The report also suggested that a more stable housing market could reshape the structure of financial markets.
As the burden of purchasing homes declines, demand may increase for early-stage asset-building products among young people and newly married couples, such as savings plans for seed capital, youth individual savings accounts (ISA) and installment investment funds.
By Ahn Jeong-hoon and Minu KimLG unveils AI-powered home audio system with flexible Dolby Atmos setup
HD Hyundai delivers Philippine Navy patrol vessel five months early
Kbank partners with Kasikornbank on blockchain remittance service
Shinhan Financial discusses global cooperation with Citigroup
HD Hyundai chief attends idea-sharing event with young employees
1/10",0.5458,0.6146,temperature rises,quality of life,high_climate,,,,,,
Korean,Korea,mk.co.kr,scrapai,611,https://pulse.mk.co.kr/news/all/11982512,South Korea nears development of hypersonic missile - 매일경제 영문뉴스 펄스(Pulse),"South Korea is moving closer to developing a hypersonic missile capable of flying at more than six times the speed of sound, as Hyundai Rotem works with the Agency for Defense Development (ADD) on a project aimed at achieving full deployment and mass production by 2035.
If the program proceeds as planned, South Korea would become the world’s fourth country to develop hypersonic missiles after Russia, the United States and China, highlighting the rapid advancement of the country’s defense technology amid heightened global interest following the outbreak of the U.S.–Iran conflict.
According to defense industry sources on Sunday, Hyundai Rotem and ADD have secured initial technologies necessary for hypersonic flight.
The core technology involves sustaining propulsion while flying at extremely high speeds in the upper atmosphere by using oxygen drawn from the air to trigger combustion, allowing the missile to maintain thrust during high-altitude flight within the atmosphere.
Since 2018, the two organizations have been developing a flight vehicle known as “HyCore,” which will serve as the foundation for South Korea’s hypersonic missile system.
During a test launch in 2024, the vehicle successfully maintained propulsion while flying at speeds exceeding Mach 6, or about 7,340 kilometers per hour, at an altitude of 23 kilometers. The result surpassed the project’s original development target of Mach 5 at 22 kilometers.
The speed is roughly three times faster than the maximum speed of the South Korean Air Force’s main fighter jet, the F-15K, which reaches about Mach 2.3.
Hyundai Rotem and ADD have recently begun upgrading their research and development efforts to further stabilize ultra-high-speed flight capabilities. Based on the progress made so far, Hyundai Rotem internally concluded that mass production of hypersonic missiles could be possible around 2035, industry sources said.
Hypersonic missiles are often described as “game changers” on the battlefield because their extreme speed and maneuverability make them highly difficult to intercept and capable of penetrating enemy missile defense systems.
“Global interest in South Korea’s advanced missile technology has been rising,” an industry official said. “If the country succeeds in developing hypersonic missiles, the technology could generate significant synergies across various launch systems, from interceptor missiles to space rockets.”
By Kim Jung-hwan and Minu KimLG unveils AI-powered home audio system with flexible Dolby Atmos setup
HD Hyundai delivers Philippine Navy patrol vessel five months early
Kbank partners with Kasikornbank on blockchain remittance service
Shinhan Financial discusses global cooperation with Citigroup
HD Hyundai chief attends idea-sharing event with young employees
1/10",0.5412,0.5355,temperature rise,west nile virus,high_climate,,,,,,
Korean,Korea,mk.co.kr,scrapai,618,https://pulse.mk.co.kr/news/all/11982518,Retail investors turn to overdraft accounts to buy stocks - 매일경제 영문뉴스 펄스(Pulse),"South Korean investors increasingly raised funds from overdraft accounts to buy stocks as they rushed to invest at lower prices amid market volatility stemming from the geopolitical risks from the Middle East.
According to sources from the financial industry on Sunday, the outstanding balance of personal overdraft accounts at Korea’s five major commercial banks stood at 40.7 trillion won ($27.4 billion) as of Thursday.
The five banks are KB Kookmin, Shinhan, Hana, Woori, and NH NongHyup.
The figure reflects the actual amount borrowed, not the available credit limit. The balance increased by 1.3 trillion won in just five days since the end of February.
Excluding holidays, the increase effectively occurred within three business days from March 3 to 5, meaning that about 1.3 trillion won in loans were drawn in only three days.
The total overdraft balance is now at its highest level since December 2022, when it stood at 42.05 trillion won.
The five-day increase marks the largest since November 2020, when borrowing for leveraged stock investments surged during the Covid-19 pandemic.
Analysts believe the rise in bank credit loans is largely driven by demand for bargain-hunting in the stock market.
When the domestic market plunged last week, daily transfers from some backs to brokerage accounts reportedly exceeded 150 billion won.
Data also showed a broader shift of funds away from bank deposits and into stocks.
Time deposits at the five major banks fell by 2.78 trillion won from the end of February as of Thursday. Demand deposits—typically used to hold idle cash before investment—also dropped by 8.59 trillion won in just five days.
By Cha Chang-hee and Han YubinLG unveils AI-powered home audio system with flexible Dolby Atmos setup
HD Hyundai delivers Philippine Navy patrol vessel five months early
Kbank partners with Kasikornbank on blockchain remittance service
Shinhan Financial discusses global cooperation with Citigroup
HD Hyundai chief attends idea-sharing event with young employees
1/10",0.5394,0.6039,extreme event,undernourishment,high_climate,,,,,,
Korean,Korea,mk.co.kr,scrapai,610,https://pulse.mk.co.kr/news/all/11982508,"Hanwha Group market cap jumps on defense rally, ranks fourth - 매일경제 영문뉴스 펄스(Pulse)","Hanwha Group has climbed to fourth place in South Korea’s conglomerate market-cap rankings as defense stocks rallied amid the U.S.–Iran conflict, pushing the group past LG Group in total market value.
According to the Korea Exchange on Sunday, the combined market capitalization of 12 listed affiliates under Hanwha Group — including Hanwha Aerospace and Hanwha Systems — stood at 180.67 trillion won ($121.7 billion) as of March 6.
The figure places Hanwha Group fourth after Samsung Group with 1,433.27 trillion won, SK Group with 826.59 trillion won and Hyundai Motor Group with 300.62 trillion won.
LG Group, which previously held the fourth position, slipped to fifth place with 175.02 trillion won in total market capitalization.
Shares of Hanwha Group’s defense-related affiliates have surged sharply following the escalation of tensions involving Iran.
Hanwha Aerospace’s share price jumped from 1.195 million won to 1.481 million won over four trading days starting March 3, adding 14.74 trillion won to its market capitalization. As of March 6, the company’s total market value reached 76.36 trillion won.
During the same period, Hanwha Systems also rallied as its share price rose by 45,300 won, increasing its market capitalization by 8.55 trillion won to 30 trillion won.
Brokerage firms expect defense stocks to continue benefiting even after the immediate geopolitical tensions ease, maintaining an overweight investment stance on the sector as Middle Eastern countries are likely to strengthen their defense capabilities.
“The latest conflict reconfirms that rising global geopolitical uncertainty and the resulting demand for advanced weapons systems are not short-term events,” said Jang Nam-hyun, an analyst at Korea Investment & Securities. “The sector’s key investment drivers — export growth and profit improvement — are likely to persist.”
Analysts at Shinhan Securities also predicted a structural shift in the Middle East’s security landscape.
“Following the death of Iran’s Supreme Leader, the regional order is likely to move from a system of deterrence maintenance to one centered on preemptive interception,” analysts Lee Dong-heon and Lee Ji-han said. “As countries prioritize self-defense and reorganize their military strategies, demand for air-defense systems, guided weapons, precision strike capabilities and unmanned systems is expected to expand structurally.”
By Bahng Young-douk and Minu KimLG unveils AI-powered home audio system with flexible Dolby Atmos setup
HD Hyundai delivers Philippine Navy patrol vessel five months early
Kbank partners with Kasikornbank on blockchain remittance service
Shinhan Financial discusses global cooperation with Citigroup
HD Hyundai chief attends idea-sharing event with young employees
1/10",0.5374,0.5575,global heating,west nile virus,high_climate,,,,,,
Korean,Korea,mk.co.kr,scrapai,619,https://pulse.mk.co.kr/news/all/11982517,"LG Uplus, FuriosaAI team up to develop security-focused sovereign AI appliance - 매일경제 영문뉴스 펄스(Pulse)","LG Uplus has joined forces with South Korean AI chipmaker FuriosaAI to develop a sovereign AI appliance designed to enable companies to run artificial intelligence systems securely within their own infrastructure without concerns about data leakage.
The two companies signed a memorandum of understanding on March 4 during the Mobile World Congress 2026 in Barcelona, Spain, to cooperate in building AI infrastructure and to jointly pursue leadership in the emerging global market for AI sovereignty based on domestic technologies.
The planned sovereign AI appliance is an integrated AI system that combines hardware and software into a single device. Its key feature is a closed architecture that allows the system to operate independently within a company’s on-premise infrastructure without connecting to external cloud services.
The system will incorporate LG AI Research’s latest large language model, EXAONE 4.0, along with FuriosaAI’s second-generation neural processing unit (NPU) called Renegade.
The companies expect the platform to be particularly useful for organizations where external cloud usage is restricted or where service disruptions could cause significant operational problems.
These include sectors such as public institutions, defense, healthcare, finance, manufacturing and research organizations that require continuous AI operations.
The sovereign AI appliance is designed to support stable operation around the clock, allowing mission-critical systems to run twenty-four hours a day, three hundred sixty-five days a year without relying on external infrastructure.
By Goh Min-seo and Minu KimLG unveils AI-powered home audio system with flexible Dolby Atmos setup
HD Hyundai delivers Philippine Navy patrol vessel five months early
Kbank partners with Kasikornbank on blockchain remittance service
Shinhan Financial discusses global cooperation with Citigroup
HD Hyundai chief attends idea-sharing event with young employees
1/10",0.5368,0.5482,global heating,quality of life,high_climate,,,,,,
Korean,Korea,mk.co.kr,scrapai,632,https://pulse.mk.co.kr/news/all/11982528,Kakao launches AI advisory program with leading professors - 매일경제 영문뉴스 펄스(Pulse),"South Korean platform giant Kakao Corp. announced on Monday that it has launched an artificial intelligence (AI) collaboration program called Kanana Scholar, with an aim to foster dialogue with academia and support the development of future talent.
Kanana Scholar aims to discuss Kakao’s AI strategies and technologies with leading scholars, while exporting directions for innovation and practical applications. It will focus on two main components – an expert advisory group and exchange programs for university students and young professionals.
The advisory group consists of seven professors from top Korean universities, providing guidance across Kakao’s AI technologies and services.
Members include Kim Seon-joo, professor of Computer Science and Engineering at Yonsei University; Kim Seung-ryong, professor at the Kim Jaechul Graduate School of AI at Korea Advanced Institute of Science & Technology (KAIST); Shin Jin-woo, ICT-endowed chair professor at KAIST; Lee Ju-ho, professor at the Kim Jaechul Graduate School of AI at KAIST; Chang Joon-hyuk, professor of Electronic Engineering at Hanyang University; Joo Han-byul, professor of Computer Science and Engineering at Seoul National University; and Choi Jong-hyun, professor of Electrical and Computer Engineering at Seoul National University.
Kakao held an inaugural ceremony on Friday, where it finalized the advisory direction and the annual agenda for the program.
Discussions will focus on key technologies and service strategies, including the Kanana foundation model, on-device AI, agentic AI, and AI safety.
Kakao plans to strengthen the execution of its AI strategy through regular exchanges and secure diverse insights into technological and industrial changes.
“As AI rapidly spreads across services and platforms, the challenges faced by companies and research topics in academia are becoming increasingly interconnected,” said one participating professor. “When industry concerns and academic research are organically linked, it can lead to tangible outcomes. I hope the Kanana Scholar expert advisory program will serve as a foundation for such collaboration.”
By PulseLG unveils AI-powered home audio system with flexible Dolby Atmos setup
HD Hyundai delivers Philippine Navy patrol vessel five months early
Kbank partners with Kasikornbank on blockchain remittance service
Shinhan Financial discusses global cooperation with Citigroup
HD Hyundai chief attends idea-sharing event with young employees
1/10",0.5289,0.5542,global heating,west nile virus,high_climate,,,,,,
