language,country,source,collection_method,article_id,url,title,content,climate_max_sim,health_max_sim,climate_best_keyword,health_best_keyword,sample_bucket,climate,health,health_climate_impact,climate_justification,health_justification,impact_justification
Malay,Malaysia,utusan.com.my,scrapai,830,https://www.utusan.com.my/rencana/komentar/2024/03/demikian-sindrom-orang-dah-tua/,Demikian sindrom orang dah tua,"Mereka yang tergolong dalam kategori ini iaitu empat ciri-ciri atau perwatakan begini , ada empat tabiat yang perlu anda sedar menandakan usia semakin meningkat. Apabila anda ada ciri-ciri tingkah laku seperti ini iaitu banyak bercakap berbanding masa muda, suka bernostalgia, suka ingat dan cerita perkara lama, anggap semua orang terutama golongan muda itu salah serta keadaan dan orang dulu adalah lebih baik berbanding sekarang. Maka, perangai tua tidak sekadar pelupa…

Sokong kewartawanan kami

PERCUMA

1 bulan

1 Bulan / RM4.99

Sehari hanya RM0.17",0.4663,0.5194,rising temperature,lack of food,high_climate,,,,,,
Malay,Malaysia,utusan.com.my,scrapai,71,https://www.utusan.com.my/luar-negara/2026/03/mesir-naikkan-harga-petrol-diesel-hingga-30-peratus/,"Mesir naikkan harga petrol, diesel hingga 30 peratus","KAHERAH: Mesir menaikkan harga bahan api domestik sehingga 30 peratus pada Selasa, menyalahkan tekanan tenaga global yang luar biasa akibat perang di Asia Barat yang mengganggu bekalan minyak serta laluan perkapalan.

Kenaikan yang diumumkan oleh Kementerian Petroleum Mesir itu melibatkan petrol, diesel dan gas asli yang digunakan untuk kenderaan.

Kementerian itu dalam kenyataan berkata, pelarasan harga didorong oleh gangguan rantaian bekalan, peningkatan tahap risiko serta kos penghantaran dan insurans maritim yang lebih tinggi, menyebabkan harga produk petroleum meningkat ke tahap tidak pernah berlaku sejak beberapa tahun lalu.

Harga minyak dunia melonjak melebihi AS$119 (RM467) setong pada Isnin sebelum jatuh kepada AS$84 (RM329) setong selepas Presiden Donald Trump mendakwa perang antara Amerika Syarikat (AS) dan Israel dengan Iran dijangka berakhir tidak lama lagi.

Diesel, antara bahan api paling banyak digunakan di Mesir, meningkat sebanyak tiga pound Mesir atau kira-kira 17.1 peratus kepada 20.50 pound (RM1.49) seliter, berbanding 17.50 pound sebelum ini.

Harga petrol 80-oktana meningkat kira-kira 16.9 peratus kepada 20.75 pound seliter, manakala petrol 92-oktana naik sekitar 15.6 peratus kepada 22.25 pound.

Harga petrol 95-oktana pula meningkat kira-kira 14.3 peratus kepada 24 pound, menurut kementerian itu.

Gas asli yang digunakan untuk kenderaan mencatat kenaikan terbesar, melonjak 30 peratus kepada 13 pound bagi setiap meter padu.

Mesir menaikkan harga bahan api empat kali dalam tempoh dua tahun lalu di bawah program pinjaman AS$8 bilion (RM31 bilion) daripada Tabung Kewangan Antarabangsa.

Kenaikan pada Oktober lalu sehingga 13 peratus sebelum ini dijangka menjadi yang terakhir di bawah pelan berkenaan.- AFP",0.4980,0.5272,temperature rise,west nile virus,high_climate,,,,,,
Malay,Malaysia,utusan.com.my,scrapai,154,https://www.utusan.com.my/nasional/2026/02/saintis-antartika-rungkai-misteri-laut-tidak-sama/,Saintis Antartika rungkai misteri laut tidak sama,"WASHINGTON: Sekumpulan saintis akhirnya mendakwa menemui jawapan di sebalik fenomena aras laut tidak sama di Antartika. Terdapat permukaan laut yang rendah sehingga 130 meter berbanding kawasan di sekelilingnya di Laut Ross manakala air didapati semula jadi mengalir ke kawasan yang graviti lebih kuat. Ia berlaku disebabkan oleh lubang graviti yang dikenali sebagai Antartic Geoid Low (AGL) dan terbentuk akibat pergerakan batuan yang sangat perlahan, menurut beberapa pakar. Bermula 70 juta tahun…

Sokong kewartawanan kami

PERCUMA

1 bulan

1 Bulan / RM4.99

Sehari hanya RM0.17",0.5411,0.5243,rising sea level,west nile virus,high_climate,,,,,,
Malay,Malaysia,utusan.com.my,scrapai,414,https://www.utusan.com.my/berita/2026/01/tasik-chini-adalah-kpi-komitmen-alam-sekitar-negara/,Tasik Chini adalah KPI komitmen alam sekitar negara,"PEKAN: Tasik Chini di sini disifatkan sebagai petunjuk prestasi utama (KPI) komitmen kerajaan dalam memulihara alam sekitar yang menjadi perhatian dunia, sekali gus perlu dijadikan keutamaan bagi mengelak imej negara tercalar di peringkat antarabangsa. Presiden Persatuan Ekologi Malaysia (PEM), Dr. Ahmad Ismail berkata, semua usaha memulihkan kualiti tasik itu dan kawasan sekitarnya mesti dilaksanakan secara serius bagi memastikan status Tasik Chini Rezab Biosfera (TCRB) tidak ditarik semula oleh Pertubuhan Pendidikan,…

Sokong kewartawanan kami

PERCUMA

1 bulan

1 Bulan / RM4.99

Sehari hanya RM0.17",0.4820,0.5146,environmental change,chikungunya,high_climate,,,,,,
Malay,Malaysia,utusan.com.my,scrapai,386,https://www.utusan.com.my/berita/2025/12/hat-yai-lumpuh-tanpa-warga-malaysia/,Hat Yai lumpuh tanpa warga Malaysia,"HAT YAI, THAILAND: Hat Yai merupakan lokasi pelanco­ngan popular apabila dikunjungi antara 100,000 sehingga 200,000 pelancong dari Malaysia setiap bulan. Kerancakan sektor pelanco­ngan di wilayah itu menyaksikan anggaran RM4 bilion atau lebih duit rakyat Malaysia me­ngalir ke negara jiran itu sepanjang tahun. Bagaimanapun, banjir besar melanda selatan Thailand baru-baru ini khususnya Hat Yai yang disifatkan terburuk dalam tempoh 25 tahun menyaksikan lokasi pelancongan tersebut berdepan kemusnahan cukup dahsyat. Anggaran kerugian…

Sokong kewartawanan kami

PERCUMA

1 bulan

1 Bulan / RM4.99

Sehari hanya RM0.17",0.4833,0.5297,heatwave,chikungunya,high_climate,,,,,,
Malay,Malaysia,utusan.com.my,scrapai,8,https://www.utusan.com.my/ekonomi/,Ekonomi - Utusan Malaysia,"EKONOMI
Permulaan sesi persekolahan 2026
11 Januari 2026, 5:11 pm
Gambar pilihan Sukan SEA Thailand 2025
16 Disember 2025, 6:07 pm
JDT juara Piala FA
15 Disember 2025, 12:52 pm
Banjir di Kelantan, Terengganu dan Perlis
27 November 2025, 7:12 pm
Banjir sana sini
26 November 2025, 6:33 pm
SEMUA BERITA EKONOMI
Bursa Malaysia lebih tinggi pada akhir dagangan
11 Mac 2026, 5:32 pm
Kadar pengangguran kekal 2.9 peratus pada Januari
11 Mac 2026, 4:35 pm
Gas Malaysia dijangka raih untung daripada pergolakan Asia Barat
11 Mac 2026, 4:14 pm
Harga simen catatkan peningkatan 1.1 peratus
11 Mac 2026, 4:11 pm
Lesung sasar 100 pengunjung sehari sepanjang Ramadan
11 Mac 2026, 3:49 pm
TikTok sumbang RM20 bilion kepada ekonomi digital Malaysia tahun lalu
11 Mac 2026, 3:40 pm
TDM Agrobiz terima sijil MyGAP
11 Mac 2026, 3:34 pm
MG S5 EV mula dipasang di Melaka, tawar harga kompetitif RM120,000
11 Mac 2026, 3:32 pm
Iklan kewangan tanpa lesen bakal disekat di platform Google
11 Mac 2026, 3:06 pm
Tropicana tawar ganjaran lebih RM2 juta melalui Kempen Spread the Rezeki Raya
11 Mac 2026, 3:02 pm
HLB Islamic perkenal identiti baharu, fokus pengurusan harta
11 Mac 2026, 3:02 pm
Jonathan Wong Ketua Pegawai Eksekutif baharu PRISM+
11 Mac 2026, 2:02 pm
Konflik berterusan boleh lonjak harga emas RM30,000 seauns
11 Mac 2026, 7:30 am
Bursa Malaysia melonjak semula
11 Mac 2026, 7:30 am
Rizab antarabangsa meningkat, ketahanan ekonomi jadi tumpuan
11 Mac 2026, 7:00 am
Gangguan bekalan minyak dunia
11 Mac 2026, 7:00 am
Faktor pekerjaan syarat utama sokong JS-SEZ
11 Mac 2026, 7:00 am
Agrobank salur pampasan RM24.6 juta kepada 10,726 pesawah
11 Mac 2026, 7:00 am
PRISMAnita pastikan wanita dibantu lebih pantas
11 Mac 2026, 6:50 am
Lembaga Disiplin JPA teliti laporan siasatan Azam Baki
11 Mac 2026, 6:50 am
TIGGO 7 SUV paling selamat, raih penarafan lima bintang global
10 Mac 2026, 4:20 pm
Mardhiyyah Hotel & Suites jual 100 peratus baucar tempahan awal bufet ramadan
10 Mac 2026, 4:18 pm
Mercure KL Glenmarie sasar 200 pengunjung sehari sepanjang Ramadan
10 Mac 2026, 4:06 pm
Imperial Lexis KL tawar lebih 100 sajian sempena Ramadan
10 Mac 2026, 4:00 pm",0.4838,0.5236,heatwave,west nile virus,high_climate,,,,,,
Malay,Malaysia,utusan.com.my,scrapai,491,https://www.utusan.com.my/berita/2026/03/kadar-inflasi-diunjur-cecah-3-peratus/,Kadar inflasi diunjur cecah 3 peratus,"PETALING JAYA: Kadar inflasi negara dijangka boleh meningkat sehingga tiga peratus sekiranya harga minyak dunia terus melonjak sehingga mencecah AS$150 (RM595) setong. Pensyarah Kanan Ekonomi dari Universiti Teknologi Mara (UiTM), Dr. Bashir Ahmad Shabir Ahmad berkata, justeru kerajaan perlu mengambil langkah sewajarnya bagi mengurangkan tekanan ekoran peningkatan tersebut terutama dalam aspek pemberian subsidi. Katanya, harga petrol subsidi RON95 diunjurkan meningkat antara RM2.05 sehingga RM2.10 sen bergantung kepada peningkatan harga minyak…

Sokong kewartawanan kami

PERCUMA

1 bulan

1 Bulan / RM4.99

Sehari hanya RM0.17",0.4955,0.4938,temperature rise,west nile virus,high_climate,,,,,,
Malay,Malaysia,utusan.com.my,scrapai,642,https://www.utusan.com.my/luar-negara/2026/02/tujuh-maut-van-tenggelam-selepas-permukaan-ais-pecah/,Tujuh maut van tenggelam selepas permukaan ais pecah,"MOSCOW: Tujuh pelancong warga China maut selepas van persiaran yang dinaiki mereka tenggelam selepas permukaan ais Tasik Baikal yang paling dalam di dunia pecah di Siberia. Van yang membawa lapan penumpang itu sedang melalui tasik tersebut sebelum kenderaan itu tenggelam sepenuhnya ke dalam air yang mencecah suhu sejuk beku, Jumaat lalu. Rakaman video yang tular menunjukkan saat-saat mencemaskan selepas kemalangan itu berlaku. Seorang mangsa yang terselamat cuba keluar dari van …

Sokong kewartawanan kami

PERCUMA

1 bulan

1 Bulan / RM4.99

Sehari hanya RM0.17",0.5064,0.5464,rising sea level,chikungunya,high_climate,,,,,,
Malay,Malaysia,utusan.com.my,scrapai,473,https://www.utusan.com.my/berita/2026/02/harta-benda-penduduk-terjejas-akibat-kebakaran/,Harta benda penduduk terjejas akibat kebakaran,"KULAI: Kebakaran sebuah kilang getah di Kawasan Perindustrian Sengkang, di sini sejak Selasa lalu mengakibatkan harta benda penduduk setempat bertukar kehitaman. Asap tebal yang berpunca daripada kebakaran itu turut menyebabkan tujuh buah seko­lah dalam radius 10 kilometer dari kilang tersebut masih ditutup sehingga semalam. Tinjauan Utusan Malaysia di sekolah terbabit mendapati tia­da kehadiran pelajar pada sesi persekolahan semalam, hanya kelihatan kenderaan guru sahaja berada dalam kawasan sekolah. Menurut peniaga, Nor…

Sokong kewartawanan kami

PERCUMA

1 bulan

1 Bulan / RM4.99

Sehari hanya RM0.17",0.4691,0.5106,heatwave,chikungunya,high_climate,,,,,,
Malay,Malaysia,utusan.com.my,scrapai,712,https://www.utusan.com.my/luar-negara/2026/03/enam-maut-puting-beliung-badai-michigan-oklahoma/,"Lapan maut puting beliung badai Michigan, Oklahoma","EDWARDSBURG: Sekurang-kurangnya lapan orang dilaporkan maut dan lebih 12 lagi cedera selepas puting beliung melanda Michigan dan Oklahoma, ketika ribut teruk membadai beberapa kawasan di Amerika Syarikat (AS).

Pegawai berkata, empat orang maut di selatan Michigan, termasuk seorang budak lelaki berusia 12 tahun, manakala empat lagi meninggal dunia di Oklahoma pada Jumaat, dengan pasukan penyelamat terus menilai kerosakan.

Ribut itu menumbangkan pokok, memutuskan talian elektrik, merosakkan bangunan dan merobohkan bumbung beberapa rumah sejak Jumaat.

Perkhidmatan Cuaca Negara (NWS) berkata, cuaca buruk itu mungkin berterusan sehingga hujung minggu, dengan amaran tentang ribut petir dan banjir kilat dari Great Plains hingga Texas dan ratusan orang dilaporkan terputus bekalan elektrik.

Video yang dikongsi di media sosial menunjukkan pusaran besar angin puting beliung melintasi Union City, dengan serpihan besar dan debu terbang merentasi tempat letak kereta di bandar Three Rivers.

Gabenor Michigan, Gretchen Whitmer mengisytiharkan kecemasan negeri untuk daerah Branch, Cass dan St Joseph.

Gabenor Oklahoma, Kevin Stitt juga mengisytiharkan kecemasan negeri untuk daerah Alfalfa, Creek, Grant, Major, Okmulgee, Rogers, Tulsa, dan Wagoner bagi memastikan pendudukmendapat sokongan dan sumber yang diperlukan selepas dilanda bencana cuaca itu.

Pegawai pengurusan kecemasan berkata, pasukan tempatan terus mencari kawasan yang rosak dan memulakan usaha pemulihan.

Di Oklahoma, pengurus kecemasan daerah itu, Jeff Moore berkata, angin puting beliung mencetus kerosakan sepanjang kira-kira 6.4 km di daerah Okmulgee dan 48 km di selatan Tulsa.-AGENSI",0.5066,0.5372,extreme event,chikungunya,high_climate,,,,,,
