language,country,source,collection_method,article_id,url,title,content,climate_max_sim,health_max_sim,climate_best_keyword,health_best_keyword,sample_bucket,climate,health,health_climate_impact,climate_justification,health_justification,impact_justification
Norwegian,Norway,vg.no,scrapai,4541,https://www.vg.no/nyheter/i/M71LL5/energiminister-terje-aasland-aapner-for-gassroer-til-barentshavet,Åpner for gassrør til Barentshavet,"Oppsummeringen er laget med kunstig intelligens og kvalitetssikret av VGs journalister.

Europa planlegger å slutte å kjøpe russisk gass, noe som kan åpne for gassrør fra Barentshavet til Europa.

Energiminister Terje Aasland mener det er kommersielt riktig og mulig, avhengig av funn.

Han sier at EU har redusert motstanden mot olje- og gassutvinning i Barentshavet.

SV kritiserer regjeringens tildeling av letelisenser på norsk sokkel.

Mandag er Aasland og statsminister Jonas Gahr Støre (Ap) på et energi-toppmøte i Hamburg for landene rundt Nordsjøen.

– Jeg tror at hvis det kan bli påvist ett stort funn eller noen mindre funn av betydning av gass i Barentshavet, så tror jeg det gassrøret kommer til å komme, sier energiminister Terje Aasland (Ap) til VG.

– Men det må være kommersielt riktig å gjøre det. Det må være opp til utbyggerne og de som har påvist ressursene, presiserer han.

I 2020 anslo Gassco at et gassrør fra Barentshavet til eksisterende gassrør i Norskehavet ville koste mellom 17 og 35,5 milliarder kroner.

EU-parlamentet har tidligere markert sterk motstand mot olje og gassvirksomhet i Barentshavet. Men ifølge den norske energiministeren er denne motstanden ikke like sterk.

– De har tonet motstanden ned, sier Aasland.

Like tilgjengelig

– Og vi har forklart dem at det ikke er stor forskjell på Barentshavet og Norskehavet når det gjelder å utvinne olje og gass. Tvert imot så kan Barentshavet være like tilgjengelig, legger han til.

Europa har på få år kuttet kraftig ned i importen av russisk gass, etter fullskala invasjonen i Ukraina i 2022. Målet er nå å slutte å handle gass fra Russland fra høsten 2027.

Samtidig øker importen av flytende gass, LNG, fraktet på skip fra USA. Det åpner for en ny sårbarhet: I forrige uke advarte forskere blant annet på NUPINUPINorsk utenrikspolitisk institutt mot at EU kan bli altfor avhengig av gass fra USA. Og at USA kan bruke energihandel som politisk pressmiddel.

Aasland tror ikke det er særlig sannsynlig, men kan ikke utelukke det helt:

– Med LNGLNGLNG er naturgass som er gjort flytende ved hjelp av nedkjøling fra USA reduseres nok sårbarheten en god del. Men Europa trenger en miks av leverandører. og der er norsk sokkel kjempeviktig for energisikkerheten. Vi dekker om lag 30 prosent av det samlede gassbehovet i EU og Storbritannia, sier han.

Seksdoblet fra USA

EUs import av LNG fra USA er seksdoblet på få år. Nær 60 prosent av EUs LNG-import kom fra USA i fjor.

– Er det tenkelig at president Trump kan straffe Europa med å ta ned salget av gass?

– Vi får jo håpe USA er en leverandør som bidrar til det samme som Norge: Stabilitet, forutsigbarhet og langsiktighet. Jeg tror det er business for USA, sier Aasland.

Den norske gassproduksjonen er nå på historisk høyt nivå.

– Vi vet at vi får et fall etter 2030, et fall som er større enn forbruksfallet i Europa. så skal vi opprettholde vår relevans så må vi finne mer og sette mer i produksjon. Da er Barentshavet det området på sokkelen som er...",0.5207,0.5120,global heating,undernourishment,high_climate,,,,,,
Norwegian,Norway,vg.no,scrapai,6989,https://www.vg.no/nyheter/i/QJyvMV/farevarsel-om-is,"Nå blir det varmt, glatt og rasfarlig","Fredag kveld kommer det nedbør og mild luft susende inn over Østlandet og Sørlandet.

Nedbøren starter som snø, og går etter hvert over til regn i deler av Agder og i kystnære strøk på Østlandet. Dette kan gi is på bakken.

– Gå og kjør forsiktig, oppfordrer meteorologene.

På E6 på Hemnes i Nordland var det krevende kjøreforhold fredag morgen. Tre biler var involvert i en trafikkulykke.

– Alle oppfordres til å ta det med ro. Det kommer til å bli kø, det kommer til å bli forsinkelser og brøyting vil ta tid, melder politiet.

Det er ikke meldt om alvorlig personskade.

– Fremstår som at bakre bil har kjørt inn i bil foran, slik at fremste bil har kommet over i motsatt kjørefelt og truffet bil i motgående, opplyser politiet.

Rødt farevarsel

Meteorologene har sendt ut rødt farevarsel om snøskred for Helgeland i Nordland. Det ventes store naturlig utløste skred.

– Det er meldt mye nysnø i kombinasjon med kraftig vind, skriver Varsom om det pågående farevarselet fredag.

De skriver at det vil legge seg opp store ansamlinger med fokksnø over et allerede svært ustabilt snødekke – og at mange store skred ventes å løsne naturlig.

– Unngå alt skredterreng, skriver Varsom i varselet.

Og været er ikke helt på lag med vestlendingene inn i den kommende vinterferien.

Med det samme ferien starter, kommer lavtrykkene på rekk og rad vestfra. Dette betyr mild luft, perioder med regn og økende vind.

I høyfjellet vil nedbøren komme som snø.",0.5538,0.5166,extreme weather,casualties,high_climate,,,,,,
Norwegian,Norway,dagbladet.no,scrapai,3350,https://www.dagbladet.no/nyheter/dramatisk-svekket/83714274,- Dramatisk svekket,"Skagerrakkysten rammes stadig hardere av klimaendringene. En ny rapport fra Miljødirektoratets overvåkingsprogram Økokyst viser at tang, tare og andre store alger vokser dårligere enn før, og at hele næringskjeden er truet.

Dagbladet har fått tilgang til rapporten før den legges fram. Den viser en kraftig forverring av miljøtilstanden i Skagerrak på kort tid.

- På bare tre år ser vi dramatisk svekket miljøtilstand i leveområdene til fisk og andre arter, sier direktør for Miljødirektoratet, Hilde Singsaas.

- Avhengig av lys

Ifølge rapporten er økte nedbørsmengder en hovedårsak til den negative utviklingen. Mer regn fører til at partikler, næringssalter og humus skylles ut i sjøen og gjør vannet mørkere.

- Tang og tare er planter som er avhengige av lys for å leve, noe de får mindre av når økende mengder regn skyller mer grums ut i kystvannet. Dette rammer også fiskene, sier Singsaas.

Mørkere vann gir dårligere vekstvilkår for tang og tare, som er viktige gyte- og oppvekstområder for fisk. I tillegg spiller tang og tare en nøkkelrolle ved å binde CO₂ og produsere oksygen.

Forsterker problemene

I flere områder er algene presset flere meter grunnere enn ved tidligere målinger, og mengden dyreplankton og hoppekreps, som er viktige matkilder for fisk, har gått ned siden 2021.

Rapporten peker også på at jordbruksavrenning, befolkningsvekst og overbelastede avløpssystemer forsterker problemene.

- Når flere partikler og næringsstoffer renner ut til kysten som følge av økt nedbør, blir det enda viktigere å gjennomføre tiltak som reduserer tilførslene av stoffer som kan skade livet i vannet, sier Singsaas.

Flere maneter

Tallene fra overvåkingen er tydelige: Ved over 40 prosent av målestasjonene vokste tang og tare minst tre meter grunnere enn tidligere, og den økologiske tilstanden var forverret i 60 prosent av områdene.

Forskere har også registrert økende mengder maneter i mørkere vann, fordi manetene ikke er avhengig av syn for å finne mat.

Miljødirektoratet peker på sommeren 2024 som spesielt kritisk, med høy temperatur og mye nedbør. Neste år kommer en ny analyse som også vil se på hvordan den ekstremt varme sommeren i 2025 har påvirket kystmiljøet.

Direktoratet frykter at store mengder sukkertare kan ha bukket under i varmen, fordi opptil 90 prosent av sukkertaren i enkelte områder forsvant etter tilsvarende lange varmeperioder rundt årtusenskiftet.

- Svært alvorlig

Seniorrådgiver Ingrid Handå Bysveen i Miljødirektoratet beskriver funnene i den nye rapporten som alvorlige.

- Det er svært alvorlig når vi ser at det skjer så store negative endringer i kystmiljøet på bare få år, sier hun til Dagbladet.

Hun forteller at det som bekymrer henne mest ved den nye rapporten er at det ikke kommer lys langt nok ned i vannet til at tang og tare kan vokse på sine naturlige dyp.

- Vi vet at klimaendringene vil gjøre seg stadig mer gjeldende fremover. Jeg frykter at varmere og våtere klima, sammen med økte skadelige tilførsler til kystvannet fra l...",0.5781,0.5410,changing climate,undernourishment,high_climate,,,,,,
Norwegian,Norway,dagbladet.no,scrapai,848,https://www.dagbladet.no/nyheter/belarus-kan-bli-neste/83477442,- Belarus kan bli neste,"USAs president Donald Trump har i det siste tatt initiativ til nye Ukraina-forhandlinger.

Forrige uke møtte han Putin i Alaska, mens han på mandag samlet Zelensky og europeiske ledere i Washington.

Kilder opplyser til Axios at Det hvite hus prøver å få til et møte mellom Trump og Zelenskyj neste uke.

Erlend Bjørtvedt, leder for analyseselskapet Corisk og ekspert på russisk økonomi og politikk, tror ikke en eventuell fredsavtale fører til varig fred i regionen.

Nytt mål

- Systemet er avhengig av krig, sier Bjørtvedt.

Han mener en skrantende russisk økonomi gjør Putin mer villig til å forhandle om fred.

- Han har ødelagt den sivile produksjonen og landbruket, og sliter med å finansiere krigen. Det begynner å bli synlig nå.

Bjørtvedt mener at en våpenhvile kan gjøre at Russland får tid til å bygge opp økonomien igjen, før de går til angrep på nytt. Deretter kan de slå tilbake mot Ukraina, eller finne seg et nytt mål.

- Neste kan bli Belarus, sier Bjørtvedt.

Aleksandr Lukasjenko har vært øverste leder i Belarus, tidligere Hviterussland, de siste 30 åra, men har selv varslet at han ikke stiller til gjenvalg. Han avviste også at hans sønn Nikolaj kan være aktuell som arvtaker.

Dersom det nåværende regimet mister grepet og ønsket om demokratisering skyter fart, kan Putin ønske å ta kontrollen, mener Bjørtvedt.

- En annen, mindre sannsynlig mulighet er Litauen. Med Kaliningrad vest for Litauen kan Putin ønske å ta Suwalki-korridoren for å avskjære Baltikum fra Europa.

- Har skapt monstre

Bjørtvedt er uansett trygg på at Russland vil fortsette å være i krig.

- Putin bruker krig for å styrke oppslutningen. Når populariteten faller, starter han en ny krig - det så vi i 2008, 2014 og 2022. Slik flytter han oppmerksomheten utover, lager et inntrykk av at Russland er omgitt av fiender og dyrker russisk stolthet gjennom seire på slagmarken.

I tillegg vil det være vanskelig å håndtere soldater som vender hjem. Av nesten én million soldater ved fronten, er mange voldsdømte. De har fått lov til å torturere, og mange har sett en høyere levestandard i Ukraina, ifølge Bjørtvedt.

- Putin har skapt monstre som vil ha store problemer med å vende tilbake til samfunnet. Vi skal ikke se bort fra at Putin foretrekker at disse soldatene dør, sier Bjørtvedt.",0.5370,0.5618,climate crisis,west nile virus,high_climate,,,,,,
Norwegian,Norway,dagbladet.no,scrapai,9199,https://www.dagbladet.no/nyheter/stor-snoskredfare-unnga-alt-skredterreng/84264134,Stor snøskredfare - unngå alt skredterreng,"Det ventes store naturlig utløste skred, og folk bes om å unngå alt skredterreng.

- Det er meldt mye nysnø i kombinasjon med kraftig vind, skriver Varsom om det pågående farevarselet fredag.

Varslingstjenesten skriver at det vil legge seg opp store ansamlinger med fokksnø over et allerede svært ustabilt snødekke - og at mange store skred ventes å løsne naturlig.

- Unngå alt skredterreng, skriver Varsom i varselet.

- Ikke ofte

Rødt farevarsel er det nest høyeste nivået på den internasjonale snøskredfareskalaen. Det innebærer stor sannsynlighet for naturlig utløste skred. Skred kan også bli svært store og nå langt ned i terrenget, slik at infrastruktur kan bli berørt, skriver Røde Kors i en pressemelding.

- Det er ikke ofte vi ser rødt farevarsel. Denne gangen er det varslet mye nysnø kombinert med kraftig vind. Vi oppfordrer alle som skal ut på tur i disse områdene til å unngå alt av skredterreng, sier Jannicke Høyem, leder for ressursgruppe skred i Norges Røde Kors.

Varselet gjelder fra Finnmarkskysten, Salten og Vesterålen i nord, til Romsdal og Sunnmøre i vest, Indre Sogn og videre til Jotunheimen og Hallingdal, heter det i pressemeldinga.

- Dette innebærer skredfare i noen av de mest populære vinterferieområdene, og krever at toppturkjørere og andre som ferdes i og under bratte skråninger må være varsomme, ha god kunnskap og sørge for gode sikkerhetsmarginer, sier Høyem.",0.5392,0.5154,extreme weather,undernourishment,high_climate,,,,,,
Norwegian,Norway,vg.no,scrapai,8451,https://www.vg.no/nyheter/i/q61GAz/ukrainas-tidligere-utenriksminister-advarer-krigen-kan-naa-paris,Ukrainas tidligere utenriks­minister advarer: –⁠ Krigen kan nå Paris,"Ukrainas tidligere utenriksminister Dmytro Kuleba mener USA – og «resten av verden» – gjentar flere av feilene som ble gjort tidlig i Russlands fullskala krig mot Ukraina.

I et innlegg på X trekker Kuleba frem tre observasjoner han gjør seg om krigen i Midtøsten.

For det første peker han på hvordan billige iranske Shahed-droner fortsatt blir skutt ned med svært kostbare luftvernmissiler.

Kuleba skriver at verden i fire år har studert Russlands krigføring i Ukraina i detalj, men likevel ender opp med å bruke missiler til millioner av dollar for å stoppe relativt billige droner.

– Ukraina lærte den leksen i 2023. Andre har valgt å lære den på den harde måten, skriver han.

Den tidligere utenriksministeren advarer også mot forestillingen om at konflikten kan bli kort. Han viser til at mange kommentatorer i starten av Ukraina-krigen trodde også den ville bli raskt over.

Les også: Kuleba til VG: – Vi har ingen rett til å være slitne

Ifølge Kuleba vil krigen kun bli kort dersom USA oppgir målet om regimeskifte i Iran.

– Men da vinner ayatollahene strategisk. Og det betyr bare én ting: en ny krig kommer, skriver han.

Han peker også på hva han mener er en farlig utvikling for sikkerheten i rike land.

Kuleba mener angrep mot velstående byer viser at tidligere «trygge» steder ikke lenger er utenfor rekkevidde.

– Den psykologiske barrieren er borte. Hvis en drone kan treffe Dubai, kan den også treffe Paris. Symboler på sikkerhet, rikdom og komfort er nå legitime mål – ikke bare for Iran, skriver han.

– Ikke et tilfeldig tredjeland

Folkerettsekspert Cecilie Hellestveit deler Kulebas bekymring, men peker på helt andre grunner enn droner.

– At vestlige storbyer og moderne sentre som representerer velstand og trygghet, kan angripes, mener jeg er selvsagt. Når en stat går til krig mot et annet land, så innebærer det å eksponere sitt eget territorium også for anslag i retur, sier hun til VG.

Samtidig påpeker Hellestveit at Dubai og Emiratene ikke er et tilfeldig tredjeland.

Hun tror grunnen til at Dubai rammes, er fordi Emiratene er en aktør i bakre rekke og huser amerikanske baser. Konflikten vil først eskalere dersom Iran retter seg mot kritisk infrastruktur i gulfstatene, og når angrep ikke bare er rettet mot amerikanske interesser.

– Det jeg anser for å være den aller mest foruroligende utviklingen ved denne krigen, i tillegg til at andre land dras med i konflikten, er amerikanernes angrep på et iransk krigsskip i åpent hav.

– Da går du inn i et domene som ikke er territorielt avgrenset.

Selv om hun forstår Kulebas bekymring for droner, peker hun på at cybertrusler, og særlig maritime operasjoner, er langt mer problematiske.

– Det var første gang amerikanerne gjorde det siden andre verdenskrig. Det er en betydelig barriere, som jeg er ganske bekymret for effektene av, sier hun.

Advarer mot en langvarig krig

Folkerettseksperten mener at hvis konflikten ikke løses om få dager, må vi forberede oss på en langvarig krig.

– De fleste trodde at...",0.5406,0.5488,climate crises,west nile virus,high_climate,,,,,,
Norwegian,Norway,dagbladet.no,scrapai,9534,https://www.dagbladet.no/nyheter/europa-koker/84296425,Europa koker,"I går ble det målt hele 28,3 grader i Frankrike. Ifølge en melding fra Meteorologene på Yr.no er det temperaturer som er uvanlig høye på denne tida av året.

For nordmenn som ferierer i de sør-europeiske landene har de gode nyheter.

- Det er vanlig med slike temperaturer i Sør-Frankrike, bare ikke i februar. Den type varme er mer vanlig i mai, skriver de i meldingen.

Ifølge den franske avisa The Connexion er målingen på 28,3 grader i byen Orthez en rekordmåling. Onsdag skal det ha blitt satt 130 nye varmerekorder rundt om i landet.

Ingrid Opheim Bækkelund, vakthavende meteorolog ved Meteorologisk Institutt forteller at det uvanlig varme været skyldes et høytrykk over sørlige deler av Europa.

- Varme luftstrømmer kommer sørfra, fra Sahara-området, og fører med seg de varme temperaturene, sier hun til Dagbladet.

Det koker flere steder i Europa. I Alicante i Spania er det meldt 18 grader fredag, og i Roma spår meteorologen gode 17 grader. Også i Tysklands hovestad Berlin er det ventet 17 grader.

- Mildt, men ikke varmt

I Norge har vinteren vært uvanlig kald, med tørr luft og temperaturer godt under null.

De siste dagene har imidlertid vinterværet snudd til plussgrader og regn.

Meteorologen forteller at den varme lufta er på vei mot Norge.

- Men da er den betydelig mindre varm, sier hun.

Ifølge Bækkelund er det ikke snakk om uvanlig høye temperaturer her til

22. februar i fjor ble det målt 16 grader i Åndalsnes, mens prognosene for morgendagen indikerer at gradene kan komme opp mot ti plussgrader.

Varsler utepilsvær

- Det blir kanskje den første ordentlige vårdag kommende lørdag. Mulig noen har lyst å ta seg sin første utepils, sa statsmeteorolog Charalampos Sarchosidis i Meteorologisk institutt til NTB onsdag.

Flere steder i Sør-Norge kan temperaturene komme opp mot ti grader fredag. I helga kan enkelte steder i landet oppleve en noe kaldere luft, før gradene stiger igjen utover i neste uke.

- Jeg ser ingen sjokktemperaturer i vente her i Norge, opplyser Bækkelund til Dagbladet og fortsetter:

- Det blir mildt her også, men ikke uvanlig varmt.

Skyldes et høytrykk

I likhet med Norge har landene lenger sør i Europa også opplevd et annerledes vintervær.",0.5497,0.4857,rising temperatures,west nile virus,high_climate,,,,,,
Norwegian,Norway,vg.no,scrapai,9353,https://www.vg.no/forfatter/vg-ntb,VG / NTB,"Hopp til hovedinnholdet
VG Live
VGTV
eAvis
TV-guide
Tips oss
VG Tilbud
Du er ikke logget inn
Ikke abonnent
Logg inn
Snarveier
VG Live
VGTV
eAvis
TV-guide
Tips oss
VG Tilbud
Innhold
Nyheter
Krigen i Ukraina
Israel og Palestina
Spesialer
Skattelister
Valgresultater 2025
Sport
VG Live
Profeten
Sportskalender
Fotball
Friidrett
Travguiden.no
Annonsørinnhold
Golf
Motorsport
Tennis
Vintersport
Direktesendinger
Rampelys
Film
Bok
Musikk
Spill
TV
Meninger
Forbruker
Bil
Helse
Livsstil
Mat og drikke
Vin
Vinguiden
Reise
Teknologi
VG+
VGTV
Underholdning
Dokumentar
Live sport
Tips meg
VG / NTB
Journalist
Kinesisk «sabotasje»-skip har forlatt dansk farvann
21. des. 2024
2 min
EU-kommisær Thierry Breton trekker seg
16. sep. 2024
1 min
Verstappen starter eget racingteam i 2025
8. aug. 2023
1 min
Gresk fotballsupporter knivstukket til døde – 96 personer arrestert
8. aug. 2023
2 min
Ruud vil spille double med Eikeri i Paris-OL
8. aug. 2023
1 min
Målene renner inn for Messi – Inter Miami videre i cupen
7. aug. 2023
2 min
Nordås kalt tilbake til Bodø/Glimt: – Uaktuelt at han skal spille kamp der
26. juli 2023
2 min
Tour de France-vinner slår tilbake: – Jeg har aldri sagt noe sånt
14. juli 2023
1 min
Fabio Jakobsen bryter Tour de France
13. juli 2023
2 min
Vingegaard bekymret etter flere uhell: – Det er kjempefarlig
11. juli 2023
2 min
Manchester United-speideren Tommy Møller Nielsen (61) er død
10. juli 2023
1 min
Norges VM-motstander med seier i oppkjøringskamp
10. juli 2023
1 min
Hovland ute av seierskampen: – Ingenting som stemte
24. juni 2023
1 min
Tung runde for Borge i PGA-mesterskapet
24. juni 2023
1 min
Middelhavet: Slår alarm om marine hetebølger
4. sep. 2022
3 min
Florida: Én død etter påkjørsel i Pride-parade
20. juni 2021
1 min
Store folkemengder på flukt etter vulkanutbrudd i Kongo
22. mai 2021
3 min
Ungdomsbråk og fyll flere steder i landet 17. mai
17. mai 2021
4 min
Rakettangrepene fortsetter: – Familier blir vekket og må rømme til bomberom
12. mai 2021
3 min
Trump raser mot flere selskaper etter Facebook-nei
5. mai 2021
3 min
Nord-Korea ut mot USA og Biden: – Kan bli en veldig alvorlig situasjon
2. mai 2021
2 min
Mot nyvalg i California – Caitlyn Jenner vil bli guvernør
27. apr. 2021
2 min
Canada mener Proud Boys er en terrorgruppe: – Latterlig
4. feb. 2021
3 min
Studie: Derfor har vi bedre hørsel enn før
30. jan. 2021
2 min
Ap har ikke budsjettert med mer penger til FHI enn regjeringen
30. jan. 2021
1 min",0.5553,0.5752,heatwave,west nile virus,high_climate,,,,,,
Norwegian,Norway,vg.no,scrapai,5888,https://www.vg.no/nyheter/i/JOJoP6/reuters-usa-er-i-ferd-med-aa-kontroll-over-nytt-skip-i-karibia,USA har stanset nok en olje­tanker,"Dette er den femte skipsaksjonen som USA har gjennomført den siste tiden, opplyser en amerikansk tjenesteperson til nyhetsbyrået Reuters.

De siste dagene har nemlig amerikanske myndigheter intensivert innsatsen for å ta kontroll over venezuelansk oljeeksport.

«Olina» skal være del av den russiske skyggeflåtenskyggeflåtenEt begrep brukt om en gruppe fartøy, oftest oljetankere, som opererer utenfor eller i randsonen av internasjonale regler og kontrollregimer, særlig for å omgå sanksjoner, forsikringskrav og sporbarhet..

Skipet skal ha gått under flere navn, og nå seiler det under Øst-Timors flagg. Skipet er blant annet sanksjonertsanksjonertNår et land eller en organisasjon innfører restriksjoner eller straffer mot et annet land, selskap eller individ, ofte for å presse frem en endring i oppførsel eller politikk. av EU, Storbritannia og USA.

– Skipets AIS-sporerAIS-sporerEt system som brukes til å spore skip ved å sende informasjon om skipets posisjon, kurs og hastighet. var sist aktiv for 52 dager siden i venezuelansk farvann, nordøst for Curaçao, opplyser det britiske maritime risikoselskapet Vanguard til Reuters.

– Beslaget følger en langvarig jakt på tankere knyttet til sanksjonerte venezuelanske oljeforsendelser i regionen, fortsetter de.",0.5237,0.5826,heatwave,west nile virus,high_climate,,,,,,
Norwegian,Norway,dagbladet.no,scrapai,355,https://www.dagbladet.no/nyheter/teheran-kan-torke-ut-innen-oktober/83439269,Teheran kan tørke ut innen oktober,"Vann- og avløpsetaten i den iranske hovedstaden Teheran advarer innbyggerne om en nær forestående vannkrise.

Snart er storbyen helt tom for vann.

- Vi må gjøre det klart for befolkningen at dette ikke lenger er et spørsmål om knapphet, men at vi snart ikke vil ha vann i det hele tatt, sa Mohammad-Taghi Husseinsadeh, talsperson for vann og avløp i Teheran, til det statlige nyhetsbyrået Isna lørdag.

Stengt i 48 timer

I flere bydeler har vannet vært stengt av i opptil 48 timer av gangen.

Mange som bor i høye leilighetsbygg opplever ofte at kranene er tomme. Ifølge CNN blir vann til hovedstaden levert med tankbiler og innbyggere som har råd, skynder seg med å innstallere lagringstanker.

Selv om vannmangel er et kjent problem i det tørre landet, har en slik vannmangel aldri før rammet hovedstaden.

- Vi har aldri hatt en lignende situasjon. Dette er nytt for Teheran, sier Kaveh Madani, direktør for FNs universitetsinstitutt for vann, miljø og helse til CNN.

Allerede i oktober kan millionbyen være helt tørr.

Femte år med tørke

Myndighetene prøver å løse problemet med å hente vann fra Taleghan-reservoaret nordvest for hovedstaden.

Husseinsadeh advarte imidlertid om at vannressursene også der er begrensede og forventes å bare vare til oktober. Teheran vil da stå overfor en naturkatastrofe.

I 2021 ble innbyggertallet i Teheran anslått å være ni millioner. Ifølge CNN er vannkrisen påvirket av flere ting. Det inkluderer flere tiår med dårlig vannforvaltning og en økende ubalanse mellom tilbud og etterspørsel.

I tillegg blir det hele forverret av klimaendringer.

Iran står midt i en av sine verste tørkeperioder noensinne, og er nå inne i sitt femte år på rad med tørke. Landet er også preget av en ekstrem varme. Denne uka sted temperaturene til 49 grader i deler av landet.

- Iran ser ut til å ha rekordvarme nesten hele tida nå, sier klimatolog og værhistoriker Maximiliano Herrera til CNN.",0.5578,0.5477,climate crises,undernourishment,high_climate,,,,,,
