language,country,source,collection_method,article_id,url,title,content,climate_max_sim,health_max_sim,climate_best_keyword,health_best_keyword,sample_bucket,climate,health,health_climate_impact,climate_justification,health_justification,impact_justification
Swedish,Sweden,svd.se,scrapai,4940,https://www.svd.se/tagg/nationalekonomi,Nationalekonomi,"Vem vill jobba inom vård och skola?

Vad kan politiken göra för att locka fler till välfärdssektorn?

Måtte världen lyssna på dessa förstörare

Anders Q Björkman: DDR tar till Stenbeck-metoder i ny roman: börjar sälja hasch.

Drar USA verkligen ifrån ekonomiskt?

Är bilden av det kroniskt knackiga Europa inte helt rättvisande?

Är det dags för Sverige att införa euro?

Hade vi blivit rikare eller fattigare av att vara med i valutaunionen?

Invandrare tjänar mer än tidigare

Men sysselsättningsgapet finns kvar. Varför är det så?

”Skattesystemet har nått vägs ände”

Nationalekonomer: Det går inte längre att fortsätta lappa och laga.

Nya rön ökar tvivel om testosteronteori

Katrine Kielos: Hade världen verkligen varit annorlunda med Lehman Sisters?

Ny plan för framtidens infrastruktur

1171 miljarder kronor. Är det tillräckligt med pengar?

Är Tidö 2.0 vägen framåt?

Ligger det någonting i kritiken om att det är ett strategiskt misstag?

”Svårare att parera inflationen på sikt”

Robert Boije: Ökade störningar när det gäller utbud kommer att påverka mer.

Regeringen oroad – för få barn föds

Forssmed (KD): ”På sikt blir det ett stort problem.”

”En skuldkris i USA spiller över på oss”

Nationalekonom: Trump har målat in sig i ett hörn – det kommer sluta i tårar.

”Har USA blivit orättvist behandlat?”

Nationalekonom: Hade behövt en successiv sanering av finanserna.

Går vi miste om invandringsvinsten?

Är invandringen en vinst snarare än en kostnad? Det hävdar ekonomihistorikern Tony Johansson.

”Dagens bolåneregler kväver efterfrågan”

Utredare svarar på kritik: Det handlar om att hitta en rimlig avvägning.",0.5497,0.5724,changing climates,undernourishment,high_climate,,,,,,
Swedish,Sweden,dn.se,newsapi,891,https://www.dn.se/insandare/hot-om-golfstrommens-kollaps-maste-fa-politikerna-att-vakna/,Insändare. Hot om Golfströmmens kollaps måste få politikerna att vakna,"Du vet väl att du kan skapa ett gratiskonto på DN? Som inloggad kan du ta del av flera smarta funktioner.

Golfströmmens tippningspunkt närmar sig, och hela den atlantiska cirkulationen (Amoc) kollapsar sannolikt under detta århundrade, med globalt katastrofala följder. Det skrev Islands miljö-, energi- och klimatminister Jóhann Páll Jóhannsson och Johan Rockström, chef för Potsdaminstitutet för klimatforskning, på DN Debatt (21/1). Risken är betydligt större än vad forskare bedömde för bara några år sedan - och nu oacceptabelt hög för politiken.

Golfströmmens kollaps skulle ge oåterkalleliga följder, globalt och i Sverige. En stor del av den odlingsbara marken går då förlorad och den som återstår blir svårare att bruka. Vattenkraft och skogsbruk störs. Socioekonomiskt utsatta regioner blir instabilare och migrationstrycket mot Europa ökar.

Artikelförfattarna uppmanar regeringar att agera: stärk klimatledarskapet, analysera kontinuerligt Golfströmmens destabilisering, och uppdra åt civilförsvar och nationell säkerhetsplanering att förbereda samhället för en möjlig kollaps. De konstaterar: ""Att förbereda sig för störningar i Amoc är inte alarmism. Det är ansvarsfullt ledarskap i en ny klimatera.""

Därför vänder jag mig till Sveriges regering:

Golfströmmen ger er ett gyllene tillfälle att visa ansvar och stärka ert ledarskap. Informera oss som lever i Sverige om klimatkrisen och förbered oss för både dess svårigheter och handlingsmöjligheter. Alla lär sig om Golfströmmen i skolan och kan föreställa sig vad en kollaps innebär. Därför kan Golfströmmen göra klimatkrisen begriplig och vara en pedagogisk nyckel till både klimatomställning och -anpassning.

Ytterligare en omständighet förenklar ert ledarskap. Den rikaste promillen svenskars konsumtion släpper ut omkring 200 ton koldio­xid per person och år - 45 gånger mer än utsläppen per person från den halva av befolkningen som har lägst inkomster (DN 29/10 -25). De superrikas klimatpåverkan har dessutom ökat, medan nio av tio svenskar minskat sin.

Samtidigt står ett litet antal stora företag för huvuddelen av produktionsutsläppen. Slutsatsen är given: Det är relativt lätt att hitta finansiering för en kraftfull omställning och att visa att majoriteten inte drabbas här och nu.

Dessa två faktorer öppnar ett möjlighetsfönster för er. Många förstår nu vad det innebär att Golfströmmen sannolikt kollapsar innan dagens skolbarn går i pension. Samtidigt vet ni att omställningen ytterst ligger i händerna på en hanterbart liten grupp med rådighet över sina utsläpp och investeringar.

Ni måste börja tala klarspråk, samordna och styra, och det måste hända nu. Efter pandemin vet ni hur det görs.

Vänd er direkt till dem som har rådighet över stora utsläpp, i första hand det fåtal företagsledningar som styr produktionens klimatpåverkan och de cirka tiotusen superrika. Använd alla samhällets styrmedel: informera och övertala, subventionera och beskatta, styr med lagar och förordningar. Förmedla även obekväma sa...",0.5824,0.5234,climate crisis,undernourishment,high_climate,,,,,,
Swedish,Sweden,dn.se,newsapi,60,https://www.dn.se/direkt/2026-03-23/plan-i-krock-i-new-york/,Plan i krock i New York,"All flygtrafik till och från flygplatsen har stoppats, uppger USA:s luftfartsmyndighet FAA.

Det internationella energiorganet IEA varnar för enorma följder för världsekonomin om Irankriget och blockaden av Hormuzsundet drar ut på tiden.

- Inget land kommer att vara immunt, säger IEA-chefen Fatih Birol.

Enligt IEA-toppen riskerar den nuvarande situationen att få större ekonomiska konsekvenser än 1970-talets två oljekriser - tillsammans.

- Den globala ekonomin står inför ett mycket, mycket stort hot, och jag hoppas verkligen att den här frågan kommer att lösas så snart som möjligt, säger han.

Oljepriserna har stigit kraftigt efter att Iran nära nog stoppat trafiken genom Hormuzsundet, där stora mängder olja från Mellanöstern normalt skeppas. Enligt IEA har därtill minst 40 energianläggningar i nio länder i regionen fått skador under kriget.",0.6054,0.5925,climate crisis,undernourishment,high_climate,,,,,,
Swedish,Sweden,svd.se,scrapai,21265,https://www.svd.se/av/staffan-ulfstrand,Artiklar av Staffan Ulfstrand,"Nya vindar blåser längst bort i nordost

Staffan Ulfstrand: I de enorma vidderna i nordöstra Asien finns några av jordens sista av människan opåverkade ekosystem, men det är också en region i snabb förvandling.

På jakt efter naturens gudomliga logik

Staffan Ulfstrand: ”Uppsalafebern”, kaffets farlighet och hur man odlar mullbär var ämnena för några av de 186 doktorsavhandlingar som Carl von Linné var handledare för, och till stora delar själv författade.

Dags att rädda jorden från människorna?

Staffan Ulfstrand: Enligt evolutionsbiologen Edward O Wilson står mänskligheten inför ett obehagligt val: antingen fortsätter vi att exploatera jorden på bekostnad av den biologiska mångfalden, eller så låter vi halva jorden bli ett naturreservat – med utbredd nöd och hunger som följd.

Kulturen ger oss förtur i evolutionen

Staffan Ulfstrand: Hur genetisk och kulturell evolution samverkar hos människor och djur är ett omdebatterat ämne i forskarvärlden.

Själviskt mer begripligt än osjälviskt

Staffan Ulfstrand: Människan började samarbeta för att få mat på bordet – men vår osjälviskhet är fortfarande en gåta.

Europas natur är formad av människohand

Staffan Ulfstrand: Bävern är en art som i ovanligt hög grad anpassar miljön till sina egna behov, men världsmästare i det som kallas nischrekonstruktion är människan.

Varför har vi så stor hjärna?

Staffan Ulfstrand: Hjärnan är ett kostsamt organ att försörja, men ändå är människans unikt stor jämfört med andra däggdjur.

Det är skönt att vara solidarisk

Staffan Ulfstrand: Antropologerna Peter Richerson och Robert Boyd beskriver i en ny bok kulturen som ett sätt att påskynda människans utveckling.

Vem är du och i så fall varför?

Staffan Ulfstrand: Arv eller miljö, vad gör oss till den vi är?",0.5470,0.5143,environmental change,undernourishment,high_climate,,,,,,
Swedish,Sweden,svd.se,scrapai,5191,https://www.svd.se/tagg/seb,SEB | SvD,"Anders Billing: Glastak spräcks i nästa fas av Wallenbergs succession.
Miljardutdelningar till aktieägarna – men blandad reaktion på börsen.
Bättre konjunktur och slopade amorteringskrav väntas ge nytt liv åt bostadsmarknaden.
Nya tullar från 2026 – tittar på läkemedel, lastbilar, möbler samt köks- och badrumsinredning
Ekonomer varnar för nya problem efter avtalet: ”Mycket kan fortfarande gå snett.”
Uppmaningen från Finansinspektionen: Ställ krav på bankerna • Gör miljardresultat.
Chockades av Trumps drag: ”Herregud han menar allvar” • Tar upp striden mot Swedbank.
Lugn på börserna trots hot om ny inflationsspiral – ”Marknaden agerar inte på hotet längre.”
Så kan din plånbok påverkas • Irans avgörande beslut.
Efter inflationsbeskedet – ekonomer spår räntesänkning i sommar.
Hushållen justerar ned sina boprisförväntningar – för tredje månaden i rad.
Samtidigt går bostadsbyggandet trögt – det krävs för vändning: ”Då jäklar.”
Aktivister i protest mot fossila bränslen • Svaret från SEB.
Experter om nattens intensiva förhandlingar.
Guldpriset rusar – men Trumps politik kan hota den ekonomiska världsordningen.
Hundratals kunder drabbade.
Aktierna som blivit unika: ”Utklassar.”
Johan Torgeby är bekymrad – vill att Riksbanken och regeringen gör mer för konjunkturen.",0.5657,0.5710,climate crisis,undernourishment,high_climate,,,,,,
Swedish,Sweden,svd.se,scrapai,22558,https://www.svd.se/av/cecilia-skingsley,Artiklar av Cecilia Skingsley,"Viktig byggsten för ett stabilare Sverige

Cecilia Skingsley: Nydanande arbete att föra samman förståelsen för samspelet mellan den finansiella och reala ekonomin pågår hos regeringen.

Riskskräcken kostar stora pengar

Cecilia Skingsley: Den globala bankkrisen för med sig nya krav och regler för världens banker.

Är finansmarknaden för hoppfull?

Cecilia Skingsley: De senaste månaderna har Eurokrisen kommit in i lugnare vatten och marknaderna har reagerat positivt.

Är låga räntor alltid att föredra?

Cecilia Skingsley: Efter den akuta krisen under 2007–2009 var frågan hur centralbankernas ”exitstrategier” skulle se ut.

Boulebanan tydliggör nationsgränser

Cecilia Skingsley: Jag är ingift i en brittisk familj där ett flertal flyttar runt världen på grund av en militär eller kommersiell karriär.

Jag, en garderobssexist?

Av alla mina yrkesmässiga tillkortakommanden ska denna krönika handla om mitt största: Efter nästan tio år i olika chefsbefattningar har jag inte lyckas fastanställa en kvinna, bara män.

Skingsley: Dyrbar vandring på klippkanten

Cecilia Skingsley: När detta skrivs tyder det mesta på att Grekland går emot en koalitionsregering som avser att fortsätta leverera de åtstramningsåtgärder som långivarna kräver av Grekland.

Titta runt hörnet i orostider

Cecilia Skingsley: Som föredragshållare inom makroekonomi möts jag då och då av den försmädliga kommentaren ”Jaha, och nu ska du väl säga att prognosmakeriet är svårare än någonsin”.

Är du exit-certifierad?

Cecilia Skingsley: En situation där en eller flera länder lämnar euron för en ny egen valuta är fortfarande osannolik.

Kennedys lärdomar till finansvärlden

Cecilia Skingsley: Många i finansbranschen sliter sitt hår när de försöker förstå krishanteringsprocessen inom EMU.",0.5674,0.5506,climate crisis,undernourishment,high_climate,,,,,,
Swedish,Sweden,dn.se,newsapi,1988,https://www.dn.se/debatt/populism-att-rosta-annat-an-nej-till-skarpta-klimatmal/,"DN Debatt Repliker. ""Populism att rösta annat än nej till skärpta klimatmål""","Du vet väl att du kan skapa ett gratiskonto på DN? Som inloggad kan du ta del av flera smarta funktioner.

Maths Nilsson skriver, förment generöst, att man får ha olika åsikter om hur man bäst löser problem (DN Debatt 3/3). Ändå insinueras att jag, och många med mig, är ""klimatförnekare"" eftersom våra åsikter inte passar in i den trånga åsiktskorridor på klimatområdet som vänsteraktivister tillåtits konstruera.

Men Kristdemokraterna utgår inte från moraliska etiketter eller rädslan för fulstämplar i vår klimatpolitik. När jag som beslutsfattare tar mig an klimatfrågan är det med hänsyn till den totala klimatnyttan, konkurrenskraft, folklig förankring och beredskapen. Med utgångspunkt i dessa premisser landade jag i att rösta nej till EU:s nya, skärpta klimatmål.

För det första känner utsläpp inga landsgränser. Nilsson ville nyansera, men jag vill repetera det faktum att EU står för omkring 6 procent av de globala utsläppen. Sedan Parisavtalet ratificerades har EU minskat sina utsläpp med 19 procent, USA med 7 procent och Brasilien med 1 procent. Resterande länder har emellertid ökat sina utsläpp. Indien med 30 procent och Kina med 22 procent. EU spurtar således - utan att någon annan följer efter.

Mot bakgrund av detta drev jag att EU:s nya klimatmål, det som tar sikte på år 2040, skulle villkoras med att de stora utsläpparna först skulle minska sina utsläpp. När ändringsförslaget, dessvärre, inte antogs röstade jag nej till 2040-målet. Jag finner det oroväckande att andra svenska partier inte tycker att världens största utsläppare också måste ta ansvar.

Utan tillväxt, som generar välstånd och välfärd, blir anspråken på att leda den gröna omställningen bara moraliserande retorik

För det andra: den folkliga förankringen. Kristdemokraterna vägrar låta klimatpolitiken resultera i högre hushållskostnader; pålagor för svenska bönder som driver upp matpriserna, högre drivmedelspriser eller EU-sammanlänkningar av elnäten som leder till dyrare elpriser för svenska familjer och företag. Utan tillväxt, som generar välstånd och välfärd, blir anspråken på att leda den gröna omställningen bara moraliserande retorik. Europeiska företag möter en alltmer komplex lagstiftning som beslutsfattare med ena handen röstar för och med den andra handen ser sig nödgade att kompensera med statsstöd. Det är en glidning mot planekonomi i ny, grön kostym.

För det tredje: beredskapen måste vara just en prioritering - inte en parentes i en lång rad av andra mål. Det är rentav farligt att ""gröna"", krångliga lagar och regler försvårar vårt beredskapsarbete. I Europaparlamentet har jag arbetat med att prioritera beredskapen i allt från minskat beroende av Kina och att ""hållbara"" klassificeringar inte får försvåra försvarssatsningar, till förbättrad livsmedelsförsörjning.

Avslutningsvis står det vetenskapsförfattare Nilsson fritt att redovisa det han anser vara relevanta siffror, underlag och lobbymöten. Men jag, som makthavare och beslutsfattare, redovisar här mina priorite...",0.5692,0.5076,climate crisis,extreme poverty,high_climate,,,,,,
Swedish,Sweden,svd.se,scrapai,758,https://www.svd.se/tagg/g20,G20 | SvD,"Skulle mörda presidenten och andra toppolitiker 2022.
Janerik Larsson: Den ekonomiska logiken talar till förmån för fortsatt internationell handel.
Brasiliens president Lula da Silva ville gå längre.
Johan Lagerkvist: Gränskonflikten kan få relationen mellan Kina och Indien att kollapsa.
Olof Ehrenkrona: Rysslands värdskap för nästa Bricsmöte är ett bakslag för rådande världsordning.
Therese Larsson Hultin: Putin vill inte bli paria – Xi vill underminera Biden.
Plan skulle beslutas för minskade utsläpp • Oljeproducerande länder mot nedräkning.
Therese Larsson Hultin: Kinaledaren går på löpande-band-dejter med västvärlden.
Men skeptiker menar att Indonesiens bygge av nya huvudstaden Nusantara är fel väg att gå.
Världsledarnas planer inför G20-mötet – metoden gav effekt senast.
BNP i världens 20 största ekonomier faller, enligt färska siffror från OECD.
Blinken: ”Ukraina är inte ert land.”
EU, USA och Kanada protesterar: ”Organisationen fungerar inte längre.”
Säger att innget land har rätt att utesluta ett annat ur G20.
Boris Johnsons varning: Kan bli ”som Romarrikets fall.”
Förslaget väntas bekräftas i dag.
Premiärminister Mario Draghi diskuterar frågan med Rysslands president Vladimir Putin.
G20-länderna överens om en miniminivå för bolagsskatt.",0.5783,0.5704,climate crisis,undernourishment,high_climate,,,,,,
Swedish,Sweden,svd.se,scrapai,21600,https://www.svd.se/av/mattias-svensson,Artiklar av Mattias Svensson,"Goda avsikter dör när de blir politik

Mattias Svensson: Att signalera godhet via politik åstadkommer ofta motsatsen.

Sverige ska inte bli Expedition Robinson

Mattias Svensson: Bra att regeringen lyssnar på opinionen mot utvisningar.

Så blev Sverige som Spurs

Mattias Svensson: Svensk ekonomi har tappat, och det hjälper inte med tränarbyte.

Staten har ännu sina fingrar i maten

Mattias Svensson: Förmynderi är illa nog – dubbla budskap är ännu värre.

S slår knockout på sig själva

Mattias Svensson: Ett maktparti har alltid nära till att misshandla sina egna.

Högern får det att våras för Europa

Mattias Svensson: Nu går det åt rätt håll – och Sverige har spelat en viktig roll.

Sätt stopp för den politiska lekstugan

Mattias Svensson: Strama villkor för asyl är en sak – men utvisningspolitiken har gått för långt.

Vad gjorde du när våra vänner frös?

Mattias Svensson: Europa kan inte se på när Ukraina terrorbombas av Ryssland.

M blir svagare utan Liberalerna

Mattias Svensson: Väljarna kan fly även från M vid risk för SD-dominans.

Liberalerna som fastnade i det lilla

Mattias Svensson: 1800-talets liberaler fick rätt i mycket men bråkade om detaljer.

SD i regering blir inget kompetensregn

Mattias Svensson: Katja Nyberg (SD) var ännu en omdömeslös rekrytering.

Friluftspolitik är för byråkrater

Mattias Svensson: Moderaterna går vilse bland alla flåshurtiga avsikter.

Det här är vad vänner är till för

Mattias Svensson: Alla vinner på handel – men V och MP hjälper särintressen som vill stoppa den.",0.5470,0.5361,changing climate,undernourishment,high_climate,,,,,,
Swedish,Sweden,gp.se,scrapai,1467,https://www.gp.se/nyheter/sverige/professorer-bra-att-skatten-tas-bort.f467d3ff-9e4d-5742-8b59-499a829e4414,Professorer: Bra att skatten tas bort,"Runar Brännlund säger att det finns två grundläggande problem med skatten.

– Det ena är att det är väldigt oklart vad det är för miljöproblem man vill komma åt.

När skatten infördes talades det bland om att nedskräpning skulle minska.

– Det finns ju inga belägg att det är ett stort problem med nedskräpning till följd av användning av den här typen av plastpåsar, säger Runar Brännlund, som är professor emeritus i nationalekonomi med inriktning på miljöekonomi.

Rullpåsar ofta fossila

Det andra problemet han ser är att det bara är en viss typ av bärkassar av plast som beskattas.

– Alla övriga plastpåsar är ju obeskattade, till exempel avfallspåsarna man köper på rulle.

Den största delen av de beskattade plastpåsarna är tillverkade i Sverige av förnybart material, säger Runar Brännlund.

– En relativt stor andel av rullpåsarna importeras ju och är i många fall gjorda av fossilt material.

Tänkte inte efter

Runar Brännlund anser också att det var fel att skatten lanserades som en miljöskatt.

– Det är inte bra om man vill ha en trovärdig miljöpolitik att införa styrmedel, så kallade miljöskatter eller miljöregleringar, som egentligen inte är kopplade till miljön. Då finns en risk att om man vill verkligen vill använda ett bra miljöstyrmedel så tror inte folk på det utan ser det som ytterligare en pålaga, säger han.

Även Lars Eriksson, professor i industridesign på Tekniska Högskolan i Jönköping, tycker att det var obetänkt av politikerna att införa skatten:

– Hela idén att lägga skatt på plastpåsar visade sig vara ganska kontraproduktiv.

Köp och släng

– Om man vill vidta en åtgärd för miljön bör man ju ha fakta i målet. så att det verkligen blir en påverkan.

Lars Eriksson arbetar med produktutveckling, design och hur hållbara material används.

– Det absolut bästa alternativet ur ett miljöperspektiv är att kanske använda plastpåsen två gånger när man handlar och sedan som soppåse. Dessutom kan man tillverka plastpåsar på ett väldigt miljövänligt sätt.

Han pekar i stället på de stora problemen med plast i haven i Sydostasien och att det är där resurserna bör läggas för att uppnå effektivast miljö- och klimatpåverkan.",0.5832,0.5328,environmental change,undernourishment,high_climate,,,,,,
