source,scrapai_count,newsapi_uri,newsapi_count,action
blikk.hu,5270,blikk.hu,4408,available
thenationonlineng.net,5473,thenationonlineng.net,5838,UPGRADE
businesstimes.com.sg,5827,businesstimes.com.sg,2672,available
sabah.com.tr,6183,sabah.com.tr,11602,UPGRADE
tiempo.hn,6453,tiempo.hn,2023,available
khaleejtimes.com,6455,khaleejtimes.com,976,available
nst.com.my,6644,nst.com.my,0,not found
larazon.bo,6791,larazon.bo,2411,available
almasryalyoum.com,6993,almasryalyoum.com,13233,UPGRADE
24chasa.bg,7142,24chasa.bg,0,not found
nzz.ch,7172,nzz.ch,1851,available
bt.dk,7313,bt.dk,0,not found
adressa.no,7318,adressa.no,330,available
adevarul.ro,7694,adevarul.ro,4375,available
fijitimes.com.fj,8110,fijitimes.com.fj,1298,available
english.ahram.org.eg,8194,english.ahram.org.eg,1099,available
welt.de,8297,welt.de,14265,UPGRADE
mathrubhumi.com,8458,mathrubhumi.com,8432,available
berlingske.dk,8506,berlingske.dk,3477,available
blesk.cz,8637,blesk.cz,2165,available
eu.usatoday.com,8959,golfweek-eu.usatoday.com,0,not found
elmundo.es,9115,elmundo.es,5919,available
aftonbladet.se,9402,aftonbladet.se,0,not found
24sata.hr,9460,24sata.hr,6314,available
abola.pt,9623,abola.pt,5249,available
aftenposten.no,9669,aftenposten.no,0,not found
chinadaily.com.cn,9732,chinadaily.com.cn,2955,available
dagbladet.no,9997,dagbladet.no,1288,available
latercera.com,9997,latercera.com,5437,available
