language,category,threshold,window,score,passes_threshold,climate_sim,health_sim,best_keyword,climate_best_keyword,health_best_keyword,source,title,url,total_scanned,total_in_window
Czech,climate,0.5200,0.0400,0.5151,no,0.5151,0.5614,heatwave,heatwave,west nile virus,blesk_cz,Vsaďte si na sobotní dostihy ve Velké Chuchli: Poslední zkouška před derby!,https://www.blesk.cz/clanek/regiony-praha-praha-servis/787106/vsadte-si-na-sobotni-dostihy-ve-velke-chuchli-posledni-zkouska-pred-derby.html,8637,138
Czech,climate,0.5200,0.0400,0.5152,no,0.5152,0.5277,extreme heat,extreme heat,west nile virus,blesk_cz,Červeno-oranžová podívaná: Obloha nejen v Praze dramaticky čarovala,https://www.blesk.cz/clanek/regiony-praha-praha-zpravy/793301/cerveno-oranzova-podivana-obloha-nejen-v-praze-dramaticky-carovala.html,8637,138
Czech,climate,0.5200,0.0400,0.5155,no,0.5155,0.5398,rising temperatures,rising temperatures,casualties,blesk_cz,"Letní vzory podle módní kritičky Iny T.: Tristní Zedníčková, puntíkovaná Havlová i hravá a bosá Ramba!",https://www.blesk.cz/clanek/celebrity-ina-t/792346/letni-vzory-podle-modni-kriticky-iny-t-tristni-zednickova-puntikovana-havlova-i-hrava-a-bosa-ramba.html,8637,138
Czech,climate,0.5200,0.0400,0.5175,no,0.5175,0.4235,temperature rises,temperature rises,casualties,blesk_cz,Předpověď počasí v Praze: V září se ochladí | Blesk.cz,https://www.blesk.cz/clanek/regiony-praha-praha-servis/794349/teploty-v-praze-zacnou-klesat-misto-paraplat-bude-lepsi-vyrazit-ven-s-destniky.html,8637,138
Czech,climate,0.5200,0.0400,0.5175,no,0.5175,0.5840,rising temperatures,rising temperatures,starvation,blesk_cz,"Mexiko zasáhla vlna veder. Ze stromů padají mrtvé opice, vysoké teploty je zabíjí",https://www.blesk.cz/clanek/zpravy-svet/786419/mexiko-zasahla-vlna-veder-ze-stromu-padaji-mrtve-opice-vysoke-teploty-je-zabiji.html,8637,138
Czech,climate,0.5200,0.0400,0.5188,no,0.5188,0.4984,rising temperatures,rising temperatures,extreme poverty,blesk_cz,"V Indii naměřili rekordních 52,9 °C. Kolabují zvířata i lidé, dělník (†40) zemřel na úpal",https://www.blesk.cz/clanek/zpravy-svet/787035/v-indii-namerili-rekordnich-52-9-c-kolabuji-zvirata-i-lide-delnik-40-zemrel-na-upal.html,8637,138
Czech,climate,0.5200,0.0400,0.5196,no,0.5196,0.5340,environmental changes,environmental changes,undernourishment,blesk_cz,"Ministr Hladík pro Blesk o suchu, bouřích i Green Dealu: Náš cíl je země jako zahrádka",https://www.blesk.cz/clanek/zpravy-epicentrum/793125/ministr-hladik-pro-blesk-o-suchu-bourich-i-green-dealu-nas-cil-je-zeme-jako-zahradka.html,8637,138
Czech,climate,0.5200,0.0400,0.5200,no,0.5200,0.4786,rising temperatures,rising temperatures,west nile virus,blesk_cz,Meteoroložka o nadcházející vlně veder: Jak dlouho v Česku vydrží?,https://www.blesk.cz/clanek/zpravy-epicentrum/788014/meteorolozka-o-nadchazejici-vlne-veder-jak-dlouho-v-cesku-vydrzi.html,8637,138
Czech,climate,0.5200,0.0400,0.5208,YES,0.5208,0.5712,heatwave,heatwave,hunger,blesk_cz,Vsaďte si na sobotní dostihy ve Velké Chuchli: Unikátní prázdninový den s klisnami,https://www.blesk.cz/clanek/regiony-praha-praha-servis/790141/vsadte-si-na-sobotni-dostihy-ve-velke-chuchli-unikatni-prazdninovy-den-s-klisnami.html,8637,138
Czech,climate,0.5200,0.0400,0.5216,YES,0.5216,0.5256,ozone depletion,ozone depletion,west nile virus,blesk_cz,Jedovatý mrak míří na Česko: Islandská sopka vychrlila do ovzduší tuny oxidu siřičitého,https://www.blesk.cz/clanek/zpravy-pribehy/793477/jedovaty-mrak-miri-na-cesko-islandska-sopka-vychrlila-do-ovzdusi-tuny-oxidu-siriciteho.html,8637,138
