language,category,threshold,window,score,passes_threshold,climate_sim,health_sim,best_keyword,climate_best_keyword,health_best_keyword,source,title,url,total_scanned,total_in_window
Finnish,climate,0.5400,0.0400,0.5294,no,0.5294,0.5592,heatwave,heatwave,west nile virus,hs_fi,Yhden miehen sotakone,https://www.hs.fi/kirjeenvaihtajat/art-2000011777814.html,4122,100
Finnish,climate,0.5400,0.0400,0.5302,no,0.5302,0.4602,environmental change,environmental change,extreme poverty,hs_fi,Maankäytön hiilitaseista tarvitaan luotettavaa tutkimustietoa,https://www.hs.fi/paakirjoitukset/art-2000011846139.html,4122,100
Finnish,climate,0.5400,0.0400,0.5307,no,0.5307,0.5720,heatwave,heatwave,casualties,hs_fi,Ukrainan haudoille pissaajat,https://www.hs.fi/paakirjoitukset/art-2000011840545.html,4122,100
Finnish,climate,0.5400,0.0400,0.5310,no,0.5310,0.5585,heatwave,heatwave,casualties,hs_fi,Club Epstein ja luuseri Andrew,https://www.hs.fi/paakirjoitukset/art-2000011832302.html,4122,100
Finnish,climate,0.5400,0.0400,0.5327,no,0.5327,0.4910,environmental change,environmental change,undernourishment,hs_fi,Ennallistamis­asetus astuu voimaan tänään – Tätä se tarkoittaa Suomelle nyt,https://www.hs.fi/politiikka/art-2000010637870.html,4122,100
Finnish,climate,0.5400,0.0400,0.5357,no,0.5357,0.5778,environmental change,environmental change,malnourishment,aamulehti_fi,Mikrobiologi kumoaa vanhan opin hedelmien ja kasvisten käsittelystä,https://www.aamulehti.fi/ruoka/art-2000011274463.html,4122,100
Finnish,climate,0.5400,0.0400,0.5367,no,0.5367,0.5738,heatwave,heatwave,west nile virus,hs_fi,"Mahti­miesten lämmin suhde viileni, ja ratkaiseva käänne saattoi olla 35 minuutin puhelu",https://www.hs.fi/maailma/art-2000011456032.html,4122,100
Finnish,climate,0.5400,0.0400,0.5372,no,0.5372,0.5260,heatwave,heatwave,undernourishment,hs_fi,"Ilmaston lämpeneminen voimistaa maastopaloja eri puolilla maailmaa, ja luonto toipuu hitaasti | HS.fi",https://www.hs.fi/kuukausiliite/art-2000011425430.html,4122,100
Finnish,climate,0.5400,0.0400,0.5413,YES,0.5413,0.5467,heatwaves,heatwaves,undernourishment,hs_fi,Sodan oppi Ukrainasta: Energia­järjestelmä pitää ajatella uusiksi,https://www.hs.fi/politiikka/art-2000011841424.html,4122,100
Finnish,climate,0.5400,0.0400,0.5448,YES,0.5448,0.4940,carbon emissions,carbon emissions,undernourishment,aamulehti_fi,Tutkimus: Fossiilisten poltto­aineiden päästöt nousevat tänä vuonna ennätys­korkealle,https://www.aamulehti.fi/tiedejateknologia/art-2000011624022.html,4122,100
Finnish,climate,0.5400,0.0400,0.5507,YES,0.5507,0.5065,environmental change,environmental change,extreme poverty,hs_fi,Uusi mittari löysi suomalaisen elämän­tavan haitallisimmat puolet,https://www.hs.fi/alueet/art-2000011271959.html,4122,100
Finnish,climate,0.5400,0.0400,0.5510,YES,0.5510,0.5133,rising temperature,rising temperature,extreme poverty,aamulehti_fi,Elokuu oli maailmalla mittaus­historian kolmanneksi kuumin,https://www.aamulehti.fi/tiedejateknologia/art-2000011481219.html,4122,100
Finnish,climate,0.5400,0.0400,0.5533,YES,0.5533,0.6019,heatwave,heatwave,casualties,hs_fi,Iranilaisten pieni mahdollisuus,https://www.hs.fi/paakirjoitukset/art-2000011855769.html,4122,100
Finnish,climate,0.5400,0.0400,0.5538,YES,0.5538,0.5828,heatwave,heatwave,casualties,hs_fi,Velkajarrun kunniaksi,https://www.hs.fi/paakirjoitukset/art-2000011848753.html,4122,100
Finnish,climate,0.5400,0.0400,0.5598,YES,0.5598,0.6061,heatwave,heatwave,casualties,hs_fi,"Hyvää naistenpäivää, veli!",https://www.hs.fi/paakirjoitukset/art-2000011864179.html,4122,100
Finnish,climate,0.5400,0.0400,0.5659,YES,0.5659,0.4988,temperature rise,temperature rise,extreme poverty,aamulehti_fi,Heinäkuu oli maailmanlaajuisesti mittaus­historian kolmanneksi lämpimin,https://www.aamulehti.fi/tiedejateknologia/art-2000011412271.html,4122,100
