language,category,threshold,window,score,passes_threshold,climate_sim,health_sim,best_keyword,climate_best_keyword,health_best_keyword,source,title,url,total_scanned,total_in_window
Serbian,climate,0.5800,0.0400,0.5778,no,0.5778,0.4871,rising temperature,rising temperature,west nile virus,kurir_rs,Od danas ponovo tropske vrućine: Za vikend osveženje i pad temperature,https://stil.kurir.rs/vesti/68123/od-danas-ponovo-tropske-vrucine-za-vikend-osvezenje-i-pad-temperature,31543,594
Serbian,climate,0.5800,0.0400,0.5781,no,0.5781,0.5284,extreme heat,extreme heat,extreme poverty,kurir_rs,Vrućine paralizovale Bliski Istok: U Iranu izmereno čak 74 celzijusa!,https://stil.kurir.rs/vesti/30988/vrucine-paralizovale-bliski-istok-u-iranu-izmereno-cak-74-celzijusa,31543,594
Serbian,climate,0.5800,0.0400,0.5785,no,0.5785,0.5983,rising temperatures,rising temperatures,west nile virus,kurir_rs,Čikago hladniji od Antarktika: Temperatura do -53 stepena!,https://stil.kurir.rs/vesti/99891/cikago-hladniji-od-antartika-temperatura-do-53-stepena,31543,594
Serbian,climate,0.5800,0.0400,0.5786,no,0.5786,0.5308,rising temperatures,rising temperatures,west nile virus,kurir_rs,"Nestabilno vreme tokom cele nedelje: Kiša, sunce, oluje, temperature do 34 stepena!",https://stil.kurir.rs/vesti/69793/nestabilno-vreme-tokom-cele-nedelje-kisa-sunce-oluje-temperature-do-34-stepena,31543,594
Serbian,climate,0.5800,0.0400,0.5789,no,0.5789,0.4877,rising temperature,rising temperature,extreme poverty,kurir_rs,Iznad proseka: Do 1. septembra temperature i do 36 stepeni,https://stil.kurir.rs/vesti/32410/iznad-proseka-do-1-septembra-temperature-i-do-36-stepeni,31543,594
Serbian,climate,0.5800,0.0400,0.5791,no,0.5791,0.5998,heatwave,heatwave,west nile virus,kurir_rs,"ZAPALIO SE AUTO NA MAGISTRALI KOD PRIJEPOLJA: Vatra buknula na vozilu u pokretu, vatrogasci na terenu (FOTO)",https://www.kurir.rs/crna-hronika/9925347/pozar-na-automobilu-kod-prijepolja-vatrogasci-brzo-reagovali?utm_source=kurir&utm_medium=single_dontmiss&utm_campaign=adria_internal,31543,594
Serbian,climate,0.5800,0.0400,0.5794,no,0.5794,0.5058,rising temperature,rising temperature,west nile virus,kurir_rs,"DOLAZE KIŠE, VETROVI I PAD TEMPERATURA: Kuvanje neće potrajati, uskoro DRASTIČNO ZAHLAĐENJE, evo do kada će trajati aprilsko leto",https://www.kurir.rs/vesti/politika/4376521/vremenska-prognoza-rhmz?utm_source=kurir&utm_medium=single_dontmiss&utm_campaign=adria_internal,31543,594
Serbian,climate,0.5800,0.0400,0.5798,no,0.5798,0.6144,heatwave,heatwave,west nile virus,kurir_rs,"KIŠA ŠIBALA PO KOŽI KAO OŠTRICE ŽILETA: Pogledajte katastrofu u Americi dan posle stravične oluje (FOTO, VIDEO)",https://www.kurir.rs/planeta/3135455/kisa-sibala-po-kozi-kao-ostrice-zileta-pogledajte-katastrofu-u-americi-dan-posle-stravicne-oluje-foto-video?utm_source=kurir&utm_medium=single_dontmiss&utm_campaign=adria_internal,31543,594
Serbian,climate,0.5800,0.0400,0.5808,YES,0.5808,0.5128,rising temperature,rising temperature,extreme poverty,kurir_rs,"Temperatura ponovo u padu, kiša i nestabilno vreme: Prognoza za narednih 7 dana!",https://stil.kurir.rs/vesti/60509/temperatura-ponovo-u-padu-kisa-i-nestabilno-vreme-prognoza-za-narednih-7-dana,31543,594
Serbian,climate,0.5800,0.0400,0.5808,YES,0.5808,0.5327,temperature rises,temperature rises,extreme poverty,kurir_rs,Prognoza za narednih 5 dana: Evo kakvo nas vreme očekuje naredne nedelje!,https://stil.kurir.rs/vesti/129199/prognoza-za-narednih-5-dana-evo-kakvo-nas-vreme-ocekuje-naredne-nedelje,31543,594
