language,category,threshold,window,score,passes_threshold,climate_sim,health_sim,best_keyword,climate_best_keyword,health_best_keyword,source,title,url,total_scanned,total_in_window
Serbian,health,0.6000,0.0400,0.5995,no,0.5237,0.5995,west nile virus,heatwave,west nile virus,kurir_rs,"PJONGJANG PREMEŠTA PROJEKTILE: Kim se sprema da ispali nuklearnu raketu, a evo i kada!",https://www.kurir.rs/planeta/2916929/pjongjang-premesta-projektile-kim-se-sprema-da-ispali-nuklearnu-raketu-a-evo-i-kada?utm_source=kurir&utm_medium=single_dontmiss&utm_campaign=adria_internal,31543,2579
Serbian,health,0.6000,0.0400,0.5996,no,0.5421,0.5996,casualties,heatwave,casualties,kurir_rs,"(KURIR TV) BRENA NE IZLAZI IZ TERETANE I NA ODMORU: A dok se ona znoji, evo u kakvom LUKSUZU uživaju Boba i sinovi",https://www.kurir.rs/stars/2974509/kurir-tv-brena-ne-izlazi-iz-teretane-i-na-odmoru-a-dok-se-ona-znoji-evo-u-kakvom-luksuzu-uzivaju-boba-i-sinovi?utm_source=kurir&utm_medium=single_dontmiss&utm_campaign=adria_internal,31543,2579
Serbian,health,0.6000,0.0400,0.5996,no,0.5338,0.5996,casualties,extreme event,casualties,kurir_rs,"TEŽAK UDES NA TEMERINSKOM PUTU: Sudar kamiona i 2 auta, ima povređenih",https://www.kurir.rs/crna-hronika/3921555/kurir-saznaje-tezak-udes-na-temerinskom-putu-sudar-kamiona-i-2-auta-ima-povredjenih?utm_source=kurir&utm_medium=single_dontmiss&utm_campaign=adria_internal,31543,2579
Serbian,health,0.6000,0.0400,0.5997,no,0.5312,0.5997,casualties,heatwave,casualties,kurir_rs,(VIDEO) FATALNI PAD IKARA: Ovo je 10 najsmrtonosnijih avionskih nesreća u istoriji,https://www.kurir.rs/planeta/2879185/video-fatalni-pad-ikara-ovo-je-10-najsmrtonosnijih-avionskih-nesreca-u-istoriji?utm_source=kurir&utm_medium=single_dontmiss&utm_campaign=adria_internal,31543,2579
Serbian,health,0.6000,0.0400,0.5998,no,0.5791,0.5998,west nile virus,heatwave,west nile virus,kurir_rs,"ZAPALIO SE AUTO NA MAGISTRALI KOD PRIJEPOLJA: Vatra buknula na vozilu u pokretu, vatrogasci na terenu (FOTO)",https://www.kurir.rs/crna-hronika/9925347/pozar-na-automobilu-kod-prijepolja-vatrogasci-brzo-reagovali?utm_source=kurir&utm_medium=single_dontmiss&utm_campaign=adria_internal,31543,2579
Serbian,health,0.6000,0.0400,0.5998,no,0.5813,0.5998,west nile virus,heatwave,west nile virus,kurir_rs,"URAGAN FLORENS DOSTIGAO 4. KATEGORIJU: Ovako grdosija od oluje izgleda iz svemira! Udari vetra 185 km/h, naređena HITNA evakuacija ! (FOTO, VIDEO)",https://www.kurir.rs/planeta/3118177/uragan-florens-dostigao-4-kategoriju-ovako-grdosija-od-oluje-izgleda-iz-svemira-udari-vetra-185-kmh-naredjena-hitna-evakuacija-foto-video?utm_source=kurir&utm_medium=single_dontmiss&utm_campaign=adria_internal,31543,2579
Serbian,health,0.6000,0.0400,0.5999,no,0.4962,0.5999,malnourishment,ozone depletion,malnourishment,kurir_rs,Ova Meksička država je potpuno zabranila prodaju slatkiša i grickalica deci,https://stil.kurir.rs/vesti/130279/ova-meksicka-drzava-je-potpuno-zabranila-prodaju-slatkisa-i-grickalica-deci,31543,2579
Serbian,health,0.6000,0.0400,0.6000,no,0.5153,0.6000,west nile virus,carbon dioxide,west nile virus,kurir_rs,NAGLI PAD: Sve berze u crvenom u strahu od trgovinskog rata,https://www.kurir.rs/planeta/3005287/nagli-pad-sve-berze-u-crvenom-u-strahu-od-trgovinskog-rata?utm_source=kurir&utm_medium=single_dontmiss&utm_campaign=adria_internal,31543,2579
Serbian,health,0.6000,0.0400,0.6000,YES,0.5477,0.6000,casualties,heatwave,casualties,kurir_rs,OBRT U ISTRAZI: Vozač kombija smrti i dalje na slobodi!,https://www.kurir.rs/planeta/2897661/obrt-u-istrazi-vozac-kombija-smrti-i-dalje-na-slobodi?utm_source=kurir&utm_medium=single_dontmiss&utm_campaign=adria_internal,31543,2579
Serbian,health,0.6000,0.0400,0.6001,YES,0.5136,0.6001,west nile virus,climate crises,west nile virus,kurir_rs,"RUSI SE NUDE DA POSREDUJU IZMEĐU TRAMPA I IRANA: U Kremlju ""spremni da učine sve što mogu kako bi pomogli da se reše napetosti""",https://www.kurir.rs/planeta/9635412/rusija-bi-da-posreduje-izmedju-sad-i-irana?utm_source=kurir&utm_medium=single_dontmiss&utm_campaign=adria_internal,31543,2579
