source_uri,country,language,language_code,article_count
dailymail.co.uk,United Kingdom,English,eng,31997
udn.com,Taiwan,Chinese,zho,30299
ltn.com.tw,Taiwan,Chinese,zho,27237
alwafd.news,Egypt,Arabic,ara,16644
mk.ru,Russia,Russian,rus,15205
sueddeutsche.de,Germany,German,deu,14704
novosti.rs,Serbia,Serbian,srp,14464
mk.co.kr,Korea,Korean,kor,14180
welt.de,Germany,German,deu,13872
abc.es,Spain,Spanish,spa,13740
almasryalyoum.com,Egypt,Arabic,ara,13108
mainichi.jp,Japan,Japanese,jpn,12743
chosun.com,Korea,English,eng,12471
sabah.com.tr,Turkey,Turkish,tur,11849
dhnet.be,Belgium,French,fra,11339
indianexpress.com,India,English,eng,10689
aif.ru,Russia,Russian,rus,10329
chinatimes.com,Taiwan,Chinese,zho,10248
blic.rs,Serbia,Serbian,srp,9464
nikkei.com,Japan,Japanese,jpn,9252
lanacion.com.ar,Argentina,Spanish,spa,8828
mathrubhumi.com,India,Malayalam,mal,8804
dailyinqilab.com,Bangladesh,Bengali,ben,8613
lalibre.be,Belgium,French,fra,8564
nytimes.com,United States,English,eng,8437
taiwannews.com.tw,Taiwan,English,eng,8397
nypost.com,United States,English,eng,8343
sozcu.com.tr,Turkey,Turkish,tur,8245
mingpao.com,Hong Kong,Chinese,zho,8226
iz.ru,Russia,Russian,rus,8135
lefigaro.fr,France,French,fra,8082
dailynews.co.th,Thailand,Thai,tha,8075
kommersant.ru,,Russian,rus,8012
hurriyet.com.tr,Turkey,Turkish,tur,7965
thestar.com,Canada,English,eng,7940
aksam.com.tr,Turkey,Turkish,tur,7925
eluniversal.com.mx,Mexico,Spanish,spa,7682
telegraf.rs,Serbia,Croatian,hrv,7591
jutarnji.hr,Croatia,Croatian,hrv,7323
theguardian.com,United Kingdom,English,eng,7205
iol.co.za,South Africa,English,eng,7075
elpais.com,Spain,Spanish,spa,6847
elcomercio.pe,Ecuador,Spanish,spa,6737
vecernji.hr,Croatia,Croatian,hrv,6715
zn.ua,Ukraine,Ukrainian,ukr,6637
milliyet.com.tr,Turkey,Turkish,tur,6607
jawapos.com,Indonesia,Indonesian,ind,6512
bild.de,Germany,German,deu,6486
prothomalo.com,Bangladesh,Bengali,ben,6315
correiobraziliense.com.br,Brazil,Portuguese,por,6305
zaobao.com.sg,Singapore,Chinese,zho,6227
albayan.ae,United Arab Emirates,Arabic,ara,6074
khaosod.co.th,Thailand,Thai,tha,5918
punchng.com,Nigeria,English,eng,5817
kleinezeitung.at,Austria,German,deu,5721
thenationonlineng.net,Nigeria,English,eng,5671
slobodnadalmacija.hr,Croatia,Croatian,hrv,5597
opovo.com.br,Brazil,Portuguese,por,5328
latercera.com,Chile,Spanish,spa,5270
yomiuri.co.jp,Japan,Japanese,jpn,5102
ad.nl,Netherlands,Dutch,nld,5089
asahi.com,Japan,Japanese,jpn,5065
aawsat.com,Saudi Arabia,Arabic,ara,5002
kompas.com,Indonesia,Indonesian,ind,4999
independent.ie,Ireland,English,eng,4971
ce.cn,China,Chinese,zho,4849
vanguardngr.com,Nigeria,English,eng,4835
faz.net,Germany,German,deu,4785
is.fi,Finland,Finnish,fin,4650
perfil.com,Argentina,Spanish,spa,4583
eleconomista.com.mx,Mexico,Spanish,spa,4530
eluniverso.com,Ecuador,Spanish,spa,4352
manoramaonline.com,India,Malayalam,mal,4304
libertatea.ro,Romania,Romanian,ron,4292
okaz.com.sa,Saudi Arabia,Arabic,ara,4174
naftemporiki.gr,Greece,Greek,ell,4107
elheraldo.co,Colombia,Spanish,spa,4034
record.pt,Portugal,Portuguese,por,3986
